Comunidad,Año,Mes,Numero Paradas
Principado de Asturias,2006,Agosto,49137
Castilla y León,2006,Agosto,100345
Comunidad de Madrid,2006,Agosto,217021
Islas Baleares,2006,Agosto,28338
Canarias,2006,Agosto,127768
Cantabria,2006,Agosto,19191
Aragón,2006,Agosto,34912
Comunidad Foral de Navarra,2006,Agosto,20530
Galicia,2006,Agosto,146388
Melilla,2006,Agosto,5798
Región de Murcia,2006,Agosto,45543
Andalucía,2006,Agosto,469802
La Rioja,2006,Agosto,9899
País Vasco,2006,Agosto,78864
Comunidad Valenciana,2006,Agosto,196663
Ceuta,2006,Agosto,7352
Cataluña,2006,Agosto,264325
Castilla-La Mancha,2006,Agosto,87411
Extremadura,2006,Diciembre,74637
Principado de Asturias,2006,Diciembre,52913
Castilla y León,2006,Diciembre,108421
Comunidad de Madrid,2006,Diciembre,211558
Islas Baleares,2006,Diciembre,46284
Canarias,2006,Diciembre,122153
Cantabria,2006,Diciembre,21613
Aragón,2006,Diciembre,36507
Comunidad Foral de Navarra,2006,Diciembre,21060
Galicia,2006,Diciembre,160666
Melilla,2006,Diciembre,6076
Región de Murcia,2006,Diciembre,43591
Andalucía,2006,Diciembre,477784
La Rioja,2006,Diciembre,10154
País Vasco,2006,Diciembre,76203
Comunidad Valenciana,2006,Diciembre,194879
Ceuta,2006,Diciembre,6704
Cataluña,2006,Diciembre,260749
Castilla-La Mancha,2006,Diciembre,90921
Extremadura,2006,Enero,78993
Principado de Asturias,2006,Enero,59953
Castilla y León,2006,Enero,121873
Comunidad de Madrid,2006,Enero,225259
Islas Baleares,2006,Enero,48036
Canarias,2006,Enero,133647
Cantabria,2006,Enero,25727
Aragón,2006,Enero,43166
Comunidad Foral de Navarra,2006,Enero,23448
Galicia,2006,Enero,181401
Melilla,2006,Enero,7387
Región de Murcia,2006,Enero,46584
Andalucía,2006,Enero,490580
La Rioja,2006,Enero,10804
País Vasco,2006,Enero,89550
Comunidad Valenciana,2006,Enero,208669
Ceuta,2006,Enero,7720
Cataluña,2006,Enero,269904
Castilla-La Mancha,2006,Enero,98802
Extremadura,2006,Febrero,79608
Principado de Asturias,2006,Febrero,60028
Castilla y León,2006,Febrero,121556
Comunidad de Madrid,2006,Febrero,225214
Islas Baleares,2006,Febrero,45193
Canarias,2006,Febrero,134828
Cantabria,2006,Febrero,25364
Aragón,2006,Febrero,42293
Comunidad Foral de Navarra,2006,Febrero,23463
Galicia,2006,Febrero,178373
Melilla,2006,Febrero,7445
Región de Murcia,2006,Febrero,47695
Andalucía,2006,Febrero,489059
La Rioja,2006,Febrero,10823
País Vasco,2006,Febrero,89859
Comunidad Valenciana,2006,Febrero,208153
Ceuta,2006,Febrero,8138
Cataluña,2006,Febrero,273062
Castilla-La Mancha,2006,Febrero,99123
Extremadura,2006,Julio,73681
Principado de Asturias,2006,Julio,48449
Castilla y León,2006,Julio,101303
Comunidad de Madrid,2006,Julio,212432
Islas Baleares,2006,Julio,26932
Canarias,2006,Julio,130291
Cantabria,2006,Julio,19378
Aragón,2006,Julio,34033
Comunidad Foral de Navarra,2006,Julio,20552
Galicia,2006,Julio,148068
Melilla,2006,Julio,6899
Región de Murcia,2006,Julio,43226
Andalucía,2006,Julio,465384
La Rioja,2006,Julio,9754
País Vasco,2006,Julio,76311
Comunidad Valenciana,2006,Julio,187156
Ceuta,2006,Julio,7396
Cataluña,2006,Julio,257969
Castilla-La Mancha,2006,Julio,85770
Extremadura,2006,Junio,75816
Principado de Asturias,2006,Junio,49882
Castilla y León,2006,Junio,106070
Comunidad de Madrid,2006,Junio,206759
Islas Baleares,2006,Junio,26344
Canarias,2006,Junio,132328
Cantabria,2006,Junio,20933
Aragón,2006,Junio,34413
Comunidad Foral de Navarra,2006,Junio,19781
Galicia,2006,Junio,153746
Melilla,2006,Junio,6939
Región de Murcia,2006,Junio,41959
Andalucía,2006,Junio,463318
La Rioja,2006,Junio,9790
País Vasco,2006,Junio,76039
Comunidad Valenciana,2006,Junio,189859
Ceuta,2006,Junio,7672
Cataluña,2006,Junio,250757
Castilla-La Mancha,2006,Junio,87349
Extremadura,2006,Marzo,78816
Principado de Asturias,2006,Marzo,59124
Castilla y León,2006,Marzo,120579
Comunidad de Madrid,2006,Marzo,223860
Islas Baleares,2006,Marzo,42231
Canarias,2006,Marzo,136536
Cantabria,2006,Marzo,24159
Aragón,2006,Marzo,41875
Comunidad Foral de Navarra,2006,Marzo,22218
Galicia,2006,Marzo,176114
Melilla,2006,Marzo,7611
Región de Murcia,2006,Marzo,46379
Andalucía,2006,Marzo,488885
La Rioja,2006,Marzo,10810
País Vasco,2006,Marzo,88346
Comunidad Valenciana,2006,Marzo,204527
Ceuta,2006,Marzo,8146
Cataluña,2006,Marzo,270573
Castilla-La Mancha,2006,Marzo,97741
Extremadura,2006,Mayo,76668
Principado de Asturias,2006,Mayo,52194
Castilla y León,2006,Mayo,110460
Comunidad de Madrid,2006,Mayo,215751
Islas Baleares,2006,Mayo,28259
Canarias,2006,Mayo,133443
Cantabria,2006,Mayo,21943
Aragón,2006,Mayo,37691
Comunidad Foral de Navarra,2006,Mayo,19937
Galicia,2006,Mayo,163161
Melilla,2006,Mayo,7182
Región de Murcia,2006,Mayo,41465
Andalucía,2006,Mayo,459561
La Rioja,2006,Mayo,10301
País Vasco,2006,Mayo,80331
Comunidad Valenciana,2006,Mayo,193085
Ceuta,2006,Mayo,8004
Cataluña,2006,Mayo,253686
Castilla-La Mancha,2006,Mayo,91406
Extremadura,2006,Noviembre,74743
