Comunidad,Año,Mes,Numero Paradas
Ceuta,2008,Marzo,7195
Cataluña,2008,Marzo,291640
Castilla-La Mancha,2008,Marzo,105658
Extremadura,2008,Mayo,80757
Principado de Asturias,2008,Mayo,50778
Castilla y León,2008,Mayo,118656
Comunidad de Madrid,2008,Mayo,262660
Islas Baleares,2008,Mayo,36439
Canarias,2008,Mayo,171511
Cantabria,2008,Mayo,23351
Aragón,2008,Mayo,40881
Comunidad Foral de Navarra,2008,Mayo,22287
Galicia,2008,Mayo,156779
Melilla,2008,Mayo,8414
Región de Murcia,2008,Mayo,61724
Andalucía,2008,Mayo,551404
La Rioja,2008,Mayo,11924
País Vasco,2008,Mayo,80011
Comunidad Valenciana,2008,Mayo,255643
Ceuta,2008,Mayo,7520
Cataluña,2008,Mayo,305247
Castilla-La Mancha,2008,Mayo,107589
Extremadura,2008,Noviembre,93231
Principado de Asturias,2008,Noviembre,58251
Castilla y León,2008,Noviembre,139381
Comunidad de Madrid,2008,Noviembre,330439
Islas Baleares,2008,Noviembre,70144
Canarias,2008,Noviembre,199889
Cantabria,2008,Noviembre,31173
Aragón,2008,Noviembre,62441
Comunidad Foral de Navarra,2008,Noviembre,30168
Galicia,2008,Noviembre,180820
Melilla,2008,Noviembre,7508
Región de Murcia,2008,Noviembre,86189
Andalucía,2008,Noviembre,707749
La Rioja,2008,Noviembre,15209
País Vasco,2008,Noviembre,94738
Comunidad Valenciana,2008,Noviembre,332987
Ceuta,2008,Noviembre,7427
Cataluña,2008,Noviembre,402836
Castilla-La Mancha,2008,Noviembre,138689
Extremadura,2008,Octubre,90690
Principado de Asturias,2008,Octubre,53917
Castilla y León,2008,Octubre,129909
Comunidad de Madrid,2008,Octubre,315159
Islas Baleares,2008,Octubre,56982
Canarias,2008,Octubre,190469
Cantabria,2008,Octubre,27954
Aragón,2008,Octubre,58331
Comunidad Foral de Navarra,2008,Octubre,27386
Galicia,2008,Octubre,168423
Melilla,2008,Octubre,7145
Región de Murcia,2008,Octubre,80977
Andalucía,2008,Octubre,683777
La Rioja,2008,Octubre,13364
País Vasco,2008,Octubre,87837
Comunidad Valenciana,2008,Octubre,311659
Ceuta,2008,Octubre,7100
Cataluña,2008,Octubre,377999
Castilla-La Mancha,2008,Octubre,128948
Extremadura,2008,Septiembre,88605
Principado de Asturias,2008,Septiembre,49954
Castilla y León,2008,Septiembre,121182
Comunidad de Madrid,2008,Septiembre,288972
Islas Baleares,2008,Septiembre,46807
Canarias,2008,Septiembre,180805
Cantabria,2008,Septiembre,24970
Aragón,2008,Septiembre,50818
Comunidad Foral de Navarra,2008,Septiembre,24985
Galicia,2008,Septiembre,156834
Melilla,2008,Septiembre,6893
Región de Murcia,2008,Septiembre,76345
Andalucía,2008,Septiembre,641433
La Rioja,2008,Septiembre,12386
País Vasco,2008,Septiembre,82997
Comunidad Valenciana,2008,Septiembre,295010
Ceuta,2008,Septiembre,6812
Cataluña,2008,Septiembre,354215
Castilla-La Mancha,2008,Septiembre,115345
Extremadura,2009,Abril,106641
Principado de Asturias,2009,Abril,73770
Castilla y León,2009,Abril,173902
Comunidad de Madrid,2009,Abril,415142
Islas Baleares,2009,Abril,71946
Canarias,2009,Abril,246500
Cantabria,2009,Abril,38764
Aragón,2009,Abril,81906
Comunidad Foral de Navarra,2009,Abril,38459
Galicia,2009,Abril,210662
Melilla,2009,Abril,8818
Región de Murcia,2009,Abril,107773
Andalucía,2009,Abril,796467
La Rioja,2009,Abril,20318
País Vasco,2009,Abril,122111
Comunidad Valenciana,2009,Abril,441597
Ceuta,2009,Abril,8706
Cataluña,2009,Abril,505262
Castilla-La Mancha,2009,Abril,176136
Extremadura,2009,Agosto,104804
Principado de Asturias,2009,Agosto,68433
Castilla y León,2009,Agosto,159843
Comunidad de Madrid,2009,Agosto,424759
Islas Baleares,2009,Agosto,66796
Canarias,2009,Agosto,245966
Cantabria,2009,Agosto,34439
Aragón,2009,Agosto,80730
Comunidad Foral de Navarra,2009,Agosto,37391
Galicia,2009,Agosto,195241
Melilla,2009,Agosto,8458
Región de Murcia,2009,Agosto,112649
Andalucía,2009,Agosto,803137
La Rioja,2009,Agosto,19205
País Vasco,2009,Agosto,120318
Comunidad Valenciana,2009,Agosto,449778
Ceuta,2009,Agosto,8839
Cataluña,2009,Agosto,519129
Castilla-La Mancha,2009,Agosto,169165
Extremadura,2009,Diciembre,112320
Principado de Asturias,2009,Diciembre,75837
Castilla y León,2009,Diciembre,182030
Comunidad de Madrid,2009,Diciembre,451929
Islas Baleares,2009,Diciembre,91098
Canarias,2009,Diciembre,248783
Cantabria,2009,Diciembre,42294
Aragón,2009,Diciembre,87623
Comunidad Foral de Navarra,2009,Diciembre,40653
Galicia,2009,Diciembre,222839
Melilla,2009,Diciembre,8351
Región de Murcia,2009,Diciembre,122285
Andalucía,2009,Diciembre,851493
La Rioja,2009,Diciembre,21747
País Vasco,2009,Diciembre,128201
Comunidad Valenciana,2009,Diciembre,477847
Ceuta,2009,Diciembre,8362
Cataluña,2009,Diciembre,561761
Castilla-La Mancha,2009,Diciembre,188150
Extremadura,2009,Enero,103647
Principado de Asturias,2009,Enero,70366
Castilla y León,2009,Enero,161493
Comunidad de Madrid,2009,Enero,369256
Islas Baleares,2009,Enero,74447
Canarias,2009,Enero,215976
Cantabria,2009,Enero,36110
Aragón,2009,Enero,73291
Comunidad Foral de Navarra,2009,Enero,36375
Galicia,2009,Enero,201316
Melilla,2009,Enero,7144
Región de Murcia,2009,Enero,97659
Andalucía,2009,Enero,744956
La Rioja,2009,Enero,18152
País Vasco,2009,Enero,110093
Comunidad Valenciana,2009,Enero,388845
Ceuta,2009,Enero,7238
Cataluña,2009,Enero,455757
Castilla-La Mancha,2009,Enero,155680
Extremadura,2009,Febrero,107237
Principado de Asturias,2009,Febrero,73558
Castilla y León,2009,Febrero,167133
Comunidad de Madrid,2009,Febrero,387545
Islas Baleares,2009,Febrero,74367
Canarias,2009,Febrero,227706
Cantabria,2009,Febrero,37485
Aragón,2009,Febrero,76986
Comunidad Foral de Navarra,2009,Febrero,37379
Galicia,2009,Febrero,206570
Melilla,2009,Febrero,8430
Región de Murcia,2009,Febrero,101894
Andalucía,2009,Febrero,774198
La Rioja,2009,Febrero,19297
País Vasco,2009,Febrero,115653
Comunidad Valenciana,2009,Febrero,415091
Ceuta,2009,Febrero,7311
Cataluña,2009,Febrero,479487
Castilla-La Mancha,2009,Febrero,164532
Extremadura,2009,Julio,102944
Principado de Asturias,2009,Julio,67261
Castilla y León,2009,Julio,159094
Comunidad de Madrid,2009,Julio,416264
Islas Baleares,2009,Julio,64023
Canarias,2009,Julio,246264
Cantabria,2009,Julio,34030
Aragón,2009,Julio,79170
Comunidad Foral de Navarra,2009,Julio,37730
Galicia,2009,Julio,192859
Melilla,2009,Julio,8878
Región de Murcia,2009,Julio,108019
Andalucía,2009,Julio,785686
La Rioja,2009,Julio,19414
País Vasco,2009,Julio,116704
Comunidad Valenciana,2009,Julio,435184
Ceuta,2009,Julio,8863
Cataluña,2009,Julio,495911
Castilla-La Mancha,2009,Julio,165797
Extremadura,2009,Junio,104493
Principado de Asturias,2009,Junio,70592
Castilla y León,2009,Junio,164117
Comunidad de Madrid,2009,Junio,418284
Islas Baleares,2009,Junio,64160
Canarias,2009,Junio,248325
Cantabria,2009,Junio,35564
Aragón,2009,Junio,79460
Comunidad Foral de Navarra,2009,Junio,37581
Galicia,2009,Junio,200240
Melilla,2009,Junio,8557
Región de Murcia,2009,Junio,106148
Andalucía,2009,Junio,788112
La Rioja,2009,Junio,19574
País Vasco,2009,Junio,116098
Comunidad Valenciana,2009,Junio,438336
Ceuta,2009,Junio,8559
Cataluña,2009,Junio,488247
Castilla-La Mancha,2009,Junio,168442
Extremadura,2009,Marzo,108664
Principado de Asturias,2009,Marzo,74381
Castilla y León,2009,Marzo,172570
Comunidad de Madrid,2009,Marzo,405673
Islas Baleares,2009,Marzo,75153
Canarias,2009,Marzo,238344
Cantabria,2009,Marzo,38556
Aragón,2009,Marzo,79923
Comunidad Foral de Navarra,2009,Marzo,38311
Galicia,2009,Marzo,211484
Melilla,2009,Marzo,8651
Región de Murcia,2009,Marzo,105889
Andalucía,2009,Marzo,794064
La Rioja,2009,Marzo,20113
País Vasco,2009,Marzo,121090
Comunidad Valenciana,2009,Marzo,432582
Ceuta,2009,Marzo,8551
Cataluña,2009,Marzo,498352
Castilla-La Mancha,2009,Marzo,173051
Extremadura,2009,Mayo,104923
Principado de Asturias,2009,Mayo,72819
Castilla y León,2009,Mayo,169931
Comunidad de Madrid,2009,Mayo,417273
Islas Baleares,2009,Mayo,66789
Canarias,2009,Mayo,249661
Cantabria,2009,Mayo,37988
Aragón,2009,Mayo,81334
Comunidad Foral de Navarra,2009,Mayo,37832
Galicia,2009,Mayo,207518
Melilla,2009,Mayo,8712
Región de Murcia,2009,Mayo,106737
Andalucía,2009,Mayo,789121
La Rioja,2009,Mayo,19852
País Vasco,2009,Mayo,118744
Comunidad Valenciana,2009,Mayo,442522
Ceuta,2009,Mayo,8613
Cataluña,2009,Mayo,505041
Castilla-La Mancha,2009,Mayo,174729
Extremadura,2009,Noviembre,110470
Principado de Asturias,2009,Noviembre,73097
Castilla y León,2009,Noviembre,175695
Comunidad de Madrid,2009,Noviembre,448224
Islas Baleares,2009,Noviembre,89952
Canarias,2009,Noviembre,248786
Cantabria,2009,Noviembre,40894
Aragón,2009,Noviembre,85196
Comunidad Foral de Navarra,2009,Noviembre,39249
Galicia,2009,Noviembre,216828
Melilla,2009,Noviembre,8312
Región de Murcia,2009,Noviembre,119433
Andalucía,2009,Noviembre,848607
La Rioja,2009,Noviembre,21022
País Vasco,2009,Noviembre,127454
Comunidad Valenciana,2009,Noviembre,470140
Ceuta,2009,Noviembre,8499
Cataluña,2009,Noviembre,555405
Castilla-La Mancha,2009,Noviembre,181683
Extremadura,2009,Octubre,111570
Principado de Asturias,2009,Octubre,70787
Castilla y León,2009,Octubre,172461
Comunidad de Madrid,2009,Octubre,441858
Islas Baleares,2009,Octubre,81683
Canarias,2009,Octubre,248108
Cantabria,2009,Octubre,38802
Aragón,2009,Octubre,83720
Comunidad Foral de Navarra,2009,Octubre,38737
Galicia,2009,Octubre,208923
Melilla,2009,Octubre,9138
Región de Murcia,2009,Octubre,118286
Andalucía,2009,Octubre,844400
La Rioja,2009,Octubre,20354
País Vasco,2009,Octubre,125589
Comunidad Valenciana,2009,Octubre,461818
Ceuta,2009,Octubre,9287
Cataluña,2009,Octubre,543603
Castilla-La Mancha,2009,Octubre,179229
Extremadura,2009,Septiembre,110179
Principado de Asturias,2009,Septiembre,70389
Castilla y León,2009,Septiembre,164236
Comunidad de Madrid,2009,Septiembre,430784
Islas Baleares,2009,Septiembre,72116
Canarias,2009,Septiembre,248858
Cantabria,2009,Septiembre,36598
Aragón,2009,Septiembre,81446
Comunidad Foral de Navarra,2009,Septiembre,37353
Galicia,2009,Septiembre,200465
Melilla,2009,Septiembre,8776
Región de Murcia,2009,Septiembre,115268
Andalucía,2009,Septiembre,823530
La Rioja,2009,Septiembre,18957
País Vasco,2009,Septiembre,123394
Comunidad Valenciana,2009,Septiembre,459724
Ceuta,2009,Septiembre,9201
Cataluña,2009,Septiembre,531352
Castilla-La Mancha,2009,Septiembre,166821
Extremadura,2010,Abril,115124
Principado de Asturias,2010,Abril,82722
Castilla y León,2010,Abril,197751
Comunidad de Madrid,2010,Abril,481244
Islas Baleares,2010,Abril,84264
Canarias,2010,Abril,266042
Cantabria,2010,Abril,44032
Aragón,2010,Abril,96082
Comunidad Foral de Navarra,2010,Abril,42372
Galicia,2010,Abril,233916
Melilla,2010,Abril,9418
Región de Murcia,2010,Abril,129828
Andalucía,2010,Abril,879307
La Rioja,2010,Abril,23221
País Vasco,2010,Abril,134300
Comunidad Valenciana,2010,Abril,516821
Ceuta,2010,Abril,9456
Cataluña,2010,Abril,593656
Castilla-La Mancha,2010,Abril,202869
Extremadura,2010,Agosto,113866
Principado de Asturias,2010,Agosto,72956
Castilla y León,2010,Agosto,180117
Comunidad de Madrid,2010,Agosto,468609
Islas Baleares,2010,Agosto,73007
Canarias,2010,Agosto,260794
Cantabria,2010,Agosto,38209
Aragón,2010,Agosto,88903
Comunidad Foral de Navarra,2010,Agosto,40866
Galicia,2010,Agosto,211532
Melilla,2010,Agosto,10125
Región de Murcia,2010,Agosto,127535
Andalucía,2010,Agosto,877010
La Rioja,2010,Agosto,20940
País Vasco,2010,Agosto,129293
Comunidad Valenciana,2010,Agosto,496732
Ceuta,2010,Agosto,9986
Cataluña,2010,Agosto,555894
Castilla-La Mancha,2010,Agosto,193287
Extremadura,2010,Diciembre,119897
Principado de Asturias,2010,Diciembre,81199
Castilla y León,2010,Diciembre,194609
Comunidad de Madrid,2010,Diciembre,461928
Islas Baleares,2010,Diciembre,91288
Canarias,2010,Diciembre,254620
Cantabria,2010,Diciembre,44157
Aragón,2010,Diciembre,92669
Comunidad Foral de Navarra,2010,Diciembre,43011
Galicia,2010,Diciembre,237313
Melilla,2010,Diciembre,9913
Región de Murcia,2010,Diciembre,128935
Andalucía,2010,Diciembre,903999
La Rioja,2010,Diciembre,22406
País Vasco,2010,Diciembre,135961
Comunidad Valenciana,2010,Diciembre,501315
Ceuta,2010,Diciembre,9046
Cataluña,2010,Diciembre,562673
Castilla-La Mancha,2010,Diciembre,205134
Extremadura,2010,Enero,116663
Principado de Asturias,2010,Enero,80925
Castilla y León,2010,Enero,191651
Comunidad de Madrid,2010,Enero,465452
Islas Baleares,2010,Enero,90588
Canarias,2010,Enero,253930
Cantabria,2010,Enero,43197
Aragón,2010,Enero,91272
Comunidad Foral de Navarra,2010,Enero,43278
Galicia,2010,Enero,231628
Melilla,2010,Enero,8527
Región de Murcia,2010,Enero,126313
Andalucía,2010,Enero,868085
La Rioja,2010,Enero,21856
País Vasco,2010,Enero,135687
Comunidad Valenciana,2010,Enero,493567
Ceuta,2010,Enero,8492
Cataluña,2010,Enero,583883
Castilla-La Mancha,2010,Enero,193499
Extremadura,2010,Febrero,118763
Principado de Asturias,2010,Febrero,83736
Castilla y León,2010,Febrero,196489
Comunidad de Madrid,2010,Febrero,474356
Islas Baleares,2010,Febrero,90026
Canarias,2010,Febrero,257939
Cantabria,2010,Febrero,43904
Aragón,2010,Febrero,93405
Comunidad Foral de Navarra,2010,Febrero,43770
Galicia,2010,Febrero,234171
Melilla,2010,Febrero,8884
Región de Murcia,2010,Febrero,129443
Andalucía,2010,Febrero,882867
La Rioja,2010,Febrero,22633
País Vasco,2010,Febrero,137143
Comunidad Valenciana,2010,Febrero,506989
Ceuta,2010,Febrero,8903
Cataluña,2010,Febrero,597287
Castilla-La Mancha,2010,Febrero,199917
Extremadura,2010,Julio,111087
Principado de Asturias,2010,Julio,71675
Castilla y León,2010,Julio,180035
Comunidad de Madrid,2010,Julio,462720
Islas Baleares,2010,Julio,72115
Canarias,2010,Julio,262661
Cantabria,2010,Julio,38069
Aragón,2010,Julio,88440
Comunidad Foral de Navarra,2010,Julio,40941
Galicia,2010,Julio,209789
Melilla,2010,Julio,10312
Región de Murcia,2010,Julio,124382
Andalucía,2010,Julio,863685
La Rioja,2010,Julio,21485
País Vasco,2010,Julio,125832
Comunidad Valenciana,2010,Julio,487098
Ceuta,2010,Julio,10090
Cataluña,2010,Julio,539191
Castilla-La Mancha,2010,Julio,188971
Extremadura,2010,Junio,111818
Principado de Asturias,2010,Junio,75044
Castilla y León,2010,Junio,187218
Comunidad de Madrid,2010,Junio,470913
Islas Baleares,2010,Junio,73917
Canarias,2010,Junio,265973
Cantabria,2010,Junio,40372
Aragón,2010,Junio,90494
Comunidad Foral de Navarra,2010,Junio,40917
Galicia,2010,Junio,219825
Melilla,2010,Junio,10293
Región de Murcia,2010,Junio,125109
Andalucía,2010,Junio,866935
La Rioja,2010,Junio,21794
País Vasco,2010,Junio,126365
Comunidad Valenciana,2010,Junio,497808
Ceuta,2010,Junio,10415
Cataluña,2010,Junio,554261
Castilla-La Mancha,2010,Junio,192897
Extremadura,2010,Marzo,118550
Principado de Asturias,2010,Marzo,83606
Castilla y León,2010,Marzo,198623
Comunidad de Madrid,2010,Marzo,480022
Islas Baleares,2010,Marzo,88125
Canarias,2010,Marzo,261534
Cantabria,2010,Marzo,44150
Aragón,2010,Marzo,95833
Comunidad Foral de Navarra,2010,Marzo,43753
Galicia,2010,Marzo,236449
Melilla,2010,Marzo,9230
Región de Murcia,2010,Marzo,130755
Andalucía,2010,Marzo,883393
La Rioja,2010,Marzo,23365
País Vasco,2010,Marzo,138125
Comunidad Valenciana,2010,Marzo,513588
Ceuta,2010,Marzo,9092
Cataluña,2010,Marzo,604038
Castilla-La Mancha,2010,Marzo,204382
Extremadura,2010,Mayo,112155
Principado de Asturias,2010,Mayo,79397
Castilla y León,2010,Mayo,196246
Comunidad de Madrid,2010,Mayo,474661
Islas Baleares,2010,Mayo,77795
Canarias,2010,Mayo,265916
Cantabria,2010,Mayo,42926
Aragón,2010,Mayo,93415
Comunidad Foral de Navarra,2010,Mayo,41696
Galicia,2010,Mayo,228507
Melilla,2010,Mayo,10388
Región de Murcia,2010,Mayo,128402
Andalucía,2010,Mayo,868458
La Rioja,2010,Mayo,22033
País Vasco,2010,Mayo,129648
Comunidad Valenciana,2010,Mayo,511014
Ceuta,2010,Mayo,10379
Cataluña,2010,Mayo,574736
Castilla-La Mancha,2010,Mayo,198430
Extremadura,2010,Noviembre,119636
Principado de Asturias,2010,Noviembre,79647
Castilla y León,2010,Noviembre,188915
Comunidad de Madrid,2010,Noviembre,469079
Islas Baleares,2010,Noviembre,92049
Canarias,2010,Noviembre,256693
Cantabria,2010,Noviembre,43083
Aragón,2010,Noviembre,91523
Comunidad Foral de Navarra,2010,Noviembre,42463
Galicia,2010,Noviembre,231721
Melilla,2010,Noviembre,10802
Región de Murcia,2010,Noviembre,129202
Andalucía,2010,Noviembre,921334
La Rioja,2010,Noviembre,21770
País Vasco,2010,Noviembre,133051
Comunidad Valenciana,2010,Noviembre,502905
Ceuta,2010,Noviembre,9203
Cataluña,2010,Noviembre,564541
Castilla-La Mancha,2010,Noviembre,202677
Extremadura,2010,Octubre,122209
Principado de Asturias,2010,Octubre,78140
Castilla y León,2010,Octubre,186752
Comunidad de Madrid,2010,Octubre,471388
Islas Baleares,2010,Octubre,84761
Canarias,2010,Octubre,260273
Cantabria,2010,Octubre,42026
Aragón,2010,Octubre,90099
Comunidad Foral de Navarra,2010,Octubre,42036
Galicia,2010,Octubre,223894
Melilla,2010,Octubre,10664
Región de Murcia,2010,Octubre,128743
Andalucía,2010,Octubre,912817
La Rioja,2010,Octubre,21144
País Vasco,2010,Octubre,132345
Comunidad Valenciana,2010,Octubre,503109
Ceuta,2010,Octubre,10023
Cataluña,2010,Octubre,566496
Castilla-La Mancha,2010,Octubre,199057
Extremadura,2010,Septiembre,118970
Principado de Asturias,2010,Septiembre,76002
Castilla y León,2010,Septiembre,183219
Comunidad de Madrid,2010,Septiembre,471643
Islas Baleares,2010,Septiembre,76643
Canarias,2010,Septiembre,259751
Cantabria,2010,Septiembre,40418
Aragón,2010,Septiembre,88094
Comunidad Foral de Navarra,2010,Septiembre,41374
Galicia,2010,Septiembre,216095
Melilla,2010,Septiembre,10429
Región de Murcia,2010,Septiembre,129231
Andalucía,2010,Septiembre,897645
La Rioja,2010,Septiembre,20584
País Vasco,2010,Septiembre,130549
Comunidad Valenciana,2010,Septiembre,502237
Ceuta,2010,Septiembre,10138
Cataluña,2010,Septiembre,557268
Castilla-La Mancha,2010,Septiembre,187473
Extremadura,2011,Abril,121086
Principado de Asturias,2011,Abril,85710
Castilla y León,2011,Abril,199580
Comunidad de Madrid,2011,Abril,479070
Islas Baleares,2011,Abril,82626
Canarias,2011,Abril,256773
Cantabria,2011,Abril,46532
Aragón,2011,Abril,97800
Comunidad Foral de Navarra,2011,Abril,43790
Galicia,2011,Abril,244662
Melilla,2011,Abril,10272
Región de Murcia,2011,Abril,135299
Andalucía,2011,Abril,932107
La Rioja,2011,Abril,23339
País Vasco,2011,Abril,153155
Comunidad Valenciana,2011,Abril,530006
Ceuta,2011,Abril,10391
Cataluña,2011,Abril,601541
Castilla-La Mancha,2011,Abril,215621
Extremadura,2011,Agosto,119593
Principado de Asturias,2011,Agosto,79373
Castilla y León,2011,Agosto,184419
Comunidad de Madrid,2011,Agosto,474997
Islas Baleares,2011,Agosto,71365
Canarias,2011,Agosto,252478
Cantabria,2011,Agosto,41932
Aragón,2011,Agosto,92715
Comunidad Foral de Navarra,2011,Agosto,41407
Galicia,2011,Agosto,224582
Melilla,2011,Agosto,11384
Región de Murcia,2011,Agosto,133089
Andalucía,2011,Agosto,919502
La Rioja,2011,Agosto,22144
País Vasco,2011,Agosto,140729
Comunidad Valenciana,2011,Agosto,517510
Ceuta,2011,Agosto,10711
Cataluña,2011,Agosto,584648
Castilla-La Mancha,2011,Agosto,208349
Extremadura,2011,Diciembre,135398
Principado de Asturias,2011,Diciembre,90537
Castilla y León,2011,Diciembre,208475
Comunidad de Madrid,2011,Diciembre,488709
Islas Baleares,2011,Diciembre,98087
Canarias,2011,Diciembre,265569
Cantabria,2011,Diciembre,49273
Aragón,2011,Diciembre,101982
Comunidad Foral de Navarra,2011,Diciembre,46946
Galicia,2011,Diciembre,258234
Melilla,2011,Diciembre,10357
Región de Murcia,2011,Diciembre,142921
Andalucía,2011,Diciembre,969152
La Rioja,2011,Diciembre,25381
País Vasco,2011,Diciembre,145394
Comunidad Valenciana,2011,Diciembre,535036
Ceuta,2011,Diciembre,10822
Cataluña,2011,Diciembre,614244
Castilla-La Mancha,2011,Diciembre,225842
Extremadura,2011,Enero,122179
Principado de Asturias,2011,Enero,86008
Castilla y León,2011,Enero,204266
Comunidad de Madrid,2011,Enero,472468
Islas Baleares,2011,Enero,90726
Canarias,2011,Enero,258311
Cantabria,2011,Enero,45800
Aragón,2011,Enero,95279
Comunidad Foral de Navarra,2011,Enero,45150
Galicia,2011,Enero,245831
Melilla,2011,Enero,10078
Región de Murcia,2011,Enero,133127
Andalucía,2011,Enero,930621
La Rioja,2011,Enero,22661
País Vasco,2011,Enero,143118
Comunidad Valenciana,2011,Enero,513800
Ceuta,2011,Enero,9364
Cataluña,2011,Enero,589623
Castilla-La Mancha,2011,Enero,212593
Extremadura,2011,Febrero,123254
Principado de Asturias,2011,Febrero,88072
Castilla y León,2011,Febrero,205006
Comunidad de Madrid,2011,Febrero,478170
Islas Baleares,2011,Febrero,89662
Canarias,2011,Febrero,261176
Cantabria,2011,Febrero,46976
Aragón,2011,Febrero,97283
Comunidad Foral de Navarra,2011,Febrero,45866
Galicia,2011,Febrero,248279
Melilla,2011,Febrero,10073
Región de Murcia,2011,Febrero,136739
Andalucía,2011,Febrero,944707
La Rioja,2011,Febrero,23221
País Vasco,2011,Febrero,145456
Comunidad Valenciana,2011,Febrero,526440
Ceuta,2011,Febrero,9635
Cataluña,2011,Febrero,602611
Castilla-La Mancha,2011,Febrero,216637
Extremadura,2011,Julio,117116
Principado de Asturias,2011,Julio,78717
Castilla y León,2011,Julio,180902
Comunidad de Madrid,2011,Julio,469957
Islas Baleares,2011,Julio,70980
Canarias,2011,Julio,253629
Cantabria,2011,Julio,41268
Aragón,2011,Julio,91872
Comunidad Foral de Navarra,2011,Julio,41744
Galicia,2011,Julio,223000
Melilla,2011,Julio,11408
Región de Murcia,2011,Julio,130260
Andalucía,2011,Julio,908548
La Rioja,2011,Julio,22546
País Vasco,2011,Julio,140097
Comunidad Valenciana,2011,Julio,509558
Ceuta,2011,Julio,10660
Cataluña,2011,Julio,570869
Castilla-La Mancha,2011,Julio,206611
Extremadura,2011,Junio,117890
Principado de Asturias,2011,Junio,80743
Castilla y León,2011,Junio,185917
Comunidad de Madrid,2011,Junio,469511
Islas Baleares,2011,Junio,71494
Canarias,2011,Junio,251963
Cantabria,2011,Junio,43098
Aragón,2011,Junio,91271
Comunidad Foral de Navarra,2011,Junio,41700
Galicia,2011,Junio,233557
Melilla,2011,Junio,11371
Región de Murcia,2011,Junio,130027
Andalucía,2011,Junio,910065
La Rioja,2011,Junio,22749
País Vasco,2011,Junio,144414
Comunidad Valenciana,2011,Junio,519180
Ceuta,2011,Junio,11264
Cataluña,2011,Junio,576394
Castilla-La Mancha,2011,Junio,209193
Extremadura,2011,Marzo,124022
Principado de Asturias,2011,Marzo,87740
Castilla y León,2011,Marzo,203586
Comunidad de Madrid,2011,Marzo,482025
Islas Baleares,2011,Marzo,88127
Canarias,2011,Marzo,261202
Cantabria,2011,Marzo,47395
Aragón,2011,Marzo,98840
Comunidad Foral de Navarra,2011,Marzo,45305
Galicia,2011,Marzo,249246
Melilla,2011,Marzo,10174
Región de Murcia,2011,Marzo,137495
Andalucía,2011,Marzo,951625
La Rioja,2011,Marzo,24074
País Vasco,2011,Marzo,151551
Comunidad Valenciana,2011,Marzo,532315
Ceuta,2011,Marzo,9933
Cataluña,2011,Marzo,611269
Castilla-La Mancha,2011,Marzo,217745
Extremadura,2011,Mayo,117324
Principado de Asturias,2011,Mayo,83181
Castilla y León,2011,Mayo,195039
Comunidad de Madrid,2011,Mayo,475876
Islas Baleares,2011,Mayo,75772
Canarias,2011,Mayo,254341
Cantabria,2011,Mayo,45195
Aragón,2011,Mayo,92485
Comunidad Foral de Navarra,2011,Mayo,42772
Galicia,2011,Mayo,240014
Melilla,2011,Mayo,10354
Región de Murcia,2011,Mayo,131027
Andalucía,2011,Mayo,911848
La Rioja,2011,Mayo,22655
País Vasco,2011,Mayo,148347
Comunidad Valenciana,2011,Mayo,524335
Ceuta,2011,Mayo,11319
Cataluña,2011,Mayo,595342
Castilla-La Mancha,2011,Mayo,212433
Extremadura,2011,Noviembre,134282
Principado de Asturias,2011,Noviembre,88853
Castilla y León,2011,Noviembre,203568
Comunidad de Madrid,2011,Noviembre,493012
Islas Baleares,2011,Noviembre,97320
Canarias,2011,Noviembre,266213
Cantabria,2011,Noviembre,48482
Aragón,2011,Noviembre,100078
Comunidad Foral de Navarra,2011,Noviembre,45839
Galicia,2011,Noviembre,253416
Melilla,2011,Noviembre,10619
Región de Murcia,2011,Noviembre,141718
Andalucía,2011,Noviembre,982477
La Rioja,2011,Noviembre,24560
País Vasco,2011,Noviembre,144974
Comunidad Valenciana,2011,Noviembre,532930
Ceuta,2011,Noviembre,11351
Cataluña,2011,Noviembre,615669
Castilla-La Mancha,2011,Noviembre,225101
Extremadura,2011,Octubre,132750
Principado de Asturias,2011,Octubre,85576
Castilla y León,2011,Octubre,199934
Comunidad de Madrid,2011,Octubre,497025
Islas Baleares,2011,Octubre,86924
Canarias,2011,Octubre,258264
Cantabria,2011,Octubre,46786
Aragón,2011,Octubre,97648
Comunidad Foral de Navarra,2011,Octubre,44771
Galicia,2011,Octubre,242142
Melilla,2011,Octubre,11487
Región de Murcia,2011,Octubre,138865
Andalucía,2011,Octubre,974162
La Rioja,2011,Octubre,23357
País Vasco,2011,Octubre,142601
Comunidad Valenciana,2011,Octubre,530307
Ceuta,2011,Octubre,11226
Cataluña,2011,Octubre,615558
Castilla-La Mancha,2011,Octubre,221543
Extremadura,2011,Septiembre,125050
Principado de Asturias,2011,Septiembre,82122
Castilla y León,2011,Septiembre,191675
Comunidad de Madrid,2011,Septiembre,485206
Islas Baleares,2011,Septiembre,76067
Canarias,2011,Septiembre,251990
Cantabria,2011,Septiembre,44367
Aragón,2011,Septiembre,94701
Comunidad Foral de Navarra,2011,Septiembre,42618
Galicia,2011,Septiembre,232918
Melilla,2011,Septiembre,11759
Región de Murcia,2011,Septiembre,136294
Andalucía,2011,Septiembre,943094
La Rioja,2011,Septiembre,21693
País Vasco,2011,Septiembre,141906
Comunidad Valenciana,2011,Septiembre,525732
