Comunidades y Ciudades Autónomas;General. vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Islas Baleares;Vivienda segunda mano;Variación en lo que va de año;2009T2;-5.9
Islas Baleares;Vivienda segunda mano;Variación en lo que va de año;2009T1;-4.8
Islas Baleares;Vivienda segunda mano;Variación en lo que va de año;2008T4;-10.1
Islas Baleares;Vivienda segunda mano;Variación en lo que va de año;2008T3;-5.2
Islas Baleares;Vivienda segunda mano;Variación en lo que va de año;2008T2;-1.8
Islas Baleares;Vivienda segunda mano;Variación en lo que va de año;2008T1;-1.8
Islas Baleares;Vivienda segunda mano;Variación en lo que va de año;2007T4;5.2
Islas Baleares;Vivienda segunda mano;Variación en lo que va de año;2007T3;6.6
Islas Baleares;Vivienda segunda mano;Variación en lo que va de año;2007T2;5.5
Islas Baleares;Vivienda segunda mano;Variación en lo que va de año;2007T1;2.2
Canarias;General;Índice;2019T4;118.344
Canarias;General;Índice;2019T3;118.096
Canarias;General;Índice;2019T2;116.974
Canarias;General;Índice;2019T1;116.934
Canarias;General;Índice;2018T4;114.839
Canarias;General;Índice;2018T3;113.772
Canarias;General;Índice;2018T2;113.327
Canarias;General;Índice;2018T1;111.167
Canarias;General;Índice;2017T4;110.270
Canarias;General;Índice;2017T3;107.978
Canarias;General;Índice;2017T2;106.971
Canarias;General;Índice;2017T1;106.334
Canarias;General;Índice;2016T4;103.994
Canarias;General;Índice;2016T3;103.321
Canarias;General;Índice;2016T2;103.263
Canarias;General;Índice;2016T1;102.797
Canarias;General;Índice;2015T4;100.637
Canarias;General;Índice;2015T3;100.937
Canarias;General;Índice;2015T2;101.338
Canarias;General;Índice;2015T1;97.087
Canarias;General;Índice;2014T4;97.117
Canarias;General;Índice;2014T3;96.716
Canarias;General;Índice;2014T2;97.829
Canarias;General;Índice;2014T1;95.181
Canarias;General;Índice;2013T4;96.606
Canarias;General;Índice;2013T3;97.316
Canarias;General;Índice;2013T2;98.051
Canarias;General;Índice;2013T1;99.840
Canarias;General;Índice;2012T4;103.660
Canarias;General;Índice;2012T3;103.315
Canarias;General;Índice;2012T2;108.044
Canarias;General;Índice;2012T1;113.675
Canarias;General;Índice;2011T4;119.605
Canarias;General;Índice;2011T3;121.593
Canarias;General;Índice;2011T2;126.088
Canarias;General;Índice;2011T1;127.156
Canarias;General;Índice;2010T4;129.540
Canarias;General;Índice;2010T3;130.380
Canarias;General;Índice;2010T2;132.972
