Comunidades autónomas;Tipo de dato;Periodo;Total
Canarias;Tasa de variación anual;2018M02;075
Canarias;Tasa de variación anual;2018M01;-083
Canarias;Tasa de variación anual;2017M12;048
Canarias;Tasa de variación anual;2017M11;670
Canarias;Tasa de variación anual;2017M10;308
Canarias;Tasa de variación anual;2017M09;1178
Canarias;Tasa de variación anual;2017M08;489
Canarias;Tasa de variación anual;2017M07;402
Canarias;Tasa de variación anual;2017M06;1043
Canarias;Tasa de variación anual;2017M05;1050
Canarias;Tasa de variación anual;2017M04;1786
Canarias;Tasa de variación anual;2017M03;645
Canarias;Tasa de variación anual;2017M02;621
Canarias;Tasa de variación anual;2017M01;767
Canarias;Tasa de variación anual;2016M12;1862
Canarias;Tasa de variación anual;2016M11;534
Canarias;Tasa de variación anual;2016M10;1610
Canarias;Tasa de variación anual;2016M09;1403
Canarias;Tasa de variación anual;2016M08;915
Canarias;Tasa de variación anual;2016M07;2208
Canarias;Tasa de variación anual;2016M06;1874
Canarias;Tasa de variación anual;2016M05;1037
Canarias;Tasa de variación anual;2016M04;1668
Canarias;Tasa de variación anual;2016M03;1350
Canarias;Tasa de variación anual;2016M02;1239
Canarias;Tasa de variación anual;2016M01;690
Canarias;Tasa de variación anual;2015M12;373
Canarias;Tasa de variación anual;2015M11;708
Canarias;Tasa de variación anual;2015M10;346
Canarias;Acumulado en lo que va de año;2020M01;1101223
Canarias;Acumulado en lo que va de año;2019M12;13147009
Canarias;Acumulado en lo que va de año;2019M11;11946214
Canarias;Acumulado en lo que va de año;2019M10;10772893
Canarias;Acumulado en lo que va de año;2019M09;9629230
Canarias;Acumulado en lo que va de año;2019M08;8677139
Canarias;Acumulado en lo que va de año;2019M07;7636899
Canarias;Acumulado en lo que va de año;2019M06;6605237
Canarias;Acumulado en lo que va de año;2019M05;5673428
Canarias;Acumulado en lo que va de año;2019M04;4784650
Canarias;Acumulado en lo que va de año;2019M03;3679054
Canarias;Acumulado en lo que va de año;2019M02;2338435
Canarias;Acumulado en lo que va de año;2019M01;1158782
Canarias;Acumulado en lo que va de año;2018M12;13752022
Canarias;Acumulado en lo que va de año;2018M11;12495832
Canarias;Acumulado en lo que va de año;2018M10;11311268
Canarias;Acumulado en lo que va de año;2018M09;10053523
Canarias;Acumulado en lo que va de año;2018M08;9014302
Canarias;Acumulado en lo que va de año;2018M07;7915918
Canarias;Acumulado en lo que va de año;2018M06;6795699
Canarias;Acumulado en lo que va de año;2018M05;5794265
Canarias;Acumulado en lo que va de año;2018M04;4827056
Canarias;Acumulado en lo que va de año;2018M03;3724054
Canarias;Acumulado en lo que va de año;2018M02;2376352
Canarias;Acumulado en lo que va de año;2018M01;1183486
Canarias;Acumulado en lo que va de año;2017M12;14214222
Canarias;Acumulado en lo que va de año;2017M11;12957852
Canarias;Acumulado en lo que va de año;2017M10;11717999
Canarias;Acumulado en lo que va de año;2017M09;10408347
Canarias;Acumulado en lo que va de año;2017M08;9296947
Canarias;Acumulado en lo que va de año;2017M07;8130980
Canarias;Acumulado en lo que va de año;2017M06;6944499
Canarias;Acumulado en lo que va de año;2017M05;5909847
Canarias;Acumulado en lo que va de año;2017M04;4916416
Canarias;Acumulado en lo que va de año;2017M03;3661354
Canarias;Acumulado en lo que va de año;2017M02;2377415
Canarias;Acumulado en lo que va de año;2017M01;1193435
Canarias;Acumulado en lo que va de año;2016M12;13259567
Canarias;Acumulado en lo que va de año;2016M11;12009155
Canarias;Acumulado en lo que va de año;2016M10;10847132
Canarias;Acumulado en lo que va de año;2016M09;9576666
Canarias;Acumulado en lo que va de año;2016M08;8582431
Canarias;Acumulado en lo que va de año;2016M07;7470787
Canarias;Acumulado en lo que va de año;2016M06;6330108
Canarias;Acumulado en lo que va de año;2016M05;5393167
Canarias;Acumulado en lo que va de año;2016M04;4494122
Canarias;Acumulado en lo que va de año;2016M03;3429273
Canarias;Acumulado en lo que va de año;2016M02;2223125
Canarias;Acumulado en lo que va de año;2016M01;1108379
Canarias;Acumulado en lo que va de año;2015M12;""
Canarias;Acumulado en lo que va de año;2015M11;""
Canarias;Acumulado en lo que va de año;2015M10;""
Canarias;Tasa de variación acumulada;2020M01;-497
Canarias;Tasa de variación acumulada;2019M12;-440
Canarias;Tasa de variación acumulada;2019M11;-440
Canarias;Tasa de variación acumulada;2019M10;-476
Canarias;Tasa de variación acumulada;2019M09;-422
Canarias;Tasa de variación acumulada;2019M08;-374
Canarias;Tasa de variación acumulada;2019M07;-352
Canarias;Tasa de variación acumulada;2019M06;-280
Canarias;Tasa de variación acumulada;2019M05;-209
Canarias;Tasa de variación acumulada;2019M04;-088
Canarias;Tasa de variación acumulada;2019M03;-121
Canarias;Tasa de variación acumulada;2019M02;-160
Canarias;Tasa de variación acumulada;2019M01;-209
Canarias;Tasa de variación acumulada;2018M12;-325
Canarias;Tasa de variación acumulada;2018M11;-357
Canarias;Tasa de variación acumulada;2018M10;-347
Canarias;Tasa de variación acumulada;2018M09;-341
Canarias;Tasa de variación acumulada;2018M08;-304
Canarias;Tasa de variación acumulada;2018M07;-264
Canarias;Tasa de variación acumulada;2018M06;-214
Canarias;Tasa de variación acumulada;2018M05;-196
Canarias;Tasa de variación acumulada;2018M04;-182
Canarias;Tasa de variación acumulada;2018M03;171
Canarias;Tasa de variación acumulada;2018M02;-004
Canarias;Tasa de variación acumulada;2018M01;-083
Canarias;Tasa de variación acumulada;2017M12;720
Canarias;Tasa de variación acumulada;2017M11;790
Canarias;Tasa de variación acumulada;2017M10;803
Canarias;Tasa de variación acumulada;2017M09;868
Canarias;Tasa de variación acumulada;2017M08;833
Canarias;Tasa de variación acumulada;2017M07;884
Canarias;Tasa de variación acumulada;2017M06;971
Canarias;Tasa de variación acumulada;2017M05;958
Canarias;Tasa de variación acumulada;2017M04;940
Canarias;Tasa de variación acumulada;2017M03;677
Canarias;Tasa de variación acumulada;2017M02;694
Canarias;Tasa de variación acumulada;2017M01;767
Canarias;Tasa de variación acumulada;2016M12;1349
Canarias;Tasa de variación acumulada;2016M11;1298
Canarias;Tasa de variación acumulada;2016M10;1386
Canarias;Tasa de variación acumulada;2016M09;1357
Canarias;Tasa de variación acumulada;2016M08;1352
Canarias;Tasa de variación acumulada;2016M07;1420
Canarias;Tasa de variación acumulada;2016M06;1288
Canarias;Tasa de variación acumulada;2016M05;1193
Canarias;Tasa de variación acumulada;2016M04;1224
Canarias;Tasa de variación acumulada;2016M03;1093
Canarias;Tasa de variación acumulada;2016M02;959
Canarias;Tasa de variación acumulada;2016M01;690
Canarias;Tasa de variación acumulada;2015M12;""
Canarias;Tasa de variación acumulada;2015M11;""
Canarias;Tasa de variación acumulada;2015M10;""
Cataluña;Dato base;2020M01;869168
Cataluña;Dato base;2019M12;993085
Cataluña;Dato base;2019M11;1049423
Cataluña;Dato base;2019M10;1691438
Cataluña;Dato base;2019M09;2011982
Cataluña;Dato base;2019M08;2358838
Cataluña;Dato base;2019M07;2376608
Cataluña;Dato base;2019M06;2151525
Cataluña;Dato base;2019M05;1830968
Cataluña;Dato base;2019M04;1677105
Cataluña;Dato base;2019M03;1276644
Cataluña;Dato base;2019M02;1029808
Cataluña;Dato base;2019M01;910329
Cataluña;Dato base;2018M12;969322
Cataluña;Dato base;2018M11;1034633
Cataluña;Dato base;2018M10;1665215
Cataluña;Dato base;2018M09;2007474
Cataluña;Dato base;2018M08;2433300
Cataluña;Dato base;2018M07;2427842
Cataluña;Dato base;2018M06;2104373
Cataluña;Dato base;2018M05;1885365
Cataluña;Dato base;2018M04;1570899
Cataluña;Dato base;2018M03;1217330
Cataluña;Dato base;2018M02;1015793
Cataluña;Dato base;2018M01;864798
Cataluña;Dato base;2017M12;822765
Cataluña;Dato base;2017M11;981462
Cataluña;Dato base;2017M10;1497032
Cataluña;Dato base;2017M09;1999689
Cataluña;Dato base;2017M08;2567612
Cataluña;Dato base;2017M07;2557125
Cataluña;Dato base;2017M06;2026356
Cataluña;Dato base;2017M05;1920946
Cataluña;Dato base;2017M04;1755019
Cataluña;Dato base;2017M03;1155003
Cataluña;Dato base;2017M02;989198
Cataluña;Dato base;2017M01;846213
Cataluña;Dato base;2016M12;956468
Cataluña;Dato base;2016M11;1009971
Cataluña;Dato base;2016M10;1562897
Cataluña;Dato base;2016M09;1876937
Cataluña;Dato base;2016M08;2501193
Cataluña;Dato base;2016M07;2394803
Cataluña;Dato base;2016M06;1850823
Cataluña;Dato base;2016M05;1630433
Cataluña;Dato base;2016M04;1483021
Cataluña;Dato base;2016M03;1076434
Cataluña;Dato base;2016M02;930354
Cataluña;Dato base;2016M01;865842
Cataluña;Dato base;2015M12;890133
Cataluña;Dato base;2015M11;1029270
Cataluña;Dato base;2015M10;1521926
Cataluña;Tasa de variación anual;2020M01;-452
Cataluña;Tasa de variación anual;2019M12;245
Cataluña;Tasa de variación anual;2019M11;143
Cataluña;Tasa de variación anual;2019M10;157
Cataluña;Tasa de variación anual;2019M09;022
Cataluña;Tasa de variación anual;2019M08;-306
Cataluña;Tasa de variación anual;2019M07;-211
Cataluña;Tasa de variación anual;2019M06;224
Cataluña;Tasa de variación anual;2019M05;-289
Cataluña;Tasa de variación anual;2019M04;676
Cataluña;Tasa de variación anual;2019M03;487
Cataluña;Tasa de variación anual;2019M02;138
Cataluña;Tasa de variación anual;2019M01;526
Cataluña;Tasa de variación anual;2018M12;1781
Cataluña;Tasa de variación anual;2018M11;542
Cataluña;Tasa de variación anual;2018M10;1123
Cataluña;Tasa de variación anual;2018M09;039
Cataluña;Tasa de variación anual;2018M08;-523
Cataluña;Tasa de variación anual;2018M07;-506
Cataluña;Tasa de variación anual;2018M06;385
Cataluña;Tasa de variación anual;2018M05;-185
Cataluña;Tasa de variación anual;2018M04;-1049
Cataluña;Tasa de variación anual;2018M03;540
Cataluña;Tasa de variación anual;2018M02;269
Cataluña;Tasa de variación anual;2018M01;220
Cataluña;Tasa de variación anual;2017M12;-1398
Cataluña;Tasa de variación anual;2017M11;-282
Cataluña;Tasa de variación anual;2017M10;-421
Cataluña;Tasa de variación anual;2017M09;654
Cataluña;Tasa de variación anual;2017M08;266
Cataluña;Tasa de variación anual;2017M07;678
Cataluña;Tasa de variación anual;2017M06;948
Cataluña;Tasa de variación anual;2017M05;1782
Cataluña;Tasa de variación anual;2017M04;1834
Cataluña;Tasa de variación anual;2017M03;730
Cataluña;Tasa de variación anual;2017M02;632
Cataluña;Tasa de variación anual;2017M01;-227
Cataluña;Tasa de variación anual;2016M12;745
Cataluña;Tasa de variación anual;2016M11;-188
Cataluña;Tasa de variación anual;2016M10;269
Cataluña;Tasa de variación anual;2016M09;327
Cataluña;Tasa de variación anual;2016M08;452
Cataluña;Tasa de variación anual;2016M07;354
Cataluña;Tasa de variación anual;2016M06;827
Cataluña;Tasa de variación anual;2016M05;-038
Cataluña;Tasa de variación anual;2016M04;312
Cataluña;Tasa de variación anual;2016M03;276
Cataluña;Tasa de variación anual;2016M02;1152
Cataluña;Tasa de variación anual;2016M01;1572
Cataluña;Tasa de variación anual;2015M12;324
Cataluña;Tasa de variación anual;2015M11;752
Cataluña;Tasa de variación anual;2015M10;223
Cataluña;Acumulado en lo que va de año;2020M01;869168
Cataluña;Acumulado en lo que va de año;2019M12;19358203
Cataluña;Acumulado en lo que va de año;2019M11;18365118
Cataluña;Acumulado en lo que va de año;2019M10;17315695
Cataluña;Acumulado en lo que va de año;2019M09;15624257
Cataluña;Acumulado en lo que va de año;2019M08;13612274
Cataluña;Acumulado en lo que va de año;2019M07;11253437
Cataluña;Acumulado en lo que va de año;2019M06;8876828
Cataluña;Acumulado en lo que va de año;2019M05;6725304
Cataluña;Acumulado en lo que va de año;2019M04;4894335
Cataluña;Acumulado en lo que va de año;2019M03;3217230
Cataluña;Acumulado en lo que va de año;2019M02;1940586
Cataluña;Acumulado en lo que va de año;2019M01;910329
Cataluña;Acumulado en lo que va de año;2018M12;19196344
Cataluña;Acumulado en lo que va de año;2018M11;18227022
Cataluña;Acumulado en lo que va de año;2018M10;17192389
Cataluña;Acumulado en lo que va de año;2018M09;15527174
Cataluña;Acumulado en lo que va de año;2018M08;13519700
Cataluña;Acumulado en lo que va de año;2018M07;11086400
Cataluña;Acumulado en lo que va de año;2018M06;8658557
Cataluña;Acumulado en lo que va de año;2018M05;6554184
Cataluña;Acumulado en lo que va de año;2018M04;4668819
Cataluña;Acumulado en lo que va de año;2018M03;3097920
Cataluña;Acumulado en lo que va de año;2018M02;1880591
Cataluña;Acumulado en lo que va de año;2018M01;864798
Cataluña;Acumulado en lo que va de año;2017M12;19118421
Cataluña;Acumulado en lo que va de año;2017M11;18295656
Cataluña;Acumulado en lo que va de año;2017M10;17314194
Cataluña;Acumulado en lo que va de año;2017M09;15817162
Cataluña;Acumulado en lo que va de año;2017M08;13817473
Cataluña;Acumulado en lo que va de año;2017M07;11249861
Cataluña;Acumulado en lo que va de año;2017M06;8692736
Cataluña;Acumulado en lo que va de año;2017M05;6666380
Cataluña;Acumulado en lo que va de año;2017M04;4745433
Cataluña;Acumulado en lo que va de año;2017M03;2990414
Cataluña;Acumulado en lo que va de año;2017M02;1835411
Cataluña;Acumulado en lo que va de año;2017M01;846213
Cataluña;Acumulado en lo que va de año;2016M12;18139177
Cataluña;Acumulado en lo que va de año;2016M11;17182709
Cataluña;Acumulado en lo que va de año;2016M10;16172738
Cataluña;Acumulado en lo que va de año;2016M09;14609840
Cataluña;Acumulado en lo que va de año;2016M08;12732903
Cataluña;Acumulado en lo que va de año;2016M07;10231710
Cataluña;Acumulado en lo que va de año;2016M06;7836908
Cataluña;Acumulado en lo que va de año;2016M05;5986085
Cataluña;Acumulado en lo que va de año;2016M04;4355652
Cataluña;Acumulado en lo que va de año;2016M03;2872630
Cataluña;Acumulado en lo que va de año;2016M02;1796196
Cataluña;Acumulado en lo que va de año;2016M01;865842
Cataluña;Acumulado en lo que va de año;2015M12;""
Cataluña;Acumulado en lo que va de año;2015M11;""
Cataluña;Acumulado en lo que va de año;2015M10;""
Cataluña;Tasa de variación acumulada;2020M01;-452
Cataluña;Tasa de variación acumulada;2019M12;084
Cataluña;Tasa de variación acumulada;2019M11;076
Cataluña;Tasa de variación acumulada;2019M10;072
Cataluña;Tasa de variación acumulada;2019M09;063
Cataluña;Tasa de variación acumulada;2019M08;068
Cataluña;Tasa de variación acumulada;2019M07;151
Cataluña;Tasa de variación acumulada;2019M06;252
Cataluña;Tasa de variación acumulada;2019M05;261
Cataluña;Tasa de variación acumulada;2019M04;483
Cataluña;Tasa de variación acumulada;2019M03;385
Cataluña;Tasa de variación acumulada;2019M02;319
Cataluña;Tasa de variación acumulada;2019M01;526
Cataluña;Tasa de variación acumulada;2018M12;041
Cataluña;Tasa de variación acumulada;2018M11;-038
Cataluña;Tasa de variación acumulada;2018M10;-070
Cataluña;Tasa de variación acumulada;2018M09;-183
Cataluña;Tasa de variación acumulada;2018M08;-216
Cataluña;Tasa de variación acumulada;2018M07;-145
Cataluña;Tasa de variación acumulada;2018M06;-039
Cataluña;Tasa de variación acumulada;2018M05;-168
Cataluña;Tasa de variación acumulada;2018M04;-161
Cataluña;Tasa de variación acumulada;2018M03;360
Cataluña;Tasa de variación acumulada;2018M02;246
Cataluña;Tasa de variación acumulada;2018M01;220
Cataluña;Tasa de variación acumulada;2017M12;540
Cataluña;Tasa de variación acumulada;2017M11;648
Cataluña;Tasa de variación acumulada;2017M10;706
Cataluña;Tasa de variación acumulada;2017M09;826
Cataluña;Tasa de variación acumulada;2017M08;852
Cataluña;Tasa de variación acumulada;2017M07;995
Cataluña;Tasa de variación acumulada;2017M06;1092
Cataluña;Tasa de variación acumulada;2017M05;1136
Cataluña;Tasa de variación acumulada;2017M04;895
Cataluña;Tasa de variación acumulada;2017M03;410
Cataluña;Tasa de variación acumulada;2017M02;218
Cataluña;Tasa de variación acumulada;2017M01;-227
Cataluña;Tasa de variación acumulada;2016M12;437
Cataluña;Tasa de variación acumulada;2016M11;421
Cataluña;Tasa de variación acumulada;2016M10;461
Cataluña;Tasa de variación acumulada;2016M09;482
Cataluña;Tasa de variación acumulada;2016M08;506
Cataluña;Tasa de variación acumulada;2016M07;519
Cataluña;Tasa de variación acumulada;2016M06;570
Cataluña;Tasa de variación acumulada;2016M05;493
Cataluña;Tasa de variación acumulada;2016M04;707
Cataluña;Tasa de variación acumulada;2016M03;923
Cataluña;Tasa de variación acumulada;2016M02;1351
Cataluña;Tasa de variación acumulada;2016M01;1572
Cataluña;Tasa de variación acumulada;2015M12;""
Cataluña;Tasa de variación acumulada;2015M11;""
Cataluña;Tasa de variación acumulada;2015M10;""
Comunidad Valenciana;Dato base;2020M01;434205
Comunidad Valenciana;Dato base;2019M12;456596
Comunidad Valenciana;Dato base;2019M11;545604
Comunidad Valenciana;Dato base;2019M10;875329
Comunidad Valenciana;Dato base;2019M09;1023299
Comunidad Valenciana;Dato base;2019M08;1271169
Comunidad Valenciana;Dato base;2019M07;1247582
Comunidad Valenciana;Dato base;2019M06;935806
Comunidad Valenciana;Dato base;2019M05;866907
Comunidad Valenciana;Dato base;2019M04;829363
Comunidad Valenciana;Dato base;2019M03;640678
Comunidad Valenciana;Dato base;2019M02;459456
Comunidad Valenciana;Dato base;2019M01;413553
Comunidad Valenciana;Dato base;2018M12;427830
Comunidad Valenciana;Dato base;2018M11;497041
Comunidad Valenciana;Dato base;2018M10;861013
Comunidad Valenciana;Dato base;2018M09;1005841
Comunidad Valenciana;Dato base;2018M08;1175555
Comunidad Valenciana;Dato base;2018M07;1132280
Comunidad Valenciana;Dato base;2018M06;901232
Comunidad Valenciana;Dato base;2018M05;910651
Comunidad Valenciana;Dato base;2018M04;769612
Comunidad Valenciana;Dato base;2018M03;625460
Comunidad Valenciana;Dato base;2018M02;449519
Comunidad Valenciana;Dato base;2018M01;450874
Comunidad Valenciana;Dato base;2017M12;400590
Comunidad Valenciana;Dato base;2017M11;452023
Comunidad Valenciana;Dato base;2017M10;812655
Comunidad Valenciana;Dato base;2017M09;982638
Comunidad Valenciana;Dato base;2017M08;1158902
Comunidad Valenciana;Dato base;2017M07;1217502
Comunidad Valenciana;Dato base;2017M06;873923
Comunidad Valenciana;Dato base;2017M05;918843
Comunidad Valenciana;Dato base;2017M04;749885
Comunidad Valenciana;Dato base;2017M03;526701
Comunidad Valenciana;Dato base;2017M02;429384
Comunidad Valenciana;Dato base;2017M01;402914
Comunidad Valenciana;Dato base;2016M12;366649
Comunidad Valenciana;Dato base;2016M11;377912
Comunidad Valenciana;Dato base;2016M10;761381
Comunidad Valenciana;Dato base;2016M09;779057
Comunidad Valenciana;Dato base;2016M08;1117241
Comunidad Valenciana;Dato base;2016M07;1040949
Comunidad Valenciana;Dato base;2016M06;729855
Comunidad Valenciana;Dato base;2016M05;767289
Comunidad Valenciana;Dato base;2016M04;643239
Comunidad Valenciana;Dato base;2016M03;480476
Comunidad Valenciana;Dato base;2016M02;349586
Comunidad Valenciana;Dato base;2016M01;318136
Comunidad Valenciana;Dato base;2015M12;320260
Comunidad Valenciana;Dato base;2015M11;319290
Comunidad Valenciana;Dato base;2015M10;624144
Comunidad Valenciana;Tasa de variación anual;2020M01;499
Comunidad Valenciana;Tasa de variación anual;2019M12;672
Comunidad Valenciana;Tasa de variación anual;2019M11;977
Comunidad Valenciana;Tasa de variación anual;2019M10;166
Comunidad Valenciana;Tasa de variación anual;2019M09;174
Comunidad Valenciana;Tasa de variación anual;2019M08;813
Comunidad Valenciana;Tasa de variación anual;2019M07;1018
Comunidad Valenciana;Tasa de variación anual;2019M06;384
Comunidad Valenciana;Tasa de variación anual;2019M05;-480
Comunidad Valenciana;Tasa de variación anual;2019M04;776
Comunidad Valenciana;Tasa de variación anual;2019M03;243
Comunidad Valenciana;Tasa de variación anual;2019M02;221
Comunidad Valenciana;Tasa de variación anual;2019M01;-828
Comunidad Valenciana;Tasa de variación anual;2018M12;680
Comunidad Valenciana;Tasa de variación anual;2018M11;996
Comunidad Valenciana;Tasa de variación anual;2018M10;595
Comunidad Valenciana;Tasa de variación anual;2018M09;236
Comunidad Valenciana;Tasa de variación anual;2018M08;144
Comunidad Valenciana;Tasa de variación anual;2018M07;-700
Comunidad Valenciana;Tasa de variación anual;2018M06;312
Comunidad Valenciana;Tasa de variación anual;2018M05;-089
Comunidad Valenciana;Tasa de variación anual;2018M04;263
Comunidad Valenciana;Tasa de variación anual;2018M03;1875
Comunidad Valenciana;Tasa de variación anual;2018M02;469
Comunidad Valenciana;Tasa de variación anual;2018M01;1190
Comunidad Valenciana;Tasa de variación anual;2017M12;926
Comunidad Valenciana;Tasa de variación anual;2017M11;1961
Comunidad Valenciana;Tasa de variación anual;2017M10;673
Comunidad Valenciana;Tasa de variación anual;2017M09;2613
Comunidad Valenciana;Tasa de variación anual;2017M08;373
Comunidad Valenciana;Tasa de variación anual;2017M07;1696
Comunidad Valenciana;Tasa de variación anual;2017M06;1974
Comunidad Valenciana;Tasa de variación anual;2017M05;1975
Comunidad Valenciana;Tasa de variación anual;2017M04;1658
Comunidad Valenciana;Tasa de variación anual;2017M03;962
Comunidad Valenciana;Tasa de variación anual;2017M02;2283
Comunidad Valenciana;Tasa de variación anual;2017M01;2665
Comunidad Valenciana;Tasa de variación anual;2016M12;1449
Comunidad Valenciana;Tasa de variación anual;2016M11;1836
Comunidad Valenciana;Tasa de variación anual;2016M10;2199
Comunidad Valenciana;Tasa de variación anual;2016M09;1564
Comunidad Valenciana;Tasa de variación anual;2016M08;1152
Comunidad Valenciana;Tasa de variación anual;2016M07;1537
Comunidad Valenciana;Tasa de variación anual;2016M06;1533
Comunidad Valenciana;Tasa de variación anual;2016M05;2124
Comunidad Valenciana;Tasa de variación anual;2016M04;1642
Comunidad Valenciana;Tasa de variación anual;2016M03;2533
Comunidad Valenciana;Tasa de variación anual;2016M02;2748
Comunidad Valenciana;Tasa de variación anual;2016M01;2432
Comunidad Valenciana;Tasa de variación anual;2015M12;1682
Comunidad Valenciana;Tasa de variación anual;2015M11;952
Comunidad Valenciana;Tasa de variación anual;2015M10;432
Comunidad Valenciana;Acumulado en lo que va de año;2020M01;434205
Comunidad Valenciana;Acumulado en lo que va de año;2019M12;9566566
Comunidad Valenciana;Acumulado en lo que va de año;2019M11;9109970
Comunidad Valenciana;Acumulado en lo que va de año;2019M10;8564366
Comunidad Valenciana;Acumulado en lo que va de año;2019M09;7689037
Comunidad Valenciana;Acumulado en lo que va de año;2019M08;6665738
Comunidad Valenciana;Acumulado en lo que va de año;2019M07;5394569
Comunidad Valenciana;Acumulado en lo que va de año;2019M06;4146987
Comunidad Valenciana;Acumulado en lo que va de año;2019M05;3211181
Comunidad Valenciana;Acumulado en lo que va de año;2019M04;2344275
Comunidad Valenciana;Acumulado en lo que va de año;2019M03;1514912
Comunidad Valenciana;Acumulado en lo que va de año;2019M02;874233
Comunidad Valenciana;Acumulado en lo que va de año;2019M01;413553
Comunidad Valenciana;Acumulado en lo que va de año;2018M12;9206908
Comunidad Valenciana;Acumulado en lo que va de año;2018M11;8779077
Comunidad Valenciana;Acumulado en lo que va de año;2018M10;8282037
Comunidad Valenciana;Acumulado en lo que va de año;2018M09;7421024
Comunidad Valenciana;Acumulado en lo que va de año;2018M08;6415183
Comunidad Valenciana;Acumulado en lo que va de año;2018M07;5239628
Comunidad Valenciana;Acumulado en lo que va de año;2018M06;4107348
Comunidad Valenciana;Acumulado en lo que va de año;2018M05;3206116
Comunidad Valenciana;Acumulado en lo que va de año;2018M04;2295465
Comunidad Valenciana;Acumulado en lo que va de año;2018M03;1525853
Comunidad Valenciana;Acumulado en lo que va de año;2018M02;900393
Comunidad Valenciana;Acumulado en lo que va de año;2018M01;450874
Comunidad Valenciana;Acumulado en lo que va de año;2017M12;8925959
Comunidad Valenciana;Acumulado en lo que va de año;2017M11;8525368
Comunidad Valenciana;Acumulado en lo que va de año;2017M10;8073345
Comunidad Valenciana;Acumulado en lo que va de año;2017M09;7260690
Comunidad Valenciana;Acumulado en lo que va de año;2017M08;6278052
Comunidad Valenciana;Acumulado en lo que va de año;2017M07;5119150
Comunidad Valenciana;Acumulado en lo que va de año;2017M06;3901649
Comunidad Valenciana;Acumulado en lo que va de año;2017M05;3027726
Comunidad Valenciana;Acumulado en lo que va de año;2017M04;2108883
Comunidad Valenciana;Acumulado en lo que va de año;2017M03;1358998
Comunidad Valenciana;Acumulado en lo que va de año;2017M02;832297
Comunidad Valenciana;Acumulado en lo que va de año;2017M01;402914
Comunidad Valenciana;Acumulado en lo que va de año;2016M12;7731770
Comunidad Valenciana;Acumulado en lo que va de año;2016M11;7365121
Comunidad Valenciana;Acumulado en lo que va de año;2016M10;6987209
Comunidad Valenciana;Acumulado en lo que va de año;2016M09;6225828
Comunidad Valenciana;Acumulado en lo que va de año;2016M08;5446770
Comunidad Valenciana;Acumulado en lo que va de año;2016M07;4329529
Comunidad Valenciana;Acumulado en lo que va de año;2016M06;3288580
Comunidad Valenciana;Acumulado en lo que va de año;2016M05;2558725
Comunidad Valenciana;Acumulado en lo que va de año;2016M04;1791436
Comunidad Valenciana;Acumulado en lo que va de año;2016M03;1148197
Comunidad Valenciana;Acumulado en lo que va de año;2016M02;667722
Comunidad Valenciana;Acumulado en lo que va de año;2016M01;318136
Comunidad Valenciana;Acumulado en lo que va de año;2015M12;""
Comunidad Valenciana;Acumulado en lo que va de año;2015M11;""
Comunidad Valenciana;Acumulado en lo que va de año;2015M10;""
Comunidad Valenciana;Tasa de variación acumulada;2020M01;499
Comunidad Valenciana;Tasa de variación acumulada;2019M12;391
Comunidad Valenciana;Tasa de variación acumulada;2019M11;377
Comunidad Valenciana;Tasa de variación acumulada;2019M10;341
Comunidad Valenciana;Tasa de variación acumulada;2019M09;361
Comunidad Valenciana;Tasa de variación acumulada;2019M08;391
Comunidad Valenciana;Tasa de variación acumulada;2019M07;296
Comunidad Valenciana;Tasa de variación acumulada;2019M06;097
Comunidad Valenciana;Tasa de variación acumulada;2019M05;016
Comunidad Valenciana;Tasa de variación acumulada;2019M04;213
Comunidad Valenciana;Tasa de variación acumulada;2019M03;-072
Comunidad Valenciana;Tasa de variación acumulada;2019M02;-291
Comunidad Valenciana;Tasa de variación acumulada;2019M01;-828
Comunidad Valenciana;Tasa de variación acumulada;2018M12;315
Comunidad Valenciana;Tasa de variación acumulada;2018M11;298
Comunidad Valenciana;Tasa de variación acumulada;2018M10;258
Comunidad Valenciana;Tasa de variación acumulada;2018M09;221
Comunidad Valenciana;Tasa de variación acumulada;2018M08;218
Comunidad Valenciana;Tasa de variación acumulada;2018M07;235
Comunidad Valenciana;Tasa de variación acumulada;2018M06;527
Comunidad Valenciana;Tasa de variación acumulada;2018M05;589
Comunidad Valenciana;Tasa de variación acumulada;2018M04;885
Comunidad Valenciana;Tasa de variación acumulada;2018M03;1228
Comunidad Valenciana;Tasa de variación acumulada;2018M02;818
Comunidad Valenciana;Tasa de variación acumulada;2018M01;1190
Comunidad Valenciana;Tasa de variación acumulada;2017M12;1545
Comunidad Valenciana;Tasa de variación acumulada;2017M11;1575
Comunidad Valenciana;Tasa de variación acumulada;2017M10;1554
Comunidad Valenciana;Tasa de variación acumulada;2017M09;1662
Comunidad Valenciana;Tasa de variación acumulada;2017M08;1526
Comunidad Valenciana;Tasa de variación acumulada;2017M07;1824
Comunidad Valenciana;Tasa de variación acumulada;2017M06;1864
Comunidad Valenciana;Tasa de variación acumulada;2017M05;1833
Comunidad Valenciana;Tasa de variación acumulada;2017M04;1772
Comunidad Valenciana;Tasa de variación acumulada;2017M03;1836
Comunidad Valenciana;Tasa de variación acumulada;2017M02;2465
Comunidad Valenciana;Tasa de variación acumulada;2017M01;2665
Comunidad Valenciana;Tasa de variación acumulada;2016M12;1763
Comunidad Valenciana;Tasa de variación acumulada;2016M11;1779
