TERRITORIO;TIPOLOGÍA PENAL;a_2013;a_2014;Var_porc_14s13
Municipio de Algeciras;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);33;45;36,4
Municipio de Algeciras;4.-ROBOS CON FUERZA;257;285;10,9
Municipio de Algeciras;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);68;76;11,8
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);44;56;27,3
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);185;197;6,5
Municipio de Algeciras;7.-DAÑOS;192;213;10,9
Municipio de Algeciras;8.-HURTOS;464;439;-5,4
Municipio de Cádiz;1.-DELITOS Y FALTAS (EU);1504;1577;4,9
Municipio de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);42;39;-7,1
Municipio de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);35;30;-14,3
Municipio de Cádiz;4.-ROBOS CON FUERZA;116;105;-9,5
Municipio de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);11;24;118,2
Municipio de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);59;49;-16,9
Municipio de Cádiz;6.-TRÁFICO DE DROGAS (EU);8;21;162,5
Municipio de Cádiz;7.-DAÑOS;119;132;10,9
Municipio de Cádiz;8.-HURTOS;665;668;0,5
Municipio de Chiclana de la Frontera;1.-DELITOS Y FALTAS (EU);1063;905;-14,9
Municipio de Chiclana de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100
Municipio de Chiclana de la Frontera;3.-DELINCUENCIA VIOLENTA (EU);17;14;-17,6
Municipio de Chiclana de la Frontera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);11;10;-9,1
Municipio de Chiclana de la Frontera;4.-ROBOS CON FUERZA;354;256;-27,7
Municipio de Chiclana de la Frontera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);201;152;-24,4
Municipio de Chiclana de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);30;27;-10
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);5;2;-60
Municipio de Chiclana de la Frontera;7.-DAÑOS;126;117;-7,1
Municipio de Chiclana de la Frontera;8.-HURTOS;294;245;-16,7
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS (EU);2581;2661;3,1
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Jerez de la Frontera;3.-DELINCUENCIA VIOLENTA (EU);90;107;18,9
Municipio de Jerez de la Frontera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);74;86;16,2
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA;397;361;-9,1
Municipio de Jerez de la Frontera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);104;108;3,8
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);43;56;30,2
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);6;8;33,3
Municipio de Jerez de la Frontera;7.-DAÑOS;273;264;-3,3
Municipio de Jerez de la Frontera;8.-HURTOS;949;972;2,4
Municipio de Línea de la Concepción (La);1.-DELITOS Y FALTAS (EU);714;829;16,1
Municipio de Línea de la Concepción (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Línea de la Concepción (La);3.-DELINCUENCIA VIOLENTA (EU);36;38;5,6
Municipio de Línea de la Concepción (La);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);20;31;55
Municipio de Línea de la Concepción (La);4.-ROBOS CON FUERZA;85;64;-24,7
