TERRITORIO;TIPOLOGÍA PENAL;a_2013;a_2014;Var_porc_14s13
Municipio de Vélez-Málaga;4.-ROBOS CON FUERZA;172;90;-47,7
Municipio de Vélez-Málaga;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);78;27;-65,4
Municipio de Vélez-Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);29;12;-58,6
Municipio de Vélez-Málaga;6.-TRÁFICO DE DROGAS (EU);10;8;-20
Municipio de Vélez-Málaga;7.-DAÑOS;112;86;-23,2
Municipio de Vélez-Málaga;8.-HURTOS;272;247;-9,2
Municipio de Torremolinos;1.-DELITOS Y FALTAS (EU);1197;1041;-13
Municipio de Torremolinos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Torremolinos;3.-DELINCUENCIA VIOLENTA (EU);51;33;-35,3
Municipio de Torremolinos;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);41;21;-48,8
Municipio de Torremolinos;4.-ROBOS CON FUERZA;112;67;-40,2
Municipio de Torremolinos;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);23;19;-17,4
Municipio de Torremolinos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);32;21;-34,4
Municipio de Torremolinos;6.-TRÁFICO DE DROGAS (EU);11;22;100
Municipio de Torremolinos;7.-DAÑOS;142;105;-26,1
Municipio de Torremolinos;8.-HURTOS;523;385;-26,4
Provincia de Sevilla;1.-DELITOS Y FALTAS (EU);22984;22002;-4,3
Provincia de Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;1;-83,3
Provincia de Sevilla;3.-DELINCUENCIA VIOLENTA (EU);908;827;-8,9
Provincia de Sevilla;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);756;679;-10,2
Provincia de Sevilla;4.-ROBOS CON FUERZA;4711;4178;-11,3
Provincia de Sevilla;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1027;1008;-1,9
Provincia de Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);555;448;-19,3
Provincia de Sevilla;6.-TRÁFICO DE DROGAS (EU);86;77;-10,5
Provincia de Sevilla;7.-DAÑOS;2138;2110;-1,3
Provincia de Sevilla;8.-HURTOS;8305;7759;-6,6
Municipio de Alcalá de Guadiaíra;1.-DELITOS Y FALTAS (EU);1002;1014;1,2
Municipio de Alcalá de Guadiaíra;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Alcalá de Guadiaíra;3.-DELINCUENCIA VIOLENTA (EU);25;20;-20
Municipio de Alcalá de Guadiaíra;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);21;17;-19
Municipio de Alcalá de Guadiaíra;4.-ROBOS CON FUERZA;231;256;10,8
Municipio de Alcalá de Guadiaíra;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);75;89;18,7
Municipio de Alcalá de Guadiaíra;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);19;18;-5,3
Municipio de Alcalá de Guadiaíra;6.-TRÁFICO DE DROGAS (EU);2;3;50
Municipio de Alcalá de Guadiaíra;7.-DAÑOS;114;106;-7
Municipio de Alcalá de Guadiaíra;8.-HURTOS;361;357;-1,1
Municipio de Dos Hermanas;1.-DELITOS Y FALTAS (EU);1467;1326;-9,6
Municipio de Dos Hermanas;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100
Municipio de Dos Hermanas;3.-DELINCUENCIA VIOLENTA (EU);57;46;-19,3
Municipio de Dos Hermanas;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);42;37;-11,9
Municipio de Dos Hermanas;4.-ROBOS CON FUERZA;288;241;-16,3
Municipio de Dos Hermanas;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);73;50;-31,5
Municipio de Dos Hermanas;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);47;31;-34
Municipio de Dos Hermanas;6.-TRÁFICO DE DROGAS (EU);4;7;75
Municipio de Dos Hermanas;7.-DAÑOS;188;159;-15,4
Municipio de Dos Hermanas;8.-HURTOS;503;402;-20,1
Municipio de Sevilla;1.-DELITOS Y FALTAS (EU);12607;12022;-4,6
Municipio de Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Sevilla;3.-DELINCUENCIA VIOLENTA (EU);655;604;-7,8
Municipio de Sevilla;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);581;528;-9,1
Municipio de Sevilla;4.-ROBOS CON FUERZA;2058;1819;-11,6
Municipio de Sevilla;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);288;317;10,1
Municipio de Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);343;279;-18,7
Municipio de Sevilla;6.-TRÁFICO DE DROGAS (EU);49;41;-16,3
Municipio de Sevilla;7.-DAÑOS;1209;1159;-4,1
Municipio de Sevilla;8.-HURTOS;5253;5019;-4,5
Municipio de Utrera;1.-DELITOS Y FALTAS (EU);706;587;-16,9
Municipio de Utrera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Utrera;3.-DELINCUENCIA VIOLENTA (EU);14;7;-50
Municipio de Utrera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);10;7;-30
Municipio de Utrera;4.-ROBOS CON FUERZA;163;113;-30,7
Municipio de Utrera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);34;20;-41,2
Municipio de Utrera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);25;10;-60
Municipio de Utrera;6.-TRÁFICO DE DROGAS (EU);2;2;0
Municipio de Utrera;7.-DAÑOS;78;50;-35,9
Municipio de Utrera;8.-HURTOS;201;176;-12,4
ARAGÓN;1.-DELITOS Y FALTAS (EU);11154;10192;-8,6
ARAGÓN;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
ARAGÓN;3.-DELINCUENCIA VIOLENTA (EU);508;381;-25
ARAGÓN;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);382;251;-34,3
ARAGÓN;4.-ROBOS CON FUERZA;1987;1654;-16,8
ARAGÓN;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);585;483;-17,4
ARAGÓN;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);155;82;-47,1
ARAGÓN;6.-TRÁFICO DE DROGAS (EU);72;65;-9,7
ARAGÓN;7.-DAÑOS;1525;1435;-5,9
ARAGÓN;8.-HURTOS;3751;3259;-13,1
Provincia de Huesca;1.-DELITOS Y FALTAS (EU);1385;1303;-5,9
Provincia de Huesca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Provincia de Huesca;3.-DELINCUENCIA VIOLENTA (EU);34;36;5,9
Provincia de Huesca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);20;19;-5
Provincia de Huesca;4.-ROBOS CON FUERZA;235;225;-4,3
Provincia de Huesca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);69;51;-26,1
Provincia de Huesca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);13;16;23,1
Provincia de Huesca;6.-TRÁFICO DE DROGAS (EU);15;12;-20
Provincia de Huesca;7.-DAÑOS;208;170;-18,3
Provincia de Huesca;8.-HURTOS;424;403;-5
Municipio de Huesca;1.-DELITOS Y FALTAS (EU);290;275;-5,2
Municipio de Huesca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Huesca;3.-DELINCUENCIA VIOLENTA (EU);3;11;266,7
Municipio de Huesca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2;3;50
Municipio de Huesca;4.-ROBOS CON FUERZA;40;37;-7,5
Municipio de Huesca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);13;5;-61,5
Municipio de Huesca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);3;5;66,7
Municipio de Huesca;6.-TRÁFICO DE DROGAS (EU);5;5;0
Municipio de Huesca;7.-DAÑOS;42;34;-19
Municipio de Huesca;8.-HURTOS;98;78;-20,4
Provincia de Teruel;1.-DELITOS Y FALTAS (EU);754;720;-4,5
Provincia de Teruel;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Provincia de Teruel;3.-DELINCUENCIA VIOLENTA (EU);18;12;-33,3
Provincia de Teruel;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);11;7;-36,4
Provincia de Teruel;4.-ROBOS CON FUERZA;179;172;-3,9
Provincia de Teruel;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);47;62;31,9
Provincia de Teruel;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);13;6;-53,8
Provincia de Teruel;6.-TRÁFICO DE DROGAS (EU);6;5;-16,7
Provincia de Teruel;7.-DAÑOS;98;97;-1
Provincia de Teruel;8.-HURTOS;188;185;-1,6
Municipio de Teruel;1.-DELITOS Y FALTAS (EU);184;202;9,8
Municipio de Teruel;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Teruel;3.-DELINCUENCIA VIOLENTA (EU);8;5;-37,5
Municipio de Teruel;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);3;3;0
Municipio de Teruel;4.-ROBOS CON FUERZA;25;26;4
Municipio de Teruel;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);8;9;12,5
Municipio de Teruel;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2;3;50
Municipio de Teruel;6.-TRÁFICO DE DROGAS (EU);2;5;150
Municipio de Teruel;7.-DAÑOS;20;32;60
Municipio de Teruel;8.-HURTOS;65;55;-15,4
Provincia de Zaragoza;1.-DELITOS Y FALTAS (EU);9015;8169;-9,4
Provincia de Zaragoza;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Provincia de Zaragoza;3.-DELINCUENCIA VIOLENTA (EU);456;333;-27
Provincia de Zaragoza;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);351;225;-35,9
Provincia de Zaragoza;4.-ROBOS CON FUERZA;1573;1257;-20,1
Provincia de Zaragoza;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);469;370;-21,1
Provincia de Zaragoza;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);129;60;-53,5
Provincia de Zaragoza;6.-TRÁFICO DE DROGAS (EU);51;48;-5,9
Provincia de Zaragoza;7.-DAÑOS;1219;1168;-4,2
Provincia de Zaragoza;8.-HURTOS;3139;2671;-14,9
Municipio de Zaragoza;1.-DELITOS Y FALTAS (EU);6512;5929;-9
Municipio de Zaragoza;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Zaragoza;3.-DELINCUENCIA VIOLENTA (EU);411;293;-28,7
Municipio de Zaragoza;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);326;207;-36,5
Municipio de Zaragoza;4.-ROBOS CON FUERZA;759;546;-28,1
Municipio de Zaragoza;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);200;170;-15
Municipio de Zaragoza;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);74;35;-52,7
Municipio de Zaragoza;6.-TRÁFICO DE DROGAS (EU);40;37;-7,5
Municipio de Zaragoza;7.-DAÑOS;885;850;-4
Municipio de Zaragoza;8.-HURTOS;2648;2227;-15,9
ASTURIAS (PRINCIPADO DE);1.-DELITOS Y FALTAS (EU);8016;7301;-8,9
ASTURIAS (PRINCIPADO DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0
ASTURIAS (PRINCIPADO DE);3.-DELINCUENCIA VIOLENTA (EU);323;277;-14,2
ASTURIAS (PRINCIPADO DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);227;185;-18,5
ASTURIAS (PRINCIPADO DE);4.-ROBOS CON FUERZA;853;858;0,6
ASTURIAS (PRINCIPADO DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);255;263;3,1
ASTURIAS (PRINCIPADO DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);138;91;-34,1
ASTURIAS (PRINCIPADO DE);6.-TRÁFICO DE DROGAS (EU);33;40;21,2
ASTURIAS (PRINCIPADO DE);7.-DAÑOS;1177;812;-31
ASTURIAS (PRINCIPADO DE);8.-HURTOS;2555;2196;-14,1
Municipio de Avilés;1.-DELITOS Y FALTAS (EU);589;585;-0,7
Municipio de Avilés;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Avilés;3.-DELINCUENCIA VIOLENTA (EU);24;29;20,8
Municipio de Avilés;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);14;20;42,9
Municipio de Avilés;4.-ROBOS CON FUERZA;84;76;-9,5
Municipio de Avilés;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);26;11;-57,7
Municipio de Avilés;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);13;12;-7,7
Municipio de Avilés;6.-TRÁFICO DE DROGAS (EU);4;6;50
Municipio de Avilés;7.-DAÑOS;101;70;-30,7
Municipio de Avilés;8.-HURTOS;166;159;-4,2
Municipio de Gijón;1.-DELITOS Y FALTAS (EU);2670;1758;-34,2
Municipio de Gijón;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Gijón;3.-DELINCUENCIA VIOLENTA (EU);106;80;-24,5
Municipio de Gijón;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);81;50;-38,3
Municipio de Gijón;4.-ROBOS CON FUERZA;170;182;7,1
Municipio de Gijón;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);40;38;-5
Municipio de Gijón;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);28;18;-35,7
Municipio de Gijón;6.-TRÁFICO DE DROGAS (EU);6;9;50
Municipio de Gijón;7.-DAÑOS;577;200;-65,3
Municipio de Gijón;8.-HURTOS;816;570;-30,1
Municipio de Oviedo;1.-DELITOS Y FALTAS (EU);1752;1756;0,2
Municipio de Oviedo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Oviedo;3.-DELINCUENCIA VIOLENTA (EU);118;113;-4,2
Municipio de Oviedo;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);93;87;-6,5
Municipio de Oviedo;4.-ROBOS CON FUERZA;127;141;11
Municipio de Oviedo;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);35;42;20
Municipio de Oviedo;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);41;20;-51,2
Municipio de Oviedo;6.-TRÁFICO DE DROGAS (EU);12;8;-33,3
Municipio de Oviedo;7.-DAÑOS;127;164;29,1
Municipio de Oviedo;8.-HURTOS;773;771;-0,3
Municipio de Siero;1.-DELITOS Y FALTAS (EU);405;451;11,4
Municipio de Siero;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Siero;3.-DELINCUENCIA VIOLENTA (EU);11;11;0
Municipio de Siero;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);10;11;10
Municipio de Siero;4.-ROBOS CON FUERZA;47;78;66
Municipio de Siero;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);12;26;116,7
Municipio de Siero;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);9;8;-11,1
Municipio de Siero;6.-TRÁFICO DE DROGAS (EU);0;0;0
Municipio de Siero;7.-DAÑOS;53;52;-1,9
Municipio de Siero;8.-HURTOS;161;169;5
BALEARS (ILLES);1.-DELITOS Y FALTAS (EU);12108;12009;-0,8
BALEARS (ILLES);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;4;0
BALEARS (ILLES);3.-DELINCUENCIA VIOLENTA (EU);351;304;-13,4
BALEARS (ILLES);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);214;178;-16,8
BALEARS (ILLES);4.-ROBOS CON FUERZA;2069;2010;-2,9
BALEARS (ILLES);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);851;817;-4
BALEARS (ILLES);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);301;317;5,3
BALEARS (ILLES);6.-TRÁFICO DE DROGAS (EU);71;62;-12,7
BALEARS (ILLES);7.-DAÑOS;1085;1143;5,3
BALEARS (ILLES);8.-HURTOS;3943;3775;-4,3
Municipio de Calvià;1.-DELITOS Y FALTAS (EU);562;492;-12,5
Municipio de Calvià;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Calvià;3.-DELINCUENCIA VIOLENTA (EU);20;2;-90
Municipio de Calvià;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);12;0;-100
Municipio de Calvià;4.-ROBOS CON FUERZA;139;79;-43,2
Municipio de Calvià;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);49;27;-44,9
Municipio de Calvià;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);14;14;0
Municipio de Calvià;6.-TRÁFICO DE DROGAS (EU);2;4;100
Municipio de Calvià;7.-DAÑOS;55;53;-3,6
Municipio de Calvià;8.-HURTOS;137;129;-5,8
Municipio de Eivissa;1.-DELITOS Y FALTAS (EU);634;667;5,2
Municipio de Eivissa;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Eivissa;3.-DELINCUENCIA VIOLENTA (EU);14;27;92,9
Municipio de Eivissa;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);8;14;75
Municipio de Eivissa;4.-ROBOS CON FUERZA;62;92;48,4
Municipio de Eivissa;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);19;17;-10,5
Municipio de Eivissa;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);24;29;20,8
Municipio de Eivissa;6.-TRÁFICO DE DROGAS (EU);22;17;-22,7
Municipio de Eivissa;7.-DAÑOS;39;63;61,5
Municipio de Eivissa;8.-HURTOS;251;198;-21,1
Municipio de Palma de Mallorca;1.-DELITOS Y FALTAS (EU);5511;5662;2,7
Municipio de Palma de Mallorca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50
Municipio de Palma de Mallorca;3.-DELINCUENCIA VIOLENTA (EU);215;181;-15,8
Municipio de Palma de Mallorca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);146;125;-14,4
Municipio de Palma de Mallorca;4.-ROBOS CON FUERZA;686;653;-4,8
Municipio de Palma de Mallorca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);162;190;17,3
Municipio de Palma de Mallorca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);139;171;23
Municipio de Palma de Mallorca;6.-TRÁFICO DE DROGAS (EU);30;24;-20
Municipio de Palma de Mallorca;7.-DAÑOS;445;498;11,9
Municipio de Palma de Mallorca;8.-HURTOS;2077;2110;1,6
CANARIAS;1.-DELITOS Y FALTAS (EU);25299;23899;-5,5
CANARIAS;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;2;-66,7
CANARIAS;3.-DELINCUENCIA VIOLENTA (EU);825;781;-5,3
CANARIAS;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);523;483;-7,6
CANARIAS;4.-ROBOS CON FUERZA;3849;3447;-10,4
CANARIAS;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1130;889;-21,3
CANARIAS;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);555;515;-7,2
CANARIAS;6.-TRÁFICO DE DROGAS (EU);164;126;-23,2
CANARIAS;7.-DAÑOS;2107;1872;-11,2
CANARIAS;8.-HURTOS;9807;8949;-8,7
Provincia de Palmas (Las);1.-DELITOS Y FALTAS (EU);13130;12927;-1,5
Provincia de Palmas (Las);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50
Provincia de Palmas (Las);3.-DELINCUENCIA VIOLENTA (EU);447;470;5,1
Provincia de Palmas (Las);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);298;305;2,3
Provincia de Palmas (Las);4.-ROBOS CON FUERZA;1908;1625;-14,8
Provincia de Palmas (Las);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);544;402;-26,1
Provincia de Palmas (Las);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);310;273;-11,9
Provincia de Palmas (Las);6.-TRÁFICO DE DROGAS (EU);94;73;-22,3
Provincia de Palmas (Las);7.-DAÑOS;1126;1073;-4,7
Provincia de Palmas (Las);8.-HURTOS;4670;4551;-2,5
Municipio de Arrecife;1.-DELITOS Y FALTAS (EU);724;550;-24
Municipio de Arrecife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Arrecife;3.-DELINCUENCIA VIOLENTA (EU);23;32;39,1
Municipio de Arrecife;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);14;25;78,6
Municipio de Arrecife;4.-ROBOS CON FUERZA;147;83;-43,5
Municipio de Arrecife;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);23;12;-47,8
Municipio de Arrecife;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);13;9;-30,8
Municipio de Arrecife;6.-TRÁFICO DE DROGAS (EU);2;4;100
Municipio de Arrecife;7.-DAÑOS;86;58;-32,6
Municipio de Arrecife;8.-HURTOS;230;146;-36,5
Municipio de Palmas de Gran Canaria (Las);1.-DELITOS Y FALTAS (EU);4126;4687;13,6
Municipio de Palmas de Gran Canaria (Las);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Palmas de Gran Canaria (Las);3.-DELINCUENCIA VIOLENTA (EU);183;239;30,6
Municipio de Palmas de Gran Canaria (Las);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);139;186;33,8
Municipio de Palmas de Gran Canaria (Las);4.-ROBOS CON FUERZA;452;531;17,5
Municipio de Palmas de Gran Canaria (Las);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);99;97;-2
Municipio de Palmas de Gran Canaria (Las);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);138;133;-3,6
Municipio de Palmas de Gran Canaria (Las);6.-TRÁFICO DE DROGAS (EU);48;37;-22,9
Municipio de Palmas de Gran Canaria (Las);7.-DAÑOS;356;378;6,2
Municipio de Palmas de Gran Canaria (Las);8.-HURTOS;1577;1707;8,2
Municipio de San Bartolomé de Tirajana;1.-DELITOS Y FALTAS (EU);1563;1386;-11,3
Municipio de San Bartolomé de Tirajana;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de San Bartolomé de Tirajana;3.-DELINCUENCIA VIOLENTA (EU);68;51;-25
Municipio de San Bartolomé de Tirajana;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);51;32;-37,3
Municipio de San Bartolomé de Tirajana;4.-ROBOS CON FUERZA;127;101;-20,5
Municipio de San Bartolomé de Tirajana;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);25;25;0
Municipio de San Bartolomé de Tirajana;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);40;16;-60
Municipio de San Bartolomé de Tirajana;6.-TRÁFICO DE DROGAS (EU);7;4;-42,9
Municipio de San Bartolomé de Tirajana;7.-DAÑOS;96;65;-32,3
Municipio de San Bartolomé de Tirajana;8.-HURTOS;878;767;-12,6
Municipio de Santa Lucía de Tirajana;1.-DELITOS Y FALTAS (EU);671;594;-11,5
Municipio de Santa Lucía de Tirajana;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Santa Lucía de Tirajana;3.-DELINCUENCIA VIOLENTA (EU);14;15;7,1
Municipio de Santa Lucía de Tirajana;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);13;4;-69,2
Municipio de Santa Lucía de Tirajana;4.-ROBOS CON FUERZA;72;38;-47,2
Municipio de Santa Lucía de Tirajana;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);16;19;18,8
Municipio de Santa Lucía de Tirajana;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);13;11;-15,4
Municipio de Santa Lucía de Tirajana;6.-TRÁFICO DE DROGAS (EU);6;1;-83,3
Municipio de Santa Lucía de Tirajana;7.-DAÑOS;53;54;1,9
Municipio de Santa Lucía de Tirajana;8.-HURTOS;208;163;-21,6
Municipio de Telde;1.-DELITOS Y FALTAS (EU);1173;1118;-4,7
Municipio de Telde;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Telde;3.-DELINCUENCIA VIOLENTA (EU);27;22;-18,5
Municipio de Telde;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);15;13;-13,3
Municipio de Telde;4.-ROBOS CON FUERZA;177;145;-18,1
Municipio de Telde;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);26;34;30,8
Municipio de Telde;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);48;31;-35,4
Municipio de Telde;6.-TRÁFICO DE DROGAS (EU);8;7;-12,5
Municipio de Telde;7.-DAÑOS;96;98;2,1
Municipio de Telde;8.-HURTOS;301;283;-6
Provincia de Santa Cruz de Tenerife;1.-DELITOS Y FALTAS (EU);12169;10972;-9,8
Provincia de Santa Cruz de Tenerife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;1;-75
Provincia de Santa Cruz de Tenerife;3.-DELINCUENCIA VIOLENTA (EU);378;311;-17,7
Provincia de Santa Cruz de Tenerife;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);225;178;-20,9
Provincia de Santa Cruz de Tenerife;4.-ROBOS CON FUERZA;1941;1822;-6,1
Provincia de Santa Cruz de Tenerife;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);586;487;-16,9
Provincia de Santa Cruz de Tenerife;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);245;242;-1,2
Provincia de Santa Cruz de Tenerife;6.-TRÁFICO DE DROGAS (EU);70;53;-24,3
Provincia de Santa Cruz de Tenerife;7.-DAÑOS;981;799;-18,6
Provincia de Santa Cruz de Tenerife;8.-HURTOS;5137;4398;-14,4
Municipio de Arona;1.-DELITOS Y FALTAS (EU);1728;1414;-18,2
Municipio de Arona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Arona;3.-DELINCUENCIA VIOLENTA (EU);71;43;-39,4
Municipio de Arona;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);43;31;-27,9
Municipio de Arona;4.-ROBOS CON FUERZA;231;182;-21,2
Municipio de Arona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);70;64;-8,6
