TERRITORIO;TIPOLOGÍA PENAL;2013;2014;Var. % 14/13
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);287034;267170;-6,9
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);57;58;1,8
ANDALUCÍA;3.-DELINCUENCIA VIOLENTA (EU);10818;8910;-17,6
ANDALUCÍA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);8262;6355;-23,1
ANDALUCÍA;4.-ROBOS CON FUERZA;51735;44251;-14,5
ANDALUCÍA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);16976;14948;-11,9
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);6975;6210;-11,0
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);2475;2635;6,5
ANDALUCÍA;7.-DAÑOS;28062;26237;-6,5
ANDALUCÍA;8.-HURTOS;98920;88312;-10,7
Provincia de Almería;1.-DELITOS Y FALTAS (EU);24953;23825;-4,5
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;7;40,0
Provincia de Almería;3.-DELINCUENCIA VIOLENTA (EU);1138;956;-16,0
Provincia de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);850;645;-24,1
Provincia de Almería;4.-ROBOS CON FUERZA;6152;5181;-15,8
Provincia de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2655;2207;-16,9
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);530;498;-6,0
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);201;173;-13,9
Provincia de Almería;7.-DAÑOS;2786;2685;-3,6
Provincia de Almería;8.-HURTOS;6707;6634;-1,1
Municipio de Almería;1.-DELITOS Y FALTAS (EU);7740;7468;-3,5
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Almería;3.-DELINCUENCIA VIOLENTA (EU);493;394;-20,1
Municipio de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);404;300;-25,7
Municipio de Almería;4.-ROBOS CON FUERZA;1306;994;-23,9
Municipio de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);634;436;-31,2
Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);224;179;-20,1
Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);65;46;-29,2
Municipio de Almería;7.-DAÑOS;834;858;2,9
Municipio de Almería;8.-HURTOS;2400;2365;-1,5
Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);4211;4353;3,4
Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Roquetas de Mar;3.-DELINCUENCIA VIOLENTA (EU);248;211;-14,9
Municipio de Roquetas de Mar;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);204;141;-30,9
Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA;1084;958;-11,6
Municipio de Roquetas de Mar;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);526;457;-13,1
Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);78;73;-6,4
Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);25;24;-4,0
Municipio de Roquetas de Mar;7.-DAÑOS;466;435;-6,7
Municipio de Roquetas de Mar;8.-HURTOS;1196;1342;12,2
Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);3303;2620;-20,7
Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100,0
Municipio de Ejido (El);3.-DELINCUENCIA VIOLENTA (EU);169;108;-36,1
Municipio de Ejido (El);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);111;64;-42,3
Municipio de Ejido (El);4.-ROBOS CON FUERZA;981;743;-24,3
Municipio de Ejido (El);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);234;243;3,8
Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);48;56;16,7
Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);21;17;-19,0
Municipio de Ejido (El);7.-DAÑOS;364;248;-31,9
Municipio de Ejido (El);8.-HURTOS;701;616;-12,1
Provincia de Cádiz;1.-DELITOS Y FALTAS (EU);43493;42594;-2,1
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;12;50,0
Provincia de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);1326;1164;-12,2
Provincia de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);845;728;-13,8
Provincia de Cádiz;4.-ROBOS CON FUERZA;6433;5879;-8,6
Provincia de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2290;2176;-5,0
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1166;1219;4,5
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);781;872;11,7
Provincia de Cádiz;7.-DAÑOS;4728;4519;-4,4
Provincia de Cádiz;8.-HURTOS;14672;13867;-5,5
Municipio de Algeciras;1.-DELITOS Y FALTAS (EU);5017;4780;-4,7
Municipio de Algeciras;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100,0
Municipio de Algeciras;3.-DELINCUENCIA VIOLENTA (EU);161;134;-16,8
Municipio de Algeciras;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);102;82;-19,6
Municipio de Algeciras;4.-ROBOS CON FUERZA;729;670;-8,1
Municipio de Algeciras;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);233;217;-6,9
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);164;122;-25,6
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);438;433;-1,1
Municipio de Algeciras;7.-DAÑOS;525;518;-1,3
Municipio de Algeciras;8.-HURTOS;1348;1331;-1,3
Municipio de Cádiz;1.-DELITOS Y FALTAS (EU);4511;4640;2,9
Municipio de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);100;119;19,0
Municipio de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);70;80;14,3
Municipio de Cádiz;4.-ROBOS CON FUERZA;312;251;-19,6
Municipio de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);75;49;-34,7
Municipio de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);140;271;93,6
Municipio de Cádiz;6.-TRÁFICO DE DROGAS (EU);32;63;96,9
Municipio de Cádiz;7.-DAÑOS;359;375;4,5
Municipio de Cádiz;8.-HURTOS;2048;1885;-8,0
Municipio de Chiclana de la Frontera;1.-DELITOS Y FALTAS (EU);3297;2887;-12,4
Municipio de Chiclana de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
Municipio de Chiclana de la Frontera;3.-DELINCUENCIA VIOLENTA (EU);72;53;-26,4
Municipio de Chiclana de la Frontera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);43;38;-11,6
Municipio de Chiclana de la Frontera;4.-ROBOS CON FUERZA;982;697;-29,0
Municipio de Chiclana de la Frontera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);573;429;-25,1
Municipio de Chiclana de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);90;69;-23,3
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);22;44;100,0
Municipio de Chiclana de la Frontera;7.-DAÑOS;372;307;-17,5
Municipio de Chiclana de la Frontera;8.-HURTOS;963;843;-12,5
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS (EU);8049;8206;2,0
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0,0
Municipio de Jerez de la Frontera;3.-DELINCUENCIA VIOLENTA (EU);284;269;-5,3
Municipio de Jerez de la Frontera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);219;215;-1,8
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA;1032;960;-7,0
Municipio de Jerez de la Frontera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);316;283;-10,4
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);140;165;17,9
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);25;33;32,0
Municipio de Jerez de la Frontera;7.-DAÑOS;802;831;3,6
Municipio de Jerez de la Frontera;8.-HURTOS;3070;3050;-0,7
Municipio de Línea de la Concepción (La);1.-DELITOS Y FALTAS (EU);2341;2456;4,9
Municipio de Línea de la Concepción (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Línea de la Concepción (La);3.-DELINCUENCIA VIOLENTA (EU);130;106;-18,5
Municipio de Línea de la Concepción (La);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);78;67;-14,1
Municipio de Línea de la Concepción (La);4.-ROBOS CON FUERZA;251;192;-23,5
Municipio de Línea de la Concepción (La);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);68;63;-7,4
Municipio de Línea de la Concepción (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);100;105;5,0
Municipio de Línea de la Concepción (La);6.-TRÁFICO DE DROGAS (EU);28;35;25,0
Municipio de Línea de la Concepción (La);7.-DAÑOS;264;313;18,6
Municipio de Línea de la Concepción (La);8.-HURTOS;555;497;-10,5
Municipio de Puerto de Santa María (El);1.-DELITOS Y FALTAS (EU);3872;3543;-8,5
