TERRITORIO;TIPOLOGÍA PENAL;2013;2014;Var. % 14/13
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);373846;352420;-5,7
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);65;68;4,6
ANDALUCÍA;3.-DELINCUENCIA VIOLENTA (EU);13874;11732;-15,4
ANDALUCÍA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);10531;8396;-20,3
ANDALUCÍA;4.-ROBOS CON FUERZA;67166;58046;-13,6
ANDALUCÍA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);22031;19391;-12,0
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);9125;8354;-8,4
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);3274;3339;2,0
ANDALUCÍA;7.-DAÑOS;36487;34660;-5,0
ANDALUCÍA;8.-HURTOS;127933;116073;-9,3
Provincia de Almería;1.-DELITOS Y FALTAS (EU);32565;31221;-4,1
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;8;33,3
Provincia de Almería;3.-DELINCUENCIA VIOLENTA (EU);1467;1240;-15,5
Provincia de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1079;857;-20,6
Provincia de Almería;4.-ROBOS CON FUERZA;7829;6816;-12,9
Provincia de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3417;2884;-15,6
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);696;638;-8,3
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);267;210;-21,3
Provincia de Almería;7.-DAÑOS;3680;3499;-4,9
Provincia de Almería;8.-HURTOS;8779;8654;-1,4
Municipio de Almería;1.-DELITOS Y FALTAS (EU);10265;9793;-4,6
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100,0
Municipio de Almería;3.-DELINCUENCIA VIOLENTA (EU);643;497;-22,7
Municipio de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);524;386;-26,3
Municipio de Almería;4.-ROBOS CON FUERZA;1642;1295;-21,1
Municipio de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);794;561;-29,3
Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);299;222;-25,8
Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);87;64;-26,4
Municipio de Almería;7.-DAÑOS;1129;1130;0,1
Municipio de Almería;8.-HURTOS;3271;3129;-4,3
Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);5425;5578;2,8
Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Roquetas de Mar;3.-DELINCUENCIA VIOLENTA (EU);305;256;-16,1
Municipio de Roquetas de Mar;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);245;171;-30,2
Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA;1409;1248;-11,4
Municipio de Roquetas de Mar;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);690;571;-17,2
Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);95;95;0,0
Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);29;25;-13,8
Municipio de Roquetas de Mar;7.-DAÑOS;589;575;-2,4
Municipio de Roquetas de Mar;8.-HURTOS;1531;1713;11,9
Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);4205;3514;-16,4
Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100,0
Municipio de Ejido (El);3.-DELINCUENCIA VIOLENTA (EU);212;167;-21,2
Municipio de Ejido (El);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);133;110;-17,3
Municipio de Ejido (El);4.-ROBOS CON FUERZA;1181;982;-16,9
Municipio de Ejido (El);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);286;312;9,1
Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);62;72;16,1
Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);36;23;-36,1
Municipio de Ejido (El);7.-DAÑOS;470;309;-34,3
Municipio de Ejido (El);8.-HURTOS;913;835;-8,5
Provincia de Cádiz;1.-DELITOS Y FALTAS (EU);56619;55465;-2,0
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;14;75,0
Provincia de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);1749;1549;-11,4
Provincia de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1140;988;-13,3
Provincia de Cádiz;4.-ROBOS CON FUERZA;8389;7610;-9,3
Provincia de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3077;2838;-7,8
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1516;1633;7,7
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);1021;1105;8,2
Provincia de Cádiz;7.-DAÑOS;6127;6015;-1,8
Provincia de Cádiz;8.-HURTOS;18840;17776;-5,6
Municipio de Algeciras;1.-DELITOS Y FALTAS (EU);6530;6197;-5,1
Municipio de Algeciras;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100,0
Municipio de Algeciras;3.-DELINCUENCIA VIOLENTA (EU);222;193;-13,1
Municipio de Algeciras;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);146;120;-17,8
Municipio de Algeciras;4.-ROBOS CON FUERZA;964;828;-14,1
Municipio de Algeciras;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);312;287;-8,0
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);208;176;-15,4
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);567;543;-4,2
Municipio de Algeciras;7.-DAÑOS;685;662;-3,4
Municipio de Algeciras;8.-HURTOS;1751;1692;-3,4
Municipio de Cádiz;1.-DELITOS Y FALTAS (EU);5807;5920;1,9
Municipio de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);131;158;20,6
Municipio de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);91;112;23,1
Municipio de Cádiz;4.-ROBOS CON FUERZA;391;315;-19,4
Municipio de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);92;66;-28,3
Municipio de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);180;336;86,7
Municipio de Cádiz;6.-TRÁFICO DE DROGAS (EU);43;80;86,0
Municipio de Cádiz;7.-DAÑOS;452;483;6,9
Municipio de Cádiz;8.-HURTOS;2607;2410;-7,6
Municipio de Chiclana de la Frontera;1.-DELITOS Y FALTAS (EU);4155;3610;-13,1
Municipio de Chiclana de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
Municipio de Chiclana de la Frontera;3.-DELINCUENCIA VIOLENTA (EU);97;64;-34,0
Municipio de Chiclana de la Frontera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);58;44;-24,1
Municipio de Chiclana de la Frontera;4.-ROBOS CON FUERZA;1203;891;-25,9
Municipio de Chiclana de la Frontera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);711;557;-21,7
Municipio de Chiclana de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);106;83;-21,7
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);27;56;107,4
Municipio de Chiclana de la Frontera;7.-DAÑOS;464;406;-12,5
Municipio de Chiclana de la Frontera;8.-HURTOS;1213;996;-17,9
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS (EU);10735;10998;2,4
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0,0
Municipio de Jerez de la Frontera;3.-DELINCUENCIA VIOLENTA (EU);396;358;-9,6
Municipio de Jerez de la Frontera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);311;285;-8,4
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA;1392;1295;-7,0
Municipio de Jerez de la Frontera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);435;356;-18,2
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);205;220;7,3
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);35;46;31,4
Municipio de Jerez de la Frontera;7.-DAÑOS;1080;1131;4,7
Municipio de Jerez de la Frontera;8.-HURTOS;3993;4072;2,0
Municipio de Línea de la Concepción (La);1.-DELITOS Y FALTAS (EU);3148;3256;3,4
Municipio de Línea de la Concepción (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Línea de la Concepción (La);3.-DELINCUENCIA VIOLENTA (EU);187;149;-20,3
Municipio de Línea de la Concepción (La);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);117;90;-23,1
Municipio de Línea de la Concepción (La);4.-ROBOS CON FUERZA;321;269;-16,2
Municipio de Línea de la Concepción (La);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);98;84;-14,3
Municipio de Línea de la Concepción (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);137;132;-3,6
Municipio de Línea de la Concepción (La);6.-TRÁFICO DE DROGAS (EU);35;48;37,1
Municipio de Línea de la Concepción (La);7.-DAÑOS;363;421;16,0
Municipio de Línea de la Concepción (La);8.-HURTOS;711;662;-6,9
Municipio de Puerto de Santa María (El);1.-DELITOS Y FALTAS (EU);4990;4578;-8,3
Municipio de Puerto de Santa María (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Puerto de Santa María (El);3.-DELINCUENCIA VIOLENTA (EU);150;125;-16,7
Municipio de Puerto de Santa María (El);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);115;85;-26,1
Municipio de Puerto de Santa María (El);4.-ROBOS CON FUERZA;596;517;-13,3
Municipio de Puerto de Santa María (El);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);149;170;14,1
Municipio de Puerto de Santa María (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);116;108;-6,9
Municipio de Puerto de Santa María (El);6.-TRÁFICO DE DROGAS (EU);22;35;59,1
Municipio de Puerto de Santa María (El);7.-DAÑOS;759;668;-12,0
Municipio de Puerto de Santa María (El);8.-HURTOS;1752;1625;-7,2
Municipio de San Fernando;1.-DELITOS Y FALTAS (EU);3811;3551;-6,8
Municipio de San Fernando;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de San Fernando;3.-DELINCUENCIA VIOLENTA (EU);95;77;-18,9
Municipio de San Fernando;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);72;51;-29,2
Municipio de San Fernando;4.-ROBOS CON FUERZA;324;284;-12,3
Municipio de San Fernando;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);85;84;-1,2
Municipio de San Fernando;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);114;97;-14,9
Municipio de San Fernando;6.-TRÁFICO DE DROGAS (EU);11;15;36,4
Municipio de San Fernando;7.-DAÑOS;396;388;-2,0
Municipio de San Fernando;8.-HURTOS;1646;1381;-16,1
Municipio de Sanlúcar de Barrameda;1.-DELITOS Y FALTAS (EU);2714;2745;1,1
Municipio de Sanlúcar de Barrameda;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Sanlúcar de Barrameda;3.-DELINCUENCIA VIOLENTA (EU);116;101;-12,9
Municipio de Sanlúcar de Barrameda;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);93;72;-22,6
