TERRITORIO;TIPOLOGÕA PENAL;a_2012;a_2013;Var_porc_13s12
ASTURIAS (PRINCIPADO DE);4.-ROBOS CON FUERZA;3553;3348;-5,8
ASTURIAS (PRINCIPADO DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1130;1029;-8,9
ASTURIAS (PRINCIPADO DE);5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);480;451;-6,0
ASTURIAS (PRINCIPADO DE);6.-TRµFICO DE DROGAS (EU);206;189;-8,3
ASTURIAS (PRINCIPADO DE);7.-DA•OS;3429;3718;8,4
ASTURIAS (PRINCIPADO DE);8.-HURTOS;10381;10060;-3,1
µvila;1.-DELITOS Y FALTAS (EU);5668;5513;-2,7
µvila;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
µvila;3.-DELINCUENCIA VIOLENTA (EU);111;96;-13,5
µvila;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);65;53;-18,5
µvila;4.-ROBOS CON FUERZA;1077;1159;7,6
µvila;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);453;570;25,8
µvila;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);54;66;22,2
µvila;6.-TRµFICO DE DROGAS (EU);36;36;0,0
µvila;7.-DA•OS;980;959;-2,1
µvila;8.-HURTOS;1280;1296;1,3
Badajoz;1.-DELITOS Y FALTAS (EU);20198;20475;1,4
Badajoz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);12;5;-58,3
Badajoz;3.-DELINCUENCIA VIOLENTA (EU);437;475;8,7
Badajoz;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);300;297;-1,0
Badajoz;4.-ROBOS CON FUERZA;3531;3582;1,4
Badajoz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);961;1021;6,2
Badajoz;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);296;270;-8,8
Badajoz;6.-TRµFICO DE DROGAS (EU);198;196;-1,0
Badajoz;7.-DA•OS;2326;2232;-4,0
Badajoz;8.-HURTOS;6155;6631;7,7
BALEARS (ILLES);1.-DELITOS Y FALTAS (EU);74558;73833;-1,0
BALEARS (ILLES);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;10;100,0
BALEARS (ILLES);3.-DELINCUENCIA VIOLENTA (EU);2471;2129;-13,8
BALEARS (ILLES);3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1585;1319;-16,8
BALEARS (ILLES);4.-ROBOS CON FUERZA;11756;10050;-14,5
BALEARS (ILLES);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);4337;3540;-18,4
BALEARS (ILLES);5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);1650;1582;-4,1
BALEARS (ILLES);6.-TRµFICO DE DROGAS (EU);435;561;29,0
BALEARS (ILLES);7.-DA•OS;5391;4821;-10,6
BALEARS (ILLES);8.-HURTOS;33392;34526;3,4
Barcelona;1.-DELITOS Y FALTAS (EU);343958;326444;-5,1
