TERRITORIO;TIPOLOGÕA PENAL;a_2012;a_2013;Var_porc_13s12
Gipuzkoa;8.-HURTOS;5720;5898;3,1
Girona;1.-DELITOS Y FALTAS (EU);43078;41894;-2,7
Girona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);13;7;-46,2
Girona;3.-DELINCUENCIA VIOLENTA (EU);1494;1557;4,2
Girona;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1038;1125;8,4
Girona;4.-ROBOS CON FUERZA;10641;9394;-11,7
Girona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3714;3323;-10,5
Girona;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);816;777;-4,8
Girona;6.-TRµFICO DE DROGAS (EU);403;462;14,6
Girona;7.-DA•OS;4271;4346;1,8
Girona;8.-HURTOS;13828;13759;-0,5
Granada;1.-DELITOS Y FALTAS (EU);39276;36662;-6,7
Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);12;6;-50,0
Granada;3.-DELINCUENCIA VIOLENTA (EU);1914;1616;-15,6
Granada;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1625;1352;-16,8
Granada;4.-ROBOS CON FUERZA;6037;6408;6,1
Granada;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1875;2203;17,5
Granada;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);1299;1061;-18,3
Granada;6.-TRµFICO DE DROGAS (EU);295;352;19,3
Granada;7.-DA•OS;4390;3774;-14,0
Granada;8.-HURTOS;12931;12279;-5,0
Guadalajara;1.-DELITOS Y FALTAS (EU);9776;9538;-2,4
Guadalajara;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Guadalajara;3.-DELINCUENCIA VIOLENTA (EU);267;249;-6,7
Guadalajara;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);198;183;-7,6
Guadalajara;4.-ROBOS CON FUERZA;2468;2432;-1,5
Guadalajara;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);937;992;5,9
Guadalajara;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);355;269;-24,2
Guadalajara;6.-TRµFICO DE DROGAS (EU);22;35;59,1
Guadalajara;7.-DA•OS;1721;1527;-11,3
Guadalajara;8.-HURTOS;2195;2286;4,1
Huelva;1.-DELITOS Y FALTAS (EU);22279;21678;-2,7
Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;2;-66,7
Huelva;3.-DELINCUENCIA VIOLENTA (EU);740;717;-3,1
Huelva;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);465;429;-7,7
Huelva;4.-ROBOS CON FUERZA;4503;4481;-0,5
Huelva;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1512;1628;7,7
Huelva;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);354;332;-6,2
Huelva;6.-TRµFICO DE DROGAS (EU);155;169;9,0
Huelva;7.-DA•OS;1862;1430;-23,2
Huelva;8.-HURTOS;6925;6907;-0,3
Huesca;1.-DELITOS Y FALTAS (EU);5699;5600;-1,7
Huesca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Huesca;3.-DELINCUENCIA VIOLENTA (EU);123;136;10,6
Huesca;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);68;84;23,5
Huesca;4.-ROBOS CON FUERZA;950;872;-8,2
Huesca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);214;245;14,5
Huesca;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);62;61;-1,6
Huesca;6.-TRµFICO DE DROGAS (EU);53;52;-1,9
Huesca;7.-DA•OS;923;873;-5,4
Huesca;8.-HURTOS;1716;1739;1,3
JaÇn;1.-DELITOS Y FALTAS (EU);19254;17913;-7,0
JaÇn;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;6;20,0
JaÇn;3.-DELINCUENCIA VIOLENTA (EU);684;670;-2,0
JaÇn;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);516;528;2,3
JaÇn;4.-ROBOS CON FUERZA;3061;2917;-4,7
JaÇn;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);748;781;4,4
JaÇn;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);394;377;-4,3
JaÇn;6.-TRµFICO DE DROGAS (EU);191;137;-28,3
JaÇn;7.-DA•OS;2463;2092;-15,1
JaÇn;8.-HURTOS;5449;5235;-3,9
Le¢n;1.-DELITOS Y FALTAS (EU);17128;16324;-4,7
Le¢n;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;6;-14,3
Le¢n;3.-DELINCUENCIA VIOLENTA (EU);429;426;-0,7
Le¢n;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);263;309;17,5
Le¢n;4.-ROBOS CON FUERZA;2938;2659;-9,5
Le¢n;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);859;765;-10,9
Le¢n;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);264;165;-37,5
Le¢n;6.-TRµFICO DE DROGAS (EU);50;45;-10,0
Le¢n;7.-DA•OS;2552;2219;-13,0
Le¢n;8.-HURTOS;5715;5805;1,6
Lleida;1.-DELITOS Y FALTAS (EU);20930;20310;-3,0
Lleida;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;5;400,0
Lleida;3.-DELINCUENCIA VIOLENTA (EU);884;755;-14,6
Lleida;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);639;557;-12,8
Lleida;4.-ROBOS CON FUERZA;4995;5034;0,8
Lleida;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);894;994;11,2
Lleida;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);270;214;-20,7
Lleida;6.-TRµFICO DE DROGAS (EU);128;120;-6,3
Lleida;7.-DA•OS;2472;2391;-3,3
Lleida;8.-HURTOS;5882;5773;-1,9
Lugo;1.-DELITOS Y FALTAS (EU);8032;7696;-4,2
Lugo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;1;-66,7
Lugo;3.-DELINCUENCIA VIOLENTA (EU);261;239;-8,4
Lugo;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);127;123;-3,1
Lugo;4.-ROBOS CON FUERZA;1328;1374;3,5
Lugo;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);420;469;11,7
Lugo;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);92;93;1,1
Lugo;6.-TRµFICO DE DROGAS (EU);36;55;52,8
Lugo;7.-DA•OS;1119;1041;-7,0
Lugo;8.-HURTOS;2116;2079;-1,7
MADRID (COMUNIDAD DE);1.-DELITOS Y FALTAS (EU);393872;379114;-3,7
MADRID (COMUNIDAD DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);48;37;-22,9
MADRID (COMUNIDAD DE);3.-DELINCUENCIA VIOLENTA (EU);27098;24117;-11,0
MADRID (COMUNIDAD DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);24795;21921;-11,6
MADRID (COMUNIDAD DE);4.-ROBOS CON FUERZA;63266;59488;-6,0
MADRID (COMUNIDAD DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);14341;15924;11,0
MADRID (COMUNIDAD DE);5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);13236;12333;-6,8
MADRID (COMUNIDAD DE);6.-TRµFICO DE DROGAS (EU);1943;1737;-10,6
MADRID (COMUNIDAD DE);7.-DA•OS;47782;44149;-7,6
MADRID (COMUNIDAD DE);8.-HURTOS;152503;151459;-0,7
M†laga;1.-DELITOS Y FALTAS (EU);96767;88670;-8,4
M†laga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);17;18;5,9
M†laga;3.-DELINCUENCIA VIOLENTA (EU);3460;3080;-11,0
M†laga;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);2644;2222;-16,0
M†laga;4.-ROBOS CON FUERZA;15126;13731;-9,2
M†laga;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);5173;5073;-1,9
M†laga;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);3127;2484;-20,6
M†laga;6.-TRµFICO DE DROGAS (EU);747;789;5,6
M†laga;7.-DA•OS;9434;8311;-11,9
M†laga;8.-HURTOS;37676;34000;-9,8
MURCIA (REGI‡N DE);1.-DELITOS Y FALTAS (EU);57449;54624;-4,9
MURCIA (REGI‡N DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);10;5;-50,0
MURCIA (REGI‡N DE);3.-DELINCUENCIA VIOLENTA (EU);2361;2286;-3,2
MURCIA (REGI‡N DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1787;1690;-5,4
MURCIA (REGI‡N DE);4.-ROBOS CON FUERZA;12954;12637;-2,4
MURCIA (REGI‡N DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);5534;5878;6,2
MURCIA (REGI‡N DE);5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);1582;1422;-10,1
MURCIA (REGI‡N DE);6.-TRµFICO DE DROGAS (EU);312;317;1,6
MURCIA (REGI‡N DE);7.-DA•OS;5202;4730;-9,1
MURCIA (REGI‡N DE);8.-HURTOS;17034;17166;0,8
NACIONAL;1.-DELITOS Y FALTAS (EU);2268867;2172133;-4,3
NACIONAL;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);364;302;-17,0
NACIONAL;3.-DELINCUENCIA VIOLENTA (EU);116906;105524;-9,7
NACIONAL;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);96607;86034;-10,9
NACIONAL;4.-ROBOS CON FUERZA;405939;381777;-6,0
NACIONAL;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);126425;127380;0,8
NACIONAL;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);55197;48855;-11,5
NACIONAL;6.-TRµFICO DE DROGAS (EU);14509;14296;-1,5
NACIONAL;7.-DA•OS;246355;226619;-8,0
NACIONAL;8.-HURTOS;790281;770296;-2,5
NAVARRA (COMUNIDAD FORAL DE);1.-DELITOS Y FALTAS (EU);21635;23911;10,5
NAVARRA (COMUNIDAD FORAL DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;4;100,0
NAVARRA (COMUNIDAD FORAL DE);3.-DELINCUENCIA VIOLENTA (EU);759;753;-0,8
NAVARRA (COMUNIDAD FORAL DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);313;354;13,1
NAVARRA (COMUNIDAD FORAL DE);4.-ROBOS CON FUERZA;3733;3310;-11,3
NAVARRA (COMUNIDAD FORAL DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1176;1058;-10,0
NAVARRA (COMUNIDAD FORAL DE);5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);187;268;43,3
NAVARRA (COMUNIDAD FORAL DE);6.-TRµFICO DE DROGAS (EU);105;137;30,5
NAVARRA (COMUNIDAD FORAL DE);7.-DA•OS;2920;3218;10,2
NAVARRA (COMUNIDAD FORAL DE);8.-HURTOS;6661;8231;23,6
Ourense;1.-DELITOS Y FALTAS (EU);8841;9199;4,0
Ourense;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0,0
Ourense;3.-DELINCUENCIA VIOLENTA (EU);272;220;-19,1
Ourense;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);190;143;-24,7
Ourense;4.-ROBOS CON FUERZA;1512;1656;9,5
Ourense;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);475;639;34,5
Ourense;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);136;111;-18,4
Ourense;6.-TRµFICO DE DROGAS (EU);33;47;42,4
Ourense;7.-DA•OS;1109;1130;1,9
Ourense;8.-HURTOS;2516;2932;16,5
PA÷S VASCO;1.-DELITOS Y FALTAS (EU);92608;90599;-2,2
PA÷S VASCO;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);12;13;8,3
PA÷S VASCO;3.-DELINCUENCIA VIOLENTA (EU);4929;3703;-24,9
PA÷S VASCO;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);3861;2733;-29,2
PA÷S VASCO;4.-ROBOS CON FUERZA;17519;17789;1,5
PA÷S VASCO;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);4948;5753;16,3
PA÷S VASCO;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);811;733;-9,6
PA÷S VASCO;6.-TRµFICO DE DROGAS (EU);394;345;-12,4
PA÷S VASCO;7.-DA•OS;9493;7967;-16,1
PA÷S VASCO;8.-HURTOS;27500;28484;3,6
Palencia;1.-DELITOS Y FALTAS (EU);4726;4361;-7,7
Palencia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
Palencia;3.-DELINCUENCIA VIOLENTA (EU);69;71;2,9
Palencia;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);49;47;-4,1
Palencia;4.-ROBOS CON FUERZA;715;572;-20,0
Palencia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);206;188;-8,7
Palencia;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);54;38;-29,6
Palencia;6.-TRµFICO DE DROGAS (EU);17;25;47,1
Palencia;7.-DA•OS;808;672;-16,8
Palencia;8.-HURTOS;1387;1404;1,2
Palmas (Las);1.-DELITOS Y FALTAS (EU);52187;50212;-3,8
Palmas (Las);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);10;5;-50,0
Palmas (Las);3.-DELINCUENCIA VIOLENTA (EU);1860;1680;-9,7
Palmas (Las);3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1184;1057;-10,7
Palmas (Las);4.-ROBOS CON FUERZA;7146;6676;-6,6
Palmas (Las);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2105;1921;-8,7
Palmas (Las);5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);1161;944;-18,7
Palmas (Las);6.-TRµFICO DE DROGAS (EU);352;366;4,0
Palmas (Las);7.-DA•OS;4852;4427;-8,8
Palmas (Las);8.-HURTOS;16351;16711;2,2
Pontevedra;1.-DELITOS Y FALTAS (EU);32435;31961;-1,5
Pontevedra;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;5;0,0
Pontevedra;3.-DELINCUENCIA VIOLENTA (EU);1173;1019;-13,1
Pontevedra;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);606;515;-15,0
Pontevedra;4.-ROBOS CON FUERZA;5253;5094;-3,0
Pontevedra;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1439;1662;15,5
Pontevedra;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);798;658;-17,5
Pontevedra;6.-TRµFICO DE DROGAS (EU);229;175;-23,6
Pontevedra;7.-DA•OS;4416;4176;-5,4
Pontevedra;8.-HURTOS;8862;9239;4,3
RIOJA (LA);1.-DELITOS Y FALTAS (EU);10154;9564;-5,8
RIOJA (LA);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
RIOJA (LA);3.-DELINCUENCIA VIOLENTA (EU);418;361;-13,6
RIOJA (LA);3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);242;211;-12,8
RIOJA (LA);4.-ROBOS CON FUERZA;1931;2066;7,0
RIOJA (LA);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);628;823;31,1
RIOJA (LA);5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);126;134;6,3
RIOJA (LA);6.-TRµFICO DE DROGAS (EU);69;69;0,0
RIOJA (LA);7.-DA•OS;1182;1089;-7,9
RIOJA (LA);8.-HURTOS;3144;2943;-6,4
Salamanca;1.-DELITOS Y FALTAS (EU);9743;9271;-4,8
Salamanca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Salamanca;3.-DELINCUENCIA VIOLENTA (EU);318;282;-11,3
Salamanca;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);157;158;0,6
Salamanca;4.-ROBOS CON FUERZA;1221;1112;-8,9
Salamanca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);332;306;-7,8
Salamanca;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);110;81;-26,4
Salamanca;6.-TRµFICO DE DROGAS (EU);60;59;-1,7
Salamanca;7.-DA•OS;1065;1012;-5,0
Salamanca;8.-HURTOS;3967;3629;-8,5
Santa Cruz de Tenerife;1.-DELITOS Y FALTAS (EU);45786;43129;-5,8
Santa Cruz de Tenerife;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;8;60,0
Santa Cruz de Tenerife;3.-DELINCUENCIA VIOLENTA (EU);1388;1347;-3,0
Santa Cruz de Tenerife;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);827;761;-8,0
Santa Cruz de Tenerife;4.-ROBOS CON FUERZA;7810;6985;-10,6
Santa Cruz de Tenerife;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2189;2080;-5,0
Santa Cruz de Tenerife;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);1007;949;-5,8
Santa Cruz de Tenerife;6.-TRµFICO DE DROGAS (EU);262;249;-5,0
Santa Cruz de Tenerife;7.-DA•OS;3869;3633;-6,1
Santa Cruz de Tenerife;8.-HURTOS;16103;15808;-1,8
Segovia;1.-DELITOS Y FALTAS (EU);5458;4985;-8,7
Segovia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Segovia;3.-DELINCUENCIA VIOLENTA (EU);92;101;9,8
Segovia;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);53;61;15,1
Segovia;4.-ROBOS CON FUERZA;1030;910;-11,7
Segovia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);381;359;-5,8
Segovia;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);50;40;-20,0
Segovia;6.-TRµFICO DE DROGAS (EU);36;30;-16,7
Segovia;7.-DA•OS;796;776;-2,5
Segovia;8.-HURTOS;1574;1413;-10,2
Sevilla;1.-DELITOS Y FALTAS (EU);93079;91026;-2,2
Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;14;100,0
Sevilla;3.-DELINCUENCIA VIOLENTA (EU);3745;3545;-5,3
Sevilla;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);3163;2924;-7,6
Sevilla;4.-ROBOS CON FUERZA;18670;18104;-3,0
Sevilla;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);4391;4299;-2,1
Sevilla;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);2713;2199;-18,9
Sevilla;6.-TRµFICO DE DROGAS (EU);366;349;-4,6
Sevilla;7.-DA•OS;8696;7982;-8,2
Sevilla;8.-HURTOS;32683;32422;-0,8
Soria;1.-DELITOS Y FALTAS (EU);2809;2548;-9,3
Soria;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Soria;3.-DELINCUENCIA VIOLENTA (EU);85;58;-31,8
Soria;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);34;30;-11,8
Soria;4.-ROBOS CON FUERZA;424;397;-6,4
Soria;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);90;120;33,3
Soria;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);26;20;-23,1
Soria;6.-TRµFICO DE DROGAS (EU);10;25;150,0
Soria;7.-DA•OS;450;391;-13,1
Soria;8.-HURTOS;818;751;-8,2
Tarragona;1.-DELITOS Y FALTAS (EU);45190;43266;-4,3
Tarragona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);12;3;-75,0
Tarragona;3.-DELINCUENCIA VIOLENTA (EU);1941;1817;-6,4
Tarragona;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1618;1465;-9,5
Tarragona;4.-ROBOS CON FUERZA;11904;11846;-0,5
Tarragona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);4520;4547;0,6
Tarragona;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);705;550;-22,0
Tarragona;6.-TRµFICO DE DROGAS (EU);216;231;6,9
Tarragona;7.-DA•OS;4495;4266;-5,1
Tarragona;8.-HURTOS;12724;11757;-7,6
Teruel;1.-DELITOS Y FALTAS (EU);3368;3138;-6,8
Teruel;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Teruel;3.-DELINCUENCIA VIOLENTA (EU);67;70;4,5
Teruel;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);25;40;60,0
Teruel;4.-ROBOS CON FUERZA;787;671;-14,7
Teruel;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);265;220;-17,0
Teruel;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);36;34;-5,6
Teruel;6.-TRµFICO DE DROGAS (EU);18;20;11,1
Teruel;7.-DA•OS;546;472;-13,6
Teruel;8.-HURTOS;862;833;-3,4
Toledo;1.-DELITOS Y FALTAS (EU);28131;28747;2,2
Toledo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;2;-71,4
Toledo;3.-DELINCUENCIA VIOLENTA (EU);720;712;-1,1
Toledo;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);510;506;-0,8
Toledo;4.-ROBOS CON FUERZA;8448;9055;7,2
Toledo;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3434;3872;12,8
Toledo;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);589;579;-1,7
Toledo;6.-TRµFICO DE DROGAS (EU);141;166;17,7
Toledo;7.-DA•OS;2876;2838;-1,3
Toledo;8.-HURTOS;6043;6144;1,7
Valencia/Valäncia;1.-DELITOS Y FALTAS (EU);141426;131446;-7,1
Valencia/Valäncia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);32;18;-43,8
Valencia/Valäncia;3.-DELINCUENCIA VIOLENTA (EU);7879;6936;-12,0
Valencia/Valäncia;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);6901;5821;-15,6
Valencia/Valäncia;4.-ROBOS CON FUERZA;29864;25879;-13,3
Valencia/Valäncia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);11960;10303;-13,9
Valencia/Valäncia;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);2627;2449;-6,8
Valencia/Valäncia;6.-TRµFICO DE DROGAS (EU);744;938;26,1
Valencia/Valäncia;7.-DA•OS;19318;16897;-12,5
Valencia/Valäncia;8.-HURTOS;44556;42884;-3,8
Valladolid;1.-DELITOS Y FALTAS (EU);20666;20192;-2,3
Valladolid;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;3;50,0
Valladolid;3.-DELINCUENCIA VIOLENTA (EU);426;348;-18,3
Valladolid;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);280;196;-30,0
Valladolid;4.-ROBOS CON FUERZA;3059;2873;-6,1
Valladolid;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);875;789;-9,8
Valladolid;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);193;178;-7,8
Valladolid;6.-TRµFICO DE DROGAS (EU);59;74;25,4
Valladolid;7.-DA•OS;2737;2529;-7,6
Valladolid;8.-HURTOS;7621;7844;2,9
Zamora;1.-DELITOS Y FALTAS (EU);4960;4590;-7,5
Zamora;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;3;50,0
Zamora;3.-DELINCUENCIA VIOLENTA (EU);113;94;-16,8
Zamora;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);77;62;-19,5
Zamora;4.-ROBOS CON FUERZA;881;792;-10,1
Zamora;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);197;210;6,6
Zamora;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);63;64;1,6
Zamora;6.-TRµFICO DE DROGAS (EU);28;27;-3,6
Zamora;7.-DA•OS;562;563;0,2
Zamora;8.-HURTOS;1529;1459;-4,6
Zaragoza;1.-DELITOS Y FALTAS (EU);37334;33997;-8,9
Zaragoza;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;6;0,0
Zaragoza;3.-DELINCUENCIA VIOLENTA (EU);1784;1572;-11,9
Zaragoza;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1367;1116;-18,4
Zaragoza;4.-ROBOS CON FUERZA;6069;5450;-10,2
Zaragoza;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1750;1714;-2,1
Zaragoza;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);475;409;-13,9
Zaragoza;6.-TRµFICO DE DROGAS (EU);191;271;41,9
Zaragoza;7.-DA•OS;5076;4648;-8,4
Zaragoza;8.-HURTOS;13740;11486;-16,4
