TERRITORIO;TIPOLOGÍA PENAL;2014;2015;Var. % 15/14
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);56;20;-64,3
Municipio de Chiclana de la Frontera;7.-DAÑOS;406;370;-8,9
Municipio de Chiclana de la Frontera;8.-HURTOS;996;767;-23,0
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS (EU);10997;10821;-1,6
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50,0
Municipio de Jerez de la Frontera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);284;259;-8,8
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);356;246;-30,9
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);220;352;60,0
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);46;37;-19,6
Municipio de Jerez de la Frontera;7.-DAÑOS;1131;1154;2,0
Municipio de Jerez de la Frontera;8.-HURTOS;4070;3938;-3,2
Municipio de Línea de la Concepción (La);1.-DELITOS Y FALTAS (EU);3249;3231;-0,6
Municipio de Línea de la Concepción (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Línea de la Concepción (La);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);90;80;-11,1
Municipio de Línea de la Concepción (La);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);84;104;23,8
Municipio de Línea de la Concepción (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);128;117;-8,6
Municipio de Línea de la Concepción (La);6.-TRÁFICO DE DROGAS (EU);48;63;31,3
Municipio de Línea de la Concepción (La);7.-DAÑOS;421;388;-7,8
Municipio de Línea de la Concepción (La);8.-HURTOS;660;750;13,6
Municipio de Puerto de Santa María (El);1.-DELITOS Y FALTAS (EU);4578;4355;-4,9
Municipio de Puerto de Santa María (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Puerto de Santa María (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);85;70;-17,6
Municipio de Puerto de Santa María (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);170;119;-30,0
Municipio de Puerto de Santa María (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);108;116;7,4
Municipio de Puerto de Santa María (El);6.-TRÁFICO DE DROGAS (EU);35;45;28,6
Municipio de Puerto de Santa María (El);7.-DAÑOS;668;640;-4,2
Municipio de Puerto de Santa María (El);8.-HURTOS;1625;1528;-6,0
Municipio de San Fernando;1.-DELITOS Y FALTAS (EU);3551;3423;-3,6
Municipio de San Fernando;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de San Fernando;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);51;35;-31,4
Municipio de San Fernando;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);84;77;-8,3
Municipio de San Fernando;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);97;142;46,4
Municipio de San Fernando;6.-TRÁFICO DE DROGAS (EU);15;24;60,0
Municipio de San Fernando;7.-DAÑOS;388;404;4,1
Municipio de San Fernando;8.-HURTOS;1381;1257;-9,0
Municipio de Sanlúcar de Barrameda;1.-DELITOS Y FALTAS (EU);2745;2508;-8,6
Municipio de Sanlúcar de Barrameda;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Sanlúcar de Barrameda;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);72;74;2,8
Municipio de Sanlúcar de Barrameda;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);187;108;-42,2
Municipio de Sanlúcar de Barrameda;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);143;126;-11,9
Municipio de Sanlúcar de Barrameda;6.-TRÁFICO DE DROGAS (EU);24;7;-70,8
Municipio de Sanlúcar de Barrameda;7.-DAÑOS;326;296;-9,2
Municipio de Sanlúcar de Barrameda;8.-HURTOS;962;931;-3,2
Provincia de Córdoba;1.-DELITOS Y FALTAS (EU);27114;25495;-6,0
Provincia de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;3;0,0
Provincia de Córdoba;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);561;516;-8,0
Provincia de Córdoba;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1224;1144;-6,5
Provincia de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);358;392;9,5
Provincia de Córdoba;6.-TRÁFICO DE DROGAS (EU);164;139;-15,2
Provincia de Córdoba;7.-DAÑOS;2669;2561;-4,0
Provincia de Córdoba;8.-HURTOS;8433;8111;-3,8
Municipio de Córdoba;1.-DELITOS Y FALTAS (EU);16055;15207;-5,3
Municipio de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50,0
Municipio de Córdoba;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);441;401;-9,1
Municipio de Córdoba;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);554;449;-19,0
Municipio de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);230;249;8,3
Municipio de Córdoba;6.-TRÁFICO DE DROGAS (EU);97;76;-21,6
Municipio de Córdoba;7.-DAÑOS;1543;1507;-2,3
