TERRITORIO;TIPOLOGÍA PENAL;2013;2014;Var. % 14/13
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);189.451;176.124;-7,0
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);35;38;8,6
ANDALUCÍA;3.-DELINCUENCIA VIOLENTA (EU);7.103;5.955;-16,2
ANDALUCÍA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);5.518;4.339;-21,4
ANDALUCÍA;4.-ROBOS CON FUERZA;35.374;30.295;-14,4
ANDALUCÍA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);11.379;10.162;-10,7
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);4.532;4.130;-8,9
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);1.416;1.654;16,8
ANDALUCÍA;7.-DAÑOS;18.778;17.366;-7,5
ANDALUCÍA;8.-HURTOS;64.848;57.905;-10,7
Provincia de Almería;1.-DELITOS Y FALTAS (EU);16.061;15.326;-4,6
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;4;33,3
Provincia de Almería;3.-DELINCUENCIA VIOLENTA (EU);747;647;-13,4
Provincia de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);557;453;-18,7
Provincia de Almería;4.-ROBOS CON FUERZA;4.223;3.572;-15,4
Provincia de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1.805;1.524;-15,6
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);340;353;3,8
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);119;100;-16,0
Provincia de Almería;7.-DAÑOS;1.818;1.744;-4,1
Provincia de Almería;8.-HURTOS;3.933;3.969;0,9
Municipio de Almería;1.-DELITOS Y FALTAS (EU);5.024;4.988;-0,7
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Almería;3.-DELINCUENCIA VIOLENTA (EU);323;281;-13,0
Municipio de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);262;215;-17,9
Municipio de Almería;4.-ROBOS CON FUERZA;838;685;-18,3
Municipio de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);416;288;-30,8
Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);150;131;-12,7
Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);44;32;-27,3
Municipio de Almería;7.-DAÑOS;559;580;3,8
Municipio de Almería;8.-HURTOS;1.463;1.554;6,2
Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);2.673;2.713;1,5
Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Roquetas de Mar;3.-DELINCUENCIA VIOLENTA (EU);157;142;-9,6
Municipio de Roquetas de Mar;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);129;101;-21,7
Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA;749;647;-13,6
Municipio de Roquetas de Mar;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);369;330;-10,6
Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);45;51;13,3
Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);21;18;-14,3
Municipio de Roquetas de Mar;7.-DAÑOS;295;259;-12,2
Municipio de Roquetas de Mar;8.-HURTOS;676;758;12,1
Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);2.265;1.729;-23,7
Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Ejido (El);3.-DELINCUENCIA VIOLENTA (EU);124;66;-46,8
Municipio de Ejido (El);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);91;44;-51,6
Municipio de Ejido (El);4.-ROBOS CON FUERZA;714;517;-27,6
Municipio de Ejido (El);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);154;145;-5,8
Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);33;39;18,2
Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);13;10;-23,1
Municipio de Ejido (El);7.-DAÑOS;264;167;-36,7
Municipio de Ejido (El);8.-HURTOS;434;373;-14,1
Provincia de Cádiz;1.-DELITOS Y FALTAS (EU);27.667;27.487;-0,7
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;9;350,0
Provincia de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);842;788;-6,4
Provincia de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);541;503;-7,0
Provincia de Cádiz;4.-ROBOS CON FUERZA;4.355;3.982;-8,6
Provincia de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1.586;1.496;-5,7
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);727;791;8,8
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);486;614;26,3
Provincia de Cádiz;7.-DAÑOS;3.092;2.995;-3,1
Provincia de Cádiz;8.-HURTOS;9.143;8.716;-4,7
Municipio de Algeciras;1.-DELITOS Y FALTAS (EU);3.439;3.355;-2,4
Municipio de Algeciras;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Algeciras;3.-DELINCUENCIA VIOLENTA (EU);113;96;-15,0
Municipio de Algeciras;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);68;60;-11,8
Municipio de Algeciras;4.-ROBOS CON FUERZA;492;524;6,5
Municipio de Algeciras;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);139;137;-1,4
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);107;91;-15,0
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);301;334;11,0
