TERRITORIO;TIPOLOGÍA PENAL;2014;2015;Var. % 15/14
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);86905;85264;-1,9
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);20;14;-30
ANDALUCÍA;3.-DELINCUENCIA VIOLENTA (EU);2962;2588;-12,6
ANDALUCÍA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2204;1835;-16,7
ANDALUCÍA;4.-ROBOS CON FUERZA;15915;14613;-8,2
ANDALUCÍA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);5504;4890;-11,2
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2044;2190;7,1
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);809;761;-5,9
ANDALUCÍA;7.-DAÑOS;9080;8808;-3
ANDALUCÍA;8.-HURTOS;28070;27273;-2,8
Provincia de Almería;1.-DELITOS Y FALTAS (EU);7721;7524;-2,6
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0
Provincia de Almería;3.-DELINCUENCIA VIOLENTA (EU);343;277;-19,2
Provincia de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);237;180;-24,1
Provincia de Almería;4.-ROBOS CON FUERZA;1877;1754;-6,6
Provincia de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);875;726;-17
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);195;134;-31,3
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);49;32;-34,7
Provincia de Almería;7.-DAÑOS;913;864;-5,4
Provincia de Almería;8.-HURTOS;1946;2012;3,4
Municipio de Almería;1.-DELITOS Y FALTAS (EU);2534;2283;-9,9
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Almería;3.-DELINCUENCIA VIOLENTA (EU);148;105;-29,1
Municipio de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);110;82;-25,5
Municipio de Almería;4.-ROBOS CON FUERZA;351;342;-2,6
Municipio de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);162;148;-8,6
Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);75;50;-33,3
Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);18;13;-27,8
Municipio de Almería;7.-DAÑOS;300;257;-14,3
Municipio de Almería;8.-HURTOS;788;762;-3,3
Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);1321;1428;8,1
Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Roquetas de Mar;3.-DELINCUENCIA VIOLENTA (EU);75;60;-20
Municipio de Roquetas de Mar;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);54;42;-22,2
Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA;337;347;3
Municipio de Roquetas de Mar;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);194;155;-20,1
Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);28;24;-14,3
Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);6;3;-50
Municipio de Roquetas de Mar;7.-DAÑOS;119;159;33,6
Municipio de Roquetas de Mar;8.-HURTOS;359;393;9,5
Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);856;966;12,9
Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0
Municipio de Ejido (El);3.-DELINCUENCIA VIOLENTA (EU);33;44;33,3
Municipio de Ejido (El);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);17;30;76,5
Municipio de Ejido (El);4.-ROBOS CON FUERZA;255;272;6,7
Municipio de Ejido (El);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);80;53;-33,8
Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);18;9;-50
Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);5;3;-40
Municipio de Ejido (El);7.-DAÑOS;83;108;30,1
Municipio de Ejido (El);8.-HURTOS;196;244;24,5
Provincia de Cádiz;1.-DELITOS Y FALTAS (EU);13583;12695;-6,5
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;3;-50
Provincia de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);400;311;-22,3
Provincia de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);270;189;-30
Provincia de Cádiz;4.-ROBOS CON FUERZA;2113;1867;-11,6
Provincia de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);831;725;-12,8
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);392;408;4,1
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);323;249;-22,9
Provincia de Cádiz;7.-DAÑOS;1572;1512;-3,8
Provincia de Cádiz;8.-HURTOS;4228;3777;-10,7
Municipio de Algeciras;1.-DELITOS Y FALTAS (EU);1715;1390;-19
Municipio de Algeciras;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Algeciras;3.-DELINCUENCIA VIOLENTA (EU);64;40;-37,5
Municipio de Algeciras;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);45;24;-46,7
Municipio de Algeciras;4.-ROBOS CON FUERZA;285;187;-34,4
Municipio de Algeciras;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);76;55;-27,6
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);56;53;-5,4
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);197;129;-34,5
Municipio de Algeciras;7.-DAÑOS;213;170;-20,2
Municipio de Algeciras;8.-HURTOS;438;343;-21,7
Municipio de Cádiz;1.-DELITOS Y FALTAS (EU);1578;1493;-5,4
Municipio de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);39;31;-20,5
Municipio de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);30;21;-30
Municipio de Cádiz;4.-ROBOS CON FUERZA;105;106;1
Municipio de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);24;19;-20,8
Municipio de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);49;42;-14,3
Municipio de Cádiz;6.-TRÁFICO DE DROGAS (EU);21;19;-9,5
Municipio de Cádiz;7.-DAÑOS;132;127;-3,8
Municipio de Cádiz;8.-HURTOS;668;653;-2,2
Municipio de Chiclana de la Frontera;1.-DELITOS Y FALTAS (EU);905;750;-17,1
Municipio de Chiclana de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100
Municipio de Chiclana de la Frontera;3.-DELINCUENCIA VIOLENTA (EU);14;8;-42,9
Municipio de Chiclana de la Frontera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);10;7;-30
Municipio de Chiclana de la Frontera;4.-ROBOS CON FUERZA;256;265;3,5
Municipio de Chiclana de la Frontera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);152;183;20,4
Municipio de Chiclana de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);27;7;-74,1
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);2;5;150
Municipio de Chiclana de la Frontera;7.-DAÑOS;117;110;-6
Municipio de Chiclana de la Frontera;8.-HURTOS;245;145;-40,8
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS (EU);2661;2747;3,2
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Jerez de la Frontera;3.-DELINCUENCIA VIOLENTA (EU);107;66;-38,3
Municipio de Jerez de la Frontera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);86;46;-46,5
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA;361;355;-1,7
Municipio de Jerez de la Frontera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);108;97;-10,2
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);56;88;57,1
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);8;7;-12,5
Municipio de Jerez de la Frontera;7.-DAÑOS;264;327;23,9
Municipio de Jerez de la Frontera;8.-HURTOS;972;927;-4,6
Municipio de Línea de la Concepción (La);1.-DELITOS Y FALTAS (EU);827;702;-15,1
Municipio de Línea de la Concepción (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Línea de la Concepción (La);3.-DELINCUENCIA VIOLENTA (EU);38;36;-5,3
Municipio de Línea de la Concepción (La);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);31;21;-32,3
Municipio de Línea de la Concepción (La);4.-ROBOS CON FUERZA;64;76;18,8
Municipio de Línea de la Concepción (La);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);24;17;-29,2
Municipio de Línea de la Concepción (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);41;33;-19,5
Municipio de Línea de la Concepción (La);6.-TRÁFICO DE DROGAS (EU);6;9;50
Municipio de Línea de la Concepción (La);7.-DAÑOS;108;79;-26,9
Municipio de Línea de la Concepción (La);8.-HURTOS;189;141;-25,4
Municipio de Puerto de Santa María (El);1.-DELITOS Y FALTAS (EU);1076;975;-9,4
Municipio de Puerto de Santa María (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Puerto de Santa María (El);3.-DELINCUENCIA VIOLENTA (EU);26;22;-15,4
Municipio de Puerto de Santa María (El);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);17;17;0
Municipio de Puerto de Santa María (El);4.-ROBOS CON FUERZA;144;95;-34
Municipio de Puerto de Santa María (El);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);50;40;-20
Municipio de Puerto de Santa María (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);21;25;19
Municipio de Puerto de Santa María (El);6.-TRÁFICO DE DROGAS (EU);11;12;9,1
Municipio de Puerto de Santa María (El);7.-DAÑOS;174;145;-16,7
Municipio de Puerto de Santa María (El);8.-HURTOS;377;342;-9,3
Municipio de San Fernando;1.-DELITOS Y FALTAS (EU);913;877;-3,9
Municipio de San Fernando;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de San Fernando;3.-DELINCUENCIA VIOLENTA (EU);17;12;-29,4
Municipio de San Fernando;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);10;7;-30
Municipio de San Fernando;4.-ROBOS CON FUERZA;85;68;-20
Municipio de San Fernando;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);23;14;-39,1
Municipio de San Fernando;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);24;39;62,5
Municipio de San Fernando;6.-TRÁFICO DE DROGAS (EU);3;8;166,7
Municipio de San Fernando;7.-DAÑOS;118;110;-6,8
Municipio de San Fernando;8.-HURTOS;363;312;-14
Municipio de Sanlúcar de Barrameda;1.-DELITOS Y FALTAS (EU);618;602;-2,6
Municipio de Sanlúcar de Barrameda;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Sanlúcar de Barrameda;3.-DELINCUENCIA VIOLENTA (EU);23;20;-13
Municipio de Sanlúcar de Barrameda;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);15;15;0
Municipio de Sanlúcar de Barrameda;4.-ROBOS CON FUERZA;120;120;0
Municipio de Sanlúcar de Barrameda;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);45;39;-13,3
Municipio de Sanlúcar de Barrameda;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);45;40;-11,1
Municipio de Sanlúcar de Barrameda;6.-TRÁFICO DE DROGAS (EU);7;1;-85,7
Municipio de Sanlúcar de Barrameda;7.-DAÑOS;73;79;8,2
Municipio de Sanlúcar de Barrameda;8.-HURTOS;205;198;-3,4
Provincia de Córdoba;1.-DELITOS Y FALTAS (EU);6778;6674;-1,5
Provincia de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100
Provincia de Córdoba;3.-DELINCUENCIA VIOLENTA (EU);191;172;-9,9
Provincia de Córdoba;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);143;121;-15,4
Provincia de Córdoba;4.-ROBOS CON FUERZA;1306;1010;-22,7
Provincia de Córdoba;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);409;298;-27,1
Provincia de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);82;113;37,8
Provincia de Córdoba;6.-TRÁFICO DE DROGAS (EU);45;26;-42,2
Provincia de Córdoba;7.-DAÑOS;716;710;-0,8
Provincia de Córdoba;8.-HURTOS;2155;2151;-0,2
Municipio de Córdoba;1.-DELITOS Y FALTAS (EU);3948;3937;-0,3
Municipio de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Córdoba;3.-DELINCUENCIA VIOLENTA (EU);135;115;-14,8
Municipio de Córdoba;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);120;95;-20,8
Municipio de Córdoba;4.-ROBOS CON FUERZA;597;446;-25,3
Municipio de Córdoba;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);204;137;-32,8
Municipio de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);49;79;61,2
Municipio de Córdoba;6.-TRÁFICO DE DROGAS (EU);38;19;-50
Municipio de Córdoba;7.-DAÑOS;401;412;2,7
Municipio de Córdoba;8.-HURTOS;1379;1365;-1
Provincia de Granada;1.-DELITOS Y FALTAS (EU);8647;8528;-1,4
Provincia de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0
Provincia de Granada;3.-DELINCUENCIA VIOLENTA (EU);321;298;-7,2
Provincia de Granada;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);254;224;-11,8
Provincia de Granada;4.-ROBOS CON FUERZA;1585;1326;-16,3
Provincia de Granada;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);667;513;-23,1
Provincia de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);224;204;-8,9
Provincia de Granada;6.-TRÁFICO DE DROGAS (EU);71;129;81,7
