TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
ANDALUCÍA;1.-DELITOS Y FALTAS;85396;80611;-5,6
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);14;16;14,3
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1799;1838;2,2
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);4890;4833;-1,2
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2181;2091;-4,1
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);760;683;-10,1
ANDALUCÍA;7.-DAÑOS;8804;8593;-2,4
ANDALUCÍA;8.-HURTOS;27375;26466;-3,3
Provincia de Almería;1.-DELITOS Y FALTAS;7504;7664;2,1
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;4;100,0
Provincia de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);177;164;-7,3
Provincia de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);726;769;5,9
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);132;191;44,7
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);32;43;34,4
Provincia de Almería;7.-DAÑOS;862;1057;22,6
Provincia de Almería;8.-HURTOS;2011;1886;-6,2
Municipio de Almería;1.-DELITOS Y FALTAS;2268;2284;0,7
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);79;54;-31,6
Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);148;144;-2,7
Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);49;99;102,0
Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);13;15;15,4
Municipio de Almería;7.-DAÑOS;256;310;21,1
Municipio de Almería;8.-HURTOS;763;673;-11,8
Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS;1429;1505;5,3
Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Roquetas de Mar;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);42;55;31,0
Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);155;130;-16,1
Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);24;23;-4,2
Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);3;9;200,0
Municipio de Roquetas de Mar;7.-DAÑOS;159;205;28,9
Municipio de Roquetas de Mar;8.-HURTOS;393;428;8,9
Municipio de Ejido (El);1.-DELITOS Y FALTAS;959;980;2,2
Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Ejido (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);30;19;-36,7
Municipio de Ejido (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);53;94;77,4
Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);8;10;25,0
Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);3;3;0,0
Municipio de Ejido (El);7.-DAÑOS;107;159;48,6
Municipio de Ejido (El);8.-HURTOS;242;229;-5,4
Provincia de Cádiz;1.-DELITOS Y FALTAS;12763;12070;-5,4
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100,0
Provincia de Cádiz;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);188;217;15,4
Provincia de Cádiz;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);728;586;-19,5
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);408;366;-10,3
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);249;187;-24,9
Provincia de Cádiz;7.-DAÑOS;1514;1324;-12,5
Provincia de Cádiz;8.-HURTOS;3802;3874;1,9
Municipio de Algeciras;1.-DELITOS Y FALTAS;1438;1234;-14,2
Municipio de Algeciras;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Algeciras;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);25;26;4,0
Municipio de Algeciras;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);58;52;-10,3
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);55;27;-50,9
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);129;91;-29,5
Municipio de Algeciras;7.-DAÑOS;177;94;-46,9
Municipio de Algeciras;8.-HURTOS;341;316;-7,3
Municipio de Cádiz;1.-DELITOS Y FALTAS;1492;1494;0,1
Municipio de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Cádiz;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);19;34;78,9
Municipio de Cádiz;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);19;10;-47,4
Municipio de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);42;50;19,0
Municipio de Cádiz;6.-TRÁFICO DE DROGAS (EU);19;10;-47,4
Municipio de Cádiz;7.-DAÑOS;127;135;6,3
Municipio de Cádiz;8.-HURTOS;653;695;6,4
Municipio de Chiclana de la Frontera;1.-DELITOS Y FALTAS;750;765;2,0
Municipio de Chiclana de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Chiclana de la Frontera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);7;7;0,0
Municipio de Chiclana de la Frontera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);183;117;-36,1
Municipio de Chiclana de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);7;15;114,3
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);5;2;-60,0
Municipio de Chiclana de la Frontera;7.-DAÑOS;110;102;-7,3
Municipio de Chiclana de la Frontera;8.-HURTOS;145;179;23,4
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS;2777;2485;-10,5
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Jerez de la Frontera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);46;52;13,0
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);98;51;-48,0
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);87;75;-13,8
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);7;7;0,0
Municipio de Jerez de la Frontera;7.-DAÑOS;324;234;-27,8
Municipio de Jerez de la Frontera;8.-HURTOS;955;931;-2,5
Municipio de Línea de la Concepción (La);1.-DELITOS Y FALTAS;702;592;-15,7
Municipio de Línea de la Concepción (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Línea de la Concepción (La);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);21;21;0,0
Municipio de Línea de la Concepción (La);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);17;12;-29,4
Municipio de Línea de la Concepción (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);32;20;-37,5
Municipio de Línea de la Concepción (La);6.-TRÁFICO DE DROGAS (EU);9;13;44,4
Municipio de Línea de la Concepción (La);7.-DAÑOS;79;83;5,1
Municipio de Línea de la Concepción (La);8.-HURTOS;142;135;-4,9
Municipio de Puerto de Santa María (El);1.-DELITOS Y FALTAS;967;893;-7,7
Municipio de Puerto de Santa María (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Puerto de Santa María (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);18;15;-16,7
Municipio de Puerto de Santa María (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);40;13;-67,5
Municipio de Puerto de Santa María (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);25;20;-20,0
Municipio de Puerto de Santa María (El);6.-TRÁFICO DE DROGAS (EU);12;10;-16,7
Municipio de Puerto de Santa María (El);7.-DAÑOS;145;116;-20,0
Municipio de Puerto de Santa María (El);8.-HURTOS;342;299;-12,6
Municipio de San Fernando;1.-DELITOS Y FALTAS;879;832;-5,3
Municipio de San Fernando;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de San Fernando;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);7;8;14,3
Municipio de San Fernando;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);14;30;114,3
Municipio de San Fernando;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);39;38;-2,6
Municipio de San Fernando;6.-TRÁFICO DE DROGAS (EU);8;8;0,0
Municipio de San Fernando;7.-DAÑOS;110;82;-25,5
Municipio de San Fernando;8.-HURTOS;312;309;-1,0
Municipio de Sanlúcar de Barrameda;1.-DELITOS Y FALTAS;602;653;8,5
Municipio de Sanlúcar de Barrameda;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Sanlúcar de Barrameda;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);15;19;26,7
Municipio de Sanlúcar de Barrameda;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);39;47;20,5
Municipio de Sanlúcar de Barrameda;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);40;34;-15,0
Municipio de Sanlúcar de Barrameda;6.-TRÁFICO DE DROGAS (EU);1;8;700,0
Municipio de Sanlúcar de Barrameda;7.-DAÑOS;79;105;32,9
Municipio de Sanlúcar de Barrameda;8.-HURTOS;198;219;10,6
Provincia de Córdoba;1.-DELITOS Y FALTAS;6670;6056;-9,2
