TERRITORIO;TIPOLOGÍA PENAL;2014;2015;Var. % 15/14
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);176038;172698;-1,9
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);39;34;-12,8
ANDALUCÍA;3.-DELINCUENCIA VIOLENTA (EU);5896;5159;-12,5
ANDALUCÍA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);4273;3630;-15
ANDALUCÍA;4.-ROBOS CON FUERZA;30274;28070;-7,3
ANDALUCÍA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);10147;9235;-9
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);4101;4339;5,8
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);1654;1638;-1
ANDALUCÍA;7.-DAÑOS;17357;17311;-0,3
ANDALUCÍA;8.-HURTOS;57756;55810;-3,4
Provincia de Almería;1.-DELITOS Y FALTAS (EU);15325;15306;-0,1
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;4;0
Provincia de Almería;3.-DELINCUENCIA VIOLENTA (EU);645;512;-20,6
Provincia de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);450;333;-26
Provincia de Almería;4.-ROBOS CON FUERZA;3573;3312;-7,3
Provincia de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1525;1354;-11,2
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);352;301;-14,5
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);100;98;-2
Provincia de Almería;7.-DAÑOS;1743;1804;3,5
Provincia de Almería;8.-HURTOS;3957;4037;2
Municipio de Almería;1.-DELITOS Y FALTAS (EU);4983;4642;-6,8
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Almería;3.-DELINCUENCIA VIOLENTA (EU);278;198;-28,8
Municipio de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);211;152;-28
Municipio de Almería;4.-ROBOS CON FUERZA;686;640;-6,7
Municipio de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);289;272;-5,9
Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);130;116;-10,8
Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);32;30;-6,3
Municipio de Almería;7.-DAÑOS;579;536;-7,4
Municipio de Almería;8.-HURTOS;1549;1471;-5
Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);2715;2889;6,4
Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Roquetas de Mar;3.-DELINCUENCIA VIOLENTA (EU);142;109;-23,2
Municipio de Roquetas de Mar;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);101;73;-27,7
Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA;647;619;-4,3
Municipio de Roquetas de Mar;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);330;313;-5,2
Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);51;48;-5,9
Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);18;16;-11,1
Municipio de Roquetas de Mar;7.-DAÑOS;259;296;14,3
Municipio de Roquetas de Mar;8.-HURTOS;758;852;12,4
Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);1731;1951;12,7
Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0
Municipio de Ejido (El);3.-DELINCUENCIA VIOLENTA (EU);67;83;23,9
Municipio de Ejido (El);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);45;56;24,4
Municipio de Ejido (El);4.-ROBOS CON FUERZA;517;493;-4,6
Municipio de Ejido (El);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);145;87;-40
Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);39;27;-30,8
Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);10;10;0
Municipio de Ejido (El);7.-DAÑOS;167;236;41,3
Municipio de Ejido (El);8.-HURTOS;367;469;27,8
Provincia de Cádiz;1.-DELITOS Y FALTAS (EU);27500;26843;-2,4
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);9;7;-22,2
Provincia de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);793;717;-9,6
Provincia de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);503;455;-9,5
Provincia de Cádiz;4.-ROBOS CON FUERZA;3982;3582;-10
Provincia de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1496;1303;-12,9
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);788;877;11,3
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);614;563;-8,3
Provincia de Cádiz;7.-DAÑOS;2995;2941;-1,8
Provincia de Cádiz;8.-HURTOS;8709;8277;-5
Municipio de Algeciras;1.-DELITOS Y FALTAS (EU);3365;2981;-11,4
Municipio de Algeciras;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Algeciras;3.-DELINCUENCIA VIOLENTA (EU);101;89;-11,9
Municipio de Algeciras;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);60;53;-11,7
Municipio de Algeciras;4.-ROBOS CON FUERZA;524;374;-28,6
Municipio de Algeciras;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);137;109;-20,4
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);91;106;16,5
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);334;292;-12,6
Municipio de Algeciras;7.-DAÑOS;373;305;-18,2
Municipio de Algeciras;8.-HURTOS;888;714;-19,6
Municipio de Cádiz;1.-DELITOS Y FALTAS (EU);3013;3071;1,9
Municipio de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);86;76;-11,6
Municipio de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);60;50;-16,7
Municipio de Cádiz;4.-ROBOS CON FUERZA;178;200;12,4
Municipio de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);35;35;0
Municipio de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);166;102;-38,6
Municipio de Cádiz;6.-TRÁFICO DE DROGAS (EU);47;41;-12,8
Municipio de Cádiz;7.-DAÑOS;247;248;0,4
Municipio de Cádiz;8.-HURTOS;1199;1288;7,4
Municipio de Chiclana de la Frontera;1.-DELITOS Y FALTAS (EU);1948;1555;-20,2
Municipio de Chiclana de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0
Municipio de Chiclana de la Frontera;3.-DELINCUENCIA VIOLENTA (EU);40;29;-27,5
Municipio de Chiclana de la Frontera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);27;24;-11,1
Municipio de Chiclana de la Frontera;4.-ROBOS CON FUERZA;503;437;-13,1
Municipio de Chiclana de la Frontera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);303;306;1
Municipio de Chiclana de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);47;20;-57,4
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);21;13;-38,1
Municipio de Chiclana de la Frontera;7.-DAÑOS;215;194;-9,8
Municipio de Chiclana de la Frontera;8.-HURTOS;580;375;-35,3
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS (EU);5653;5711;1
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100
Municipio de Jerez de la Frontera;3.-DELINCUENCIA VIOLENTA (EU);202;171;-15,3
Municipio de Jerez de la Frontera;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);163;126;-22,7
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA;661;627;-5,1
Municipio de Jerez de la Frontera;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);197;145;-26,4
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);115;191;66,1
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);22;15;-31,8
Municipio de Jerez de la Frontera;7.-DAÑOS;564;589;4,4
Municipio de Jerez de la Frontera;8.-HURTOS;2172;2107;-3
