TERRITORIO;TIPOLOGÍA PENAL;2012_ene_jun;2013_ene_jun;var_porc_13s12
Provincia de Málaga;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1234;1113;-9,8
Provincia de Málaga;4.-ROBOS CON FUERZA;7134;7057;-1,1
Provincia de Málaga;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2323;2612;12,4
Provincia de Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1435;1271;-11,4
Provincia de Málaga;6.-TRÁFICO DE DROGAS (EU);381;355;-6,8
Provincia de Málaga;7.-DAÑOS;4840;4255;-12,1
Provincia de Málaga;8.-HURTOS;17478;16236;-7,1
Provincia de Sevilla;1.-DELITOS Y FALTAS (EU);48025;47084;-2
Provincia de Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;11;175
Provincia de Sevilla;3.-DELINCUENCIA VIOLENTA (EU);1864;1850;-0,8
Provincia de Sevilla;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1562;1566;0,3
Provincia de Sevilla;4.-ROBOS CON FUERZA;9550;9406;-1,5
Provincia de Sevilla;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2300;2097;-8,8
Provincia de Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1257;1060;-15,7
Provincia de Sevilla;6.-TRÁFICO DE DROGAS (EU);178;160;-10,1
Provincia de Sevilla;7.-DAÑOS;4487;4152;-7,5
Provincia de Sevilla;8.-HURTOS;17199;17401;1,2
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);196932;189451;-3,8
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);37;35;-5,4
ANDALUCÍA;3.-DELINCUENCIA VIOLENTA (EU);7130;7103;-0,4
ANDALUCÍA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);5502;5518;0,3
ANDALUCÍA;4.-ROBOS CON FUERZA;35224;35374;0,4
ANDALUCÍA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);10750;11379;5,9
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);5368;4532;-15,6
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);1732;1416;-18,2
ANDALUCÍA;7.-DAÑOS;21295;18778;-11,8
ANDALUCÍA;8.-HURTOS;65772;64848;-1,4
Provincia de Huesca;1.-DELITOS Y FALTAS (EU);2876;2728;-5,1
Provincia de Huesca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Provincia de Huesca;3.-DELINCUENCIA VIOLENTA (EU);68;61;-10,3
Provincia de Huesca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);41;40;-2,4
Provincia de Huesca;4.-ROBOS CON FUERZA;499;463;-7,2
Provincia de Huesca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);105;137;30,5
Provincia de Huesca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);38;21;-44,7
Provincia de Huesca;6.-TRÁFICO DE DROGAS (EU);24;21;-12,5
Provincia de Huesca;7.-DAÑOS;487;429;-11,9
Provincia de Huesca;8.-HURTOS;844;840;-0,5
Provincia de Teruel;1.-DELITOS Y FALTAS (EU);1553;1499;-3,5
Provincia de Teruel;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Provincia de Teruel;3.-DELINCUENCIA VIOLENTA (EU);30;29;-3,3
Provincia de Teruel;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);8;17;112,5
Provincia de Teruel;4.-ROBOS CON FUERZA;363;348;-4,1
Provincia de Teruel;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);145;100;-31
Provincia de Teruel;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);18;17;-5,6
Provincia de Teruel;6.-TRÁFICO DE DROGAS (EU);7;11;57,1
Provincia de Teruel;7.-DAÑOS;268;201;-25
Provincia de Teruel;8.-HURTOS;370;394;6,5
Provincia de Zaragoza;1.-DELITOS Y FALTAS (EU);18999;17532;-7,7
Provincia de Zaragoza;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;3;-25
Provincia de Zaragoza;3.-DELINCUENCIA VIOLENTA (EU);851;857;0,7
Provincia de Zaragoza;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);655;643;-1,8
Provincia de Zaragoza;4.-ROBOS CON FUERZA;3089;2900;-6,1
Provincia de Zaragoza;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);921;902;-2,1
Provincia de Zaragoza;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);240;223;-7,1
Provincia de Zaragoza;6.-TRÁFICO DE DROGAS (EU);110;105;-4,5
Provincia de Zaragoza;7.-DAÑOS;2683;2399;-10,6
Provincia de Zaragoza;8.-HURTOS;7066;6030;-14,7
ARAGÓN;1.-DELITOS Y FALTAS (EU);23428;21759;-7,1
ARAGÓN;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;4;0
ARAGÓN;3.-DELINCUENCIA VIOLENTA (EU);949;947;-0,2
ARAGÓN;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);704;700;-0,6
ARAGÓN;4.-ROBOS CON FUERZA;3951;3711;-6,1
ARAGÓN;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1171;1139;-2,7
ARAGÓN;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);296;261;-11,8
ARAGÓN;6.-TRÁFICO DE DROGAS (EU);141;137;-2,8
ARAGÓN;7.-DAÑOS;3438;3029;-11,9
ARAGÓN;8.-HURTOS;8280;7264;-12,3
ASTURIAS (PRINCIPADO DE);1.-DELITOS Y FALTAS (EU);14268;15279;7,1
ASTURIAS (PRINCIPADO DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;3;-40
ASTURIAS (PRINCIPADO DE);3.-DELINCUENCIA VIOLENTA (EU);544;603;10,8
ASTURIAS (PRINCIPADO DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);367;418;13,9
ASTURIAS (PRINCIPADO DE);4.-ROBOS CON FUERZA;1668;1672;0,2
ASTURIAS (PRINCIPADO DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);555;508;-8,5
ASTURIAS (PRINCIPADO DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);196;227;15,8
ASTURIAS (PRINCIPADO DE);6.-TRÁFICO DE DROGAS (EU);107;82;-23,4
ASTURIAS (PRINCIPADO DE);7.-DAÑOS;1569;1990;26,8
ASTURIAS (PRINCIPADO DE);8.-HURTOS;4844;5122;5,7
