TERRITORIO;TIPOLOGÍA PENAL;2012_ene_mar;2013_ene_mar;var_porc_13s12
Barcelona;1.-DELITOS Y FALTAS (EU);81105;79210;-2,3
Barcelona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);14;8;-42,9
Barcelona;3.-DELINCUENCIA VIOLENTA (EU);7293;7370;1,1
Barcelona;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);6622;6770;2,2
Barcelona;4.-ROBOS CON FUERZA;14213;13623;-4,2
Barcelona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3514;3551;1,1
Barcelona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2220;2255;1,6
Barcelona;6.-TRÁFICO DE DROGAS (EU);304;288;-5,3
Barcelona;7.-DAÑOS;7609;7222;-5,1
Barcelona;8.-HURTOS;32501;31141;-4,2
Girona;1.-DELITOS Y FALTAS (EU);9060;9645;6,5
Girona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100
Girona;3.-DELINCUENCIA VIOLENTA (EU);311;379;21,9
Girona;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);217;288;32,7
Girona;4.-ROBOS CON FUERZA;2516;2635;4,7
Girona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);918;1053;14,7
Girona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);195;188;-3,6
Girona;6.-TRÁFICO DE DROGAS (EU);69;113;63,8
Girona;7.-DAÑOS;1014;1031;1,7
Girona;8.-HURTOS;2324;2602;12
Lleida;1.-DELITOS Y FALTAS (EU);5017;5095;1,6
Lleida;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Lleida;3.-DELINCUENCIA VIOLENTA (EU);236;224;-5,1
Lleida;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);175;167;-4,6
Lleida;4.-ROBOS CON FUERZA;1220;1253;2,7
Lleida;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);252;246;-2,4
Lleida;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);65;58;-10,8
Lleida;6.-TRÁFICO DE DROGAS (EU);22;27;22,7
Lleida;7.-DAÑOS;639;584;-8,6
Lleida;8.-HURTOS;1385;1423;2,7
Tarragona;1.-DELITOS Y FALTAS (EU);9861;10255;4
Tarragona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;1;-83,3
Tarragona;3.-DELINCUENCIA VIOLENTA (EU);397;419;5,5
Tarragona;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);319;329;3,1
Tarragona;4.-ROBOS CON FUERZA;2868;3236;12,8
Tarragona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1053;1378;30,9
Tarragona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);188;135;-28,2
Tarragona;6.-TRÁFICO DE DROGAS (EU);35;35;0
Tarragona;7.-DAÑOS;1042;1022;-1,9
Tarragona;8.-HURTOS;2279;2337;2,5
CATALUÑA;1.-DELITOS Y FALTAS (EU);105043;104205;-0,8
CATALUÑA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);23;9;-60,9
CATALUÑA;3.-DELINCUENCIA VIOLENTA (EU);8237;8392;1,9
CATALUÑA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);7333;7554;3
CATALUÑA;4.-ROBOS CON FUERZA;20817;20747;-0,3
CATALUÑA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);5737;6228;8,6
CATALUÑA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2668;2636;-1,2
CATALUÑA;6.-TRÁFICO DE DROGAS (EU);430;463;7,7
CATALUÑA;7.-DAÑOS;10304;9859;-4,3
CATALUÑA;8.-HURTOS;38489;37503;-2,6
Alicante/Alacant;1.-DELITOS Y FALTAS (EU);24604;24155;-1,8
Alicante/Alacant;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;3;50
Alicante/Alacant;3.-DELINCUENCIA VIOLENTA (EU);831;846;1,8
Alicante/Alacant;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);663;678;2,3
Alicante/Alacant;4.-ROBOS CON FUERZA;5720;5499;-3,9
Alicante/Alacant;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2758;2994;8,6
Alicante/Alacant;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);748;606;-19
Alicante/Alacant;6.-TRÁFICO DE DROGAS (EU);140;176;25,7
Alicante/Alacant;7.-DAÑOS;3118;2972;-4,7
Alicante/Alacant;8.-HURTOS;7041;7306;3,8
Castellón/Castelló;1.-DELITOS Y FALTAS (EU);7174;7134;-0,6
Castellón/Castelló;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;3;0
Castellón/Castelló;3.-DELINCUENCIA VIOLENTA (EU);243;212;-12,8
Castellón/Castelló;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);184;166;-9,8
Castellón/Castelló;4.-ROBOS CON FUERZA;2064;2130;3,2
Castellón/Castelló;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);774;906;17,1
Castellón/Castelló;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);146;125;-14,4
Castellón/Castelló;6.-TRÁFICO DE DROGAS (EU);23;18;-21,7
Castellón/Castelló;7.-DAÑOS;965;915;-5,2
Castellón/Castelló;8.-HURTOS;2003;1981;-1,1
Valencia/València;1.-DELITOS Y FALTAS (EU);35392;33820;-4,4
Valencia/València;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);11;4;-63,6
Valencia/València;3.-DELINCUENCIA VIOLENTA (EU);1856;1826;-1,6
Valencia/València;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1613;1599;-0,9
Valencia/València;4.-ROBOS CON FUERZA;7773;7146;-8,1
Valencia/València;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3077;2814;-8,5
Valencia/València;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);651;661;1,5
Valencia/València;6.-TRÁFICO DE DROGAS (EU);180;167;-7,2
Valencia/València;7.-DAÑOS;5147;4601;-10,6
Valencia/València;8.-HURTOS;10952;11068;1,1
COMUNITAT VALENCIANA;1.-DELITOS Y FALTAS (EU);67170;65109;-3,1
COMUNITAT VALENCIANA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);16;10;-37,5
COMUNITAT VALENCIANA;3.-DELINCUENCIA VIOLENTA (EU);2930;2884;-1,6
COMUNITAT VALENCIANA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2460;2443;-0,7
COMUNITAT VALENCIANA;4.-ROBOS CON FUERZA;15557;14775;-5
COMUNITAT VALENCIANA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);6609;6714;1,6
COMUNITAT VALENCIANA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1545;1392;-9,9
COMUNITAT VALENCIANA;6.-TRÁFICO DE DROGAS (EU);343;361;5,2
COMUNITAT VALENCIANA;7.-DAÑOS;9230;8488;-8
COMUNITAT VALENCIANA;8.-HURTOS;19996;20355;1,8
Badajoz;1.-DELITOS Y FALTAS (EU);4953;5438;9,8
Badajoz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);10;3;-70
Badajoz;3.-DELINCUENCIA VIOLENTA (EU);93;146;57
Badajoz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);63;97;54
Badajoz;4.-ROBOS CON FUERZA;958;995;3,9
Badajoz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);256;281;9,8
Badajoz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);69;68;-1,4
Badajoz;6.-TRÁFICO DE DROGAS (EU);37;50;35,1
Badajoz;7.-DAÑOS;588;592;0,7
Badajoz;8.-HURTOS;1435;1784;24,3
Cáceres;1.-DELITOS Y FALTAS (EU);2294;2252;-1,8
Cáceres;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100
Cáceres;3.-DELINCUENCIA VIOLENTA (EU);52;49;-5,8
Cáceres;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);24;22;-8,3
Cáceres;4.-ROBOS CON FUERZA;468;434;-7,3
Cáceres;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);109;129;18,3
Cáceres;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);36;40;11,1
Cáceres;6.-TRÁFICO DE DROGAS (EU);14;15;7,1
Cáceres;7.-DAÑOS;302;284;-6
Cáceres;8.-HURTOS;705;708;0,4
EXTREMADURA;1.-DELITOS Y FALTAS (EU);7247;7690;6,1
EXTREMADURA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);11;5;-54,5
EXTREMADURA;3.-DELINCUENCIA VIOLENTA (EU);145;195;34,5
EXTREMADURA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);87;119;36,8
EXTREMADURA;4.-ROBOS CON FUERZA;1426;1429;0,2
EXTREMADURA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);365;410;12,3
EXTREMADURA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);105;108;2,9
EXTREMADURA;6.-TRÁFICO DE DROGAS (EU);51;65;27,5
EXTREMADURA;7.-DAÑOS;890;876;-1,6
EXTREMADURA;8.-HURTOS;2140;2492;16,4
Coruña (A);1.-DELITOS Y FALTAS (EU);8156;7982;-2,1
Coruña (A);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;3;50
Coruña (A);3.-DELINCUENCIA VIOLENTA (EU);289;257;-11,1
Coruña (A);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);164;172;4,9
Coruña (A);4.-ROBOS CON FUERZA;1116;1274;14,2
Coruña (A);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);306;414;35,3
Coruña (A);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);173;185;6,9
Coruña (A);6.-TRÁFICO DE DROGAS (EU);29;20;-31
Coruña (A);7.-DAÑOS;1227;1074;-12,5
Coruña (A);8.-HURTOS;2367;2378;0,5
Lugo;1.-DELITOS Y FALTAS (EU);1921;1807;-5,9
Lugo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50
Lugo;3.-DELINCUENCIA VIOLENTA (EU);53;62;17
Lugo;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);24;33;37,5
Lugo;4.-ROBOS CON FUERZA;332;350;5,4
Lugo;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);107;120;12,1
Lugo;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);28;22;-21,4
Lugo;6.-TRÁFICO DE DROGAS (EU);8;12;50
Lugo;7.-DAÑOS;251;224;-10,8
Lugo;8.-HURTOS;490;479;-2,2
Ourense;1.-DELITOS Y FALTAS (EU);2057;2394;16,4
Ourense;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Ourense;3.-DELINCUENCIA VIOLENTA (EU);61;82;34,4
Ourense;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);42;53;26,2
Ourense;4.-ROBOS CON FUERZA;301;432;43,5
Ourense;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);95;156;64,2
Ourense;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);29;38;31
Ourense;6.-TRÁFICO DE DROGAS (EU);8;5;-37,5
Ourense;7.-DAÑOS;259;296;14,3
Ourense;8.-HURTOS;583;797;36,7
Pontevedra;1.-DELITOS Y FALTAS (EU);7512;7613;1,3
Pontevedra;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100
Pontevedra;3.-DELINCUENCIA VIOLENTA (EU);251;256;2
Pontevedra;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);118;135;14,4
Pontevedra;4.-ROBOS CON FUERZA;1086;1319;21,5
Pontevedra;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);335;428;27,8
Pontevedra;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);177;184;4
Pontevedra;6.-TRÁFICO DE DROGAS (EU);59;29;-50,8
Pontevedra;7.-DAÑOS;1070;1031;-3,6
Pontevedra;8.-HURTOS;1967;2048;4,1
GALICIA;1.-DELITOS Y FALTAS (EU);19646;19796;0,8
GALICIA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;6;20
GALICIA;3.-DELINCUENCIA VIOLENTA (EU);654;657;0,5
GALICIA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);348;393;12,9
GALICIA;4.-ROBOS CON FUERZA;2835;3375;19
GALICIA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);843;1118;32,6
GALICIA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);407;429;5,4
GALICIA;6.-TRÁFICO DE DROGAS (EU);104;66;-36,5
GALICIA;7.-DAÑOS;2807;2625;-6,5
GALICIA;8.-HURTOS;5407;5702;5,5
MADRID (COMUNIDAD DE);1.-DELITOS Y FALTAS (EU);100372;97556;-2,8
MADRID (COMUNIDAD DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;9;80
MADRID (COMUNIDAD DE);3.-DELINCUENCIA VIOLENTA (EU);6356;6489;2,1
MADRID (COMUNIDAD DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);5796;5985;3,3
MADRID (COMUNIDAD DE);4.-ROBOS CON FUERZA;16730;15526;-7,2
MADRID (COMUNIDAD DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3558;4020;13
MADRID (COMUNIDAD DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);3420;3397;-0,7
MADRID (COMUNIDAD DE);6.-TRÁFICO DE DROGAS (EU);577;473;-18
MADRID (COMUNIDAD DE);7.-DAÑOS;12628;11699;-7,4
MADRID (COMUNIDAD DE);8.-HURTOS;38596;38575;-0,1
MURCIA (REGION DE);1.-DELITOS Y FALTAS (EU);14066;14349;2
MURCIA (REGION DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;1;-66,7
MURCIA (REGION DE);3.-DELINCUENCIA VIOLENTA (EU);510;559;9,6
MURCIA (REGION DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);387;433;11,9
MURCIA (REGION DE);4.-ROBOS CON FUERZA;3432;3615;5,3
MURCIA (REGION DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1475;1629;10,4
MURCIA (REGION DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);411;409;-0,5
MURCIA (REGION DE);6.-TRÁFICO DE DROGAS (EU);74;69;-6,8
MURCIA (REGION DE);7.-DAÑOS;1417;1311;-7,5
MURCIA (REGION DE);8.-HURTOS;3949;4439;12,4
NAVARRA (COMUNIDAD FORAL DE);1.-DELITOS Y FALTAS (EU);5116;5013;-2
NAVARRA (COMUNIDAD FORAL DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0
NAVARRA (COMUNIDAD FORAL DE);3.-DELINCUENCIA VIOLENTA (EU);147;184;25,2
NAVARRA (COMUNIDAD FORAL DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);48;66;37,5
NAVARRA (COMUNIDAD FORAL DE);4.-ROBOS CON FUERZA;955;830;-13,1
NAVARRA (COMUNIDAD FORAL DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);289;256;-11,4
NAVARRA (COMUNIDAD FORAL DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);52;61;17,3
NAVARRA (COMUNIDAD FORAL DE);6.-TRÁFICO DE DROGAS (EU);20;28;40
NAVARRA (COMUNIDAD FORAL DE);7.-DAÑOS;748;685;-8,4
NAVARRA (COMUNIDAD FORAL DE);8.-HURTOS;1293;1449;12,1
Araba/Álava;1.-DELITOS Y FALTAS (EU);3487;3466;-0,6
Araba/Álava;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Araba/Álava;3.-DELINCUENCIA VIOLENTA (EU);138;125;-9,4
Araba/Álava;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);102;90;-11,8
Araba/Álava;4.-ROBOS CON FUERZA;517;621;20,1
Araba/Álava;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);147;152;3,4
Araba/Álava;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);14;19;35,7
Araba/Álava;6.-TRÁFICO DE DROGAS (EU);13;9;-30,8
Araba/Álava;7.-DAÑOS;375;358;-4,5
Araba/Álava;8.-HURTOS;1267;1283;1,3
Gipuzkoa;1.-DELITOS Y FALTAS (EU);6058;5665;-6,5
Gipuzkoa;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Gipuzkoa;3.-DELINCUENCIA VIOLENTA (EU);189;155;-18
Gipuzkoa;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);123;80;-35
Gipuzkoa;4.-ROBOS CON FUERZA;1499;1334;-11
Gipuzkoa;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);427;355;-16,9
Gipuzkoa;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);60;48;-20
Gipuzkoa;6.-TRÁFICO DE DROGAS (EU);37;33;-10,8
Gipuzkoa;7.-DAÑOS;597;448;-25
Gipuzkoa;8.-HURTOS;1301;1381;6,1
Bizkaia;1.-DELITOS Y FALTAS (EU);12936;13445;3,9
Bizkaia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100
Bizkaia;3.-DELINCUENCIA VIOLENTA (EU);769;693;-9,9
Bizkaia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);606;542;-10,6
Bizkaia;4.-ROBOS CON FUERZA;2311;2623;13,5
Bizkaia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);690;745;8
Bizkaia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);115;128;11,3
Bizkaia;6.-TRÁFICO DE DROGAS (EU);69;56;-18,8
Bizkaia;7.-DAÑOS;1544;1355;-12,2
Bizkaia;8.-HURTOS;3808;4101;7,7
PAÍS VASCO;1.-DELITOS Y FALTAS (EU);22481;22576;0,4
PAÍS VASCO;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100
PAÍS VASCO;3.-DELINCUENCIA VIOLENTA (EU);1096;973;-11,2
PAÍS VASCO;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);831;712;-14,3
PAÍS VASCO;4.-ROBOS CON FUERZA;4327;4578;5,8
PAÍS VASCO;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1264;1252;-0,9
PAÍS VASCO;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);189;195;3,2
PAÍS VASCO;6.-TRÁFICO DE DROGAS (EU);119;98;-17,6
PAÍS VASCO;7.-DAÑOS;2516;2161;-14,1
PAÍS VASCO;8.-HURTOS;6376;6765;6,1
RIOJA (LA);1.-DELITOS Y FALTAS (EU);2402;2293;-4,5
RIOJA (LA);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
RIOJA (LA);3.-DELINCUENCIA VIOLENTA (EU);85;94;10,6
RIOJA (LA);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);43;52;20,9
RIOJA (LA);4.-ROBOS CON FUERZA;475;564;18,7
RIOJA (LA);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);151;201;33,1
RIOJA (LA);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);24;24;0
RIOJA (LA);6.-TRÁFICO DE DROGAS (EU);17;17;0
RIOJA (LA);7.-DAÑOS;284;281;-1,1
RIOJA (LA);8.-HURTOS;726;674;-7,2
CIUDAD AUTÓNOMA DE CEUTA;1.-DELITOS Y FALTAS (EU);1869;1562;-16,4
CIUDAD AUTÓNOMA DE CEUTA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
CIUDAD AUTÓNOMA DE CEUTA;3.-DELINCUENCIA VIOLENTA (EU);60;60;0
CIUDAD AUTÓNOMA DE CEUTA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);50;52;4
CIUDAD AUTÓNOMA DE CEUTA;4.-ROBOS CON FUERZA;177;175;-1,1
CIUDAD AUTÓNOMA DE CEUTA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);27;27;0
CIUDAD AUTÓNOMA DE CEUTA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);110;127;15,5
CIUDAD AUTÓNOMA DE CEUTA;6.-TRÁFICO DE DROGAS (EU);483;300;-37,9
CIUDAD AUTÓNOMA DE CEUTA;7.-DAÑOS;143;118;-17,5
CIUDAD AUTÓNOMA DE CEUTA;8.-HURTOS;276;300;8,7
CIUDAD AUTÓNOMA DE MELILLA;1.-DELITOS Y FALTAS (EU);1115;1142;2,4
CIUDAD AUTÓNOMA DE MELILLA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
CIUDAD AUTÓNOMA DE MELILLA;3.-DELINCUENCIA VIOLENTA (EU);76;91;19,7
CIUDAD AUTÓNOMA DE MELILLA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);56;67;19,6
CIUDAD AUTÓNOMA DE MELILLA;4.-ROBOS CON FUERZA;143;201;40,6
CIUDAD AUTÓNOMA DE MELILLA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);20;18;-10
CIUDAD AUTÓNOMA DE MELILLA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);52;64;23,1
CIUDAD AUTÓNOMA DE MELILLA;6.-TRÁFICO DE DROGAS (EU);39;41;5,1
CIUDAD AUTÓNOMA DE MELILLA;7.-DAÑOS;86;86;0
CIUDAD AUTÓNOMA DE MELILLA;8.-HURTOS;284;301;6
EXTRANJERA;1.-DELITOS Y FALTAS (EU);4064;4087;0,6
EXTRANJERA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
EXTRANJERA;3.-DELINCUENCIA VIOLENTA (EU);40;64;60
EXTRANJERA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);39;60;53,8
EXTRANJERA;4.-ROBOS CON FUERZA;79;55;-30,4
EXTRANJERA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);7;5;-28,6
EXTRANJERA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);41;22;-46,3
EXTRANJERA;6.-TRÁFICO DE DROGAS (EU);0;1;100
EXTRANJERA;7.-DAÑOS;9;8;-11,1
EXTRANJERA;8.-HURTOS;575;496;-13,7
DESCONOCIDA;1.-DELITOS Y FALTAS (EU);0;0;0
DESCONOCIDA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
DESCONOCIDA;3.-DELINCUENCIA VIOLENTA (EU);0;0;0
DESCONOCIDA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);0;0;0
DESCONOCIDA;4.-ROBOS CON FUERZA;0;0;0
DESCONOCIDA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);0;0;0
DESCONOCIDA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);0;0;0
DESCONOCIDA;6.-TRÁFICO DE DROGAS (EU);0;0;0
DESCONOCIDA;7.-DAÑOS;0;0;0
DESCONOCIDA;8.-HURTOS;0;0;0
NACIONAL;1.-DELITOS Y FALTAS (EU);550877;537223;-2,5
NACIONAL;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);106;78;-26,4
NACIONAL;3.-DELINCUENCIA VIOLENTA (EU);27016;27235;0,8
NACIONAL;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);22273;22708;2
NACIONAL;4.-ROBOS CON FUERZA;103055;101874;-1,1
NACIONAL;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);31848;33782;6,1
NACIONAL;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);13627;12938;-5,1
NACIONAL;6.-TRÁFICO DE DROGAS (EU);3583;3218;-10,2
NACIONAL;7.-DAÑOS;64409;59000;-8,4
NACIONAL;8.-HURTOS;183165;182997;-0,1
