TERRITORIO;TIPOLOGÍA PENAL;2012_ene_mar;2013_ene_mar;var_porc_13s12
Sevilla;3.-DELINCUENCIA VIOLENTA (EU);962;908;-5,6
Sevilla;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);810;756;-6,7
Sevilla;4.-ROBOS CON FUERZA;5003;4711;-5,8
Sevilla;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1228;1027;-16,4
Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);665;555;-16,5
Sevilla;6.-TRÁFICO DE DROGAS (EU);96;86;-10,4
Sevilla;7.-DAÑOS;2421;2138;-11,7
Sevilla;8.-HURTOS;8846;8305;-6,1
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);98038;93015;-5,1
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);23;14;-39,1
ANDALUCÍA;3.-DELINCUENCIA VIOLENTA (EU);3609;3518;-2,5
ANDALUCÍA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2796;2713;-3
ANDALUCÍA;4.-ROBOS CON FUERZA;17965;18187;1,2
ANDALUCÍA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);5490;5848;6,5
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2734;2340;-14,4
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);817;729;-10,8
ANDALUCÍA;7.-DAÑOS;11236;9663;-14
ANDALUCÍA;8.-HURTOS;32515;31041;-4,5
Huesca;1.-DELITOS Y FALTAS (EU);1415;1385;-2,1
Huesca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Huesca;3.-DELINCUENCIA VIOLENTA (EU);36;34;-5,6
Huesca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);21;20;-4,8
Huesca;4.-ROBOS CON FUERZA;248;235;-5,2
Huesca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);60;69;15
Huesca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);17;13;-23,5
Huesca;6.-TRÁFICO DE DROGAS (EU);6;15;150
Huesca;7.-DAÑOS;236;208;-11,9
Huesca;8.-HURTOS;421;424;0,7
Teruel;1.-DELITOS Y FALTAS (EU);779;754;-3,2
Teruel;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Teruel;3.-DELINCUENCIA VIOLENTA (EU);15;18;20
Teruel;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);3;11;266,7
Teruel;4.-ROBOS CON FUERZA;198;179;-9,6
Teruel;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);85;47;-44,7
Teruel;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);10;13;30
Teruel;6.-TRÁFICO DE DROGAS (EU);1;6;500
Teruel;7.-DAÑOS;136;98;-27,9
Teruel;8.-HURTOS;181;188;3,9
Zaragoza;1.-DELITOS Y FALTAS (EU);9770;9015;-7,7
Zaragoza;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50
Zaragoza;3.-DELINCUENCIA VIOLENTA (EU);437;456;4,3
Zaragoza;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);342;351;2,6
Zaragoza;4.-ROBOS CON FUERZA;1601;1573;-1,7
Zaragoza;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);487;469;-3,7
Zaragoza;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);96;129;34,4
Zaragoza;6.-TRÁFICO DE DROGAS (EU);57;51;-10,5
Zaragoza;7.-DAÑOS;1409;1219;-13,5
Zaragoza;8.-HURTOS;3732;3139;-15,9
