TERRITORIO;TIPOLOGÍA PENAL;2014;2015;Var. % 15/14
ANDALUCÍA;1.-DELITOS Y FALTAS;267017;257994;-3,4
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);59;48;-18,6
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);6269;5504;-12,2
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);14930;13587;-9
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);6172;6698;8,5
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);2632;2469;-6,2
ANDALUCÍA;7.-DAÑOS;26227;25529;-2,7
ANDALUCÍA;8.-HURTOS;88117;84454;-4,2
Provincia de Almería;1.-DELITOS Y FALTAS;23817;23611;-0,9
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;4;-42,9
Provincia de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);642;514;-19,9
Provincia de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2208;1974;-10,6
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);496;510;2,8
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);173;187;8,1
Provincia de Almería;7.-DAÑOS;2684;2734;1,9
Provincia de Almería;8.-HURTOS;6620;6509;-1,7
Municipio de Almería;1.-DELITOS Y FALTAS;7459;7102;-4,8
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);296;239;-19,3
Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);437;424;-3
Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);178;210;18
Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);46;50;8,7
Municipio de Almería;7.-DAÑOS;857;802;-6,4
Municipio de Almería;8.-HURTOS;2359;2239;-5,1
Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS;4355;4452;2,2
Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Roquetas de Mar;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);141;103;-27
Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);457;406;-11,2
Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);73;73;0
Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);24;37;54,2
Municipio de Roquetas de Mar;7.-DAÑOS;435;454;4,4
Municipio de Roquetas de Mar;8.-HURTOS;1342;1401;4,4
Municipio de Ejido (El);1.-DELITOS Y FALTAS;2620;2908;11
Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50
Municipio de Ejido (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);65;66;1,5
Municipio de Ejido (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);243;162;-33,3
Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);56;47;-16,1
Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);17;12;-29,4
Municipio de Ejido (El);7.-DAÑOS;248;369;48,8
Municipio de Ejido (El);8.-HURTOS;609;717;17,7
Provincia de Cádiz;1.-DELITOS Y FALTAS;42598;41390;-2,8
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);12;8;-33,3
Provincia de Cádiz;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);729;723;-0,8
Provincia de Cádiz;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2176;1826;-16,1
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1215;1363;12,2
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);872;760;-12,8
Provincia de Cádiz;7.-DAÑOS;4519;4442;-1,7
Provincia de Cádiz;8.-HURTOS;13857;13315;-3,9
Municipio de Algeciras;1.-DELITOS Y FALTAS;4784;4382;-8,4
Municipio de Algeciras;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Algeciras;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);82;73;-11
Municipio de Algeciras;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);217;159;-26,7
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);122;142;16,4
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);433;373;-13,9
Municipio de Algeciras;7.-DAÑOS;518;423;-18,3
Municipio de Algeciras;8.-HURTOS;1327;1093;-17,6
Municipio de Cádiz;1.-DELITOS Y FALTAS;4634;4706;1,6
Municipio de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Cádiz;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);80;71;-11,3
Municipio de Cádiz;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);49;54;10,2
Municipio de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);271;201;-25,8
Municipio de Cádiz;6.-TRÁFICO DE DROGAS (EU);63;61;-3,2
Municipio de Cádiz;7.-DAÑOS;375;377;0,5
Municipio de Cádiz;8.-HURTOS;1884;1998;6,1
Municipio de Chiclana de la Frontera;1.-DELITOS Y FALTAS;2888;2393;-17,1
Municipio de Chiclana de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0
Municipio de Chiclana de la Frontera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);38;39;2,6
Municipio de Chiclana de la Frontera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);429;378;-11,9
Municipio de Chiclana de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);69;46;-33,3
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);44;16;-63,6
Municipio de Chiclana de la Frontera;7.-DAÑOS;307;281;-8,5
Municipio de Chiclana de la Frontera;8.-HURTOS;843;603;-28,5
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS;8205;8268;0,8
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100
Municipio de Jerez de la Frontera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);215;191;-11,2
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);283;201;-29
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);165;264;60
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);33;27;-18,2
Municipio de Jerez de la Frontera;7.-DAÑOS;831;865;4,1
Municipio de Jerez de la Frontera;8.-HURTOS;3048;3033;-0,5
Municipio de Línea de la Concepción (La);1.-DELITOS Y FALTAS;2450;2455;0,2
Municipio de Línea de la Concepción (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0
Municipio de Línea de la Concepción (La);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);67;63;-6
Municipio de Línea de la Concepción (La);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);63;85;34,9
Municipio de Línea de la Concepción (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);101;92;-8,9
Municipio de Línea de la Concepción (La);6.-TRÁFICO DE DROGAS (EU);35;49;40
Municipio de Línea de la Concepción (La);7.-DAÑOS;313;274;-12,5
Municipio de Línea de la Concepción (La);8.-HURTOS;495;558;12,7
Municipio de Puerto de Santa María (El);1.-DELITOS Y FALTAS;3545;3298;-7
Municipio de Puerto de Santa María (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Municipio de Puerto de Santa María (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);64;57;-10,9
Municipio de Puerto de Santa María (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);144;94;-34,7
Municipio de Puerto de Santa María (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);79;91;15,2
Municipio de Puerto de Santa María (El);6.-TRÁFICO DE DROGAS (EU);28;36;28,6
Municipio de Puerto de Santa María (El);7.-DAÑOS;505;470;-6,9
Municipio de Puerto de Santa María (El);8.-HURTOS;1261;1220;-3,3
Municipio de San Fernando;1.-DELITOS Y FALTAS;2567;2574;0,3
Municipio de San Fernando;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de San Fernando;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);30;29;-3,3
Municipio de San Fernando;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);57;54;-5,3
Municipio de San Fernando;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);71;113;59,2
Municipio de San Fernando;6.-TRÁFICO DE DROGAS (EU);9;19;111,1
Municipio de San Fernando;7.-DAÑOS;251;302;20,3
Municipio de San Fernando;8.-HURTOS;1015;940;-7,4
Municipio de Sanlúcar de Barrameda;1.-DELITOS Y FALTAS;2080;1930;-7,2
Municipio de Sanlúcar de Barrameda;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Sanlúcar de Barrameda;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);53;57;7,5
Municipio de Sanlúcar de Barrameda;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);143;87;-39,2
Municipio de Sanlúcar de Barrameda;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);102;97;-4,9
Municipio de Sanlúcar de Barrameda;6.-TRÁFICO DE DROGAS (EU);22;5;-77,3
Municipio de Sanlúcar de Barrameda;7.-DAÑOS;244;236;-3,3
Municipio de Sanlúcar de Barrameda;8.-HURTOS;744;717;-3,6
Provincia de Córdoba;1.-DELITOS Y FALTAS;20473;19583;-4,3
Provincia de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;2;-33,3
Provincia de Córdoba;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);432;388;-10,2
Provincia de Córdoba;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);987;880;-10,8
Provincia de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);253;290;14,6
Provincia de Córdoba;6.-TRÁFICO DE DROGAS (EU);142;94;-33,8
Provincia de Córdoba;7.-DAÑOS;2047;1981;-3,2
Provincia de Córdoba;8.-HURTOS;6323;6173;-2,4
Municipio de Córdoba;1.-DELITOS Y FALTAS;12074;11634;-3,6
Municipio de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50
Municipio de Córdoba;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);346;305;-11,8
Municipio de Córdoba;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);454;349;-23,1
Municipio de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);164;185;12,8
Municipio de Córdoba;6.-TRÁFICO DE DROGAS (EU);85;47;-44,7
Municipio de Córdoba;7.-DAÑOS;1162;1144;-1,5
Municipio de Córdoba;8.-HURTOS;4191;4093;-2,3
Provincia de Granada;1.-DELITOS Y FALTAS;25600;24620;-3,8
Provincia de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;5;-28,6
Provincia de Granada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);663;559;-15,7
Provincia de Granada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1601;1473;-8
Provincia de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);596;628;5,4
Provincia de Granada;6.-TRÁFICO DE DROGAS (EU);310;380;22,6
Provincia de Granada;7.-DAÑOS;2920;2626;-10,1
Provincia de Granada;8.-HURTOS;8106;7683;-5,2
Municipio de Granada;1.-DELITOS Y FALTAS;9923;9369;-5,6
Municipio de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Granada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);459;310;-32,5
Municipio de Granada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);329;323;-1,8
Municipio de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);249;271;8,8
Municipio de Granada;6.-TRÁFICO DE DROGAS (EU);90;103;14,4
Municipio de Granada;7.-DAÑOS;951;818;-14
Municipio de Granada;8.-HURTOS;4027;3797;-5,7
Municipio de Motril;1.-DELITOS Y FALTAS;2009;2003;-0,3
Municipio de Motril;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Motril;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);32;39;21,9
Municipio de Motril;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);137;73;-46,7
