TERRITORIO;TIPOLOGÍA PENAL;2012_ene_sept;2013_ene_sept;var_porc_13s12
CASTILLA - LA MANCHA;1.-DELITOS Y FALTAS (EU);55950;56064;0,2
CASTILLA - LA MANCHA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);12;12;0,0
CASTILLA - LA MANCHA;3.-DELINCUENCIA VIOLENTA (EU);1593;1546;-3,0
CASTILLA - LA MANCHA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1068;1050;-1,7
CASTILLA - LA MANCHA;4.-ROBOS CON FUERZA;13412;14302;6,6
CASTILLA - LA MANCHA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);4937;5374;8,9
CASTILLA - LA MANCHA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1119;950;-15,1
CASTILLA - LA MANCHA;6.-TRÁFICO DE DROGAS (EU);322;368;14,3
CASTILLA - LA MANCHA;7.-DAÑOS;6705;6456;-3,7
CASTILLA - LA MANCHA;8.-HURTOS;14009;14441;3,1
Barcelona;1.-DELITOS Y FALTAS (EU);260276;247921;-4,7
Barcelona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);38;20;-47,4
Barcelona;3.-DELINCUENCIA VIOLENTA (EU);23342;21632;-7,3
Barcelona;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);21138;19595;-7,3
Barcelona;4.-ROBOS CON FUERZA;41826;39589;-5,3
Barcelona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);10624;10896;2,6
Barcelona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);6936;6705;-3,3
Barcelona;6.-TRÁFICO DE DROGAS (EU);1004;958;-4,6
Barcelona;7.-DAÑOS;22180;21241;-4,2
Barcelona;8.-HURTOS;111579;103951;-6,8
Girona;1.-DELITOS Y FALTAS (EU);33617;32869;-2,2
Girona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);11;1;-90,9
Girona;3.-DELINCUENCIA VIOLENTA (EU);1155;1223;5,9
Girona;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);799;896;12,1
Girona;4.-ROBOS CON FUERZA;8207;7445;-9,3
Girona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2789;2605;-6,6
Girona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);633;591;-6,6
Girona;6.-TRÁFICO DE DROGAS (EU);319;376;17,9
Girona;7.-DAÑOS;3349;3360;0,3
Girona;8.-HURTOS;11147;11065;-0,7
Lleida;1.-DELITOS Y FALTAS (EU);15835;15528;-1,9
Lleida;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;4;100,0
Lleida;3.-DELINCUENCIA VIOLENTA (EU);689;602;-12,6
Lleida;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);500;447;-10,6
Lleida;4.-ROBOS CON FUERZA;3805;3854;1,3
Lleida;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);656;759;15,7
Lleida;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);211;168;-20,4
Lleida;6.-TRÁFICO DE DROGAS (EU);94;91;-3,2
Lleida;7.-DAÑOS;1928;1827;-5,2
Lleida;8.-HURTOS;4376;4411;0,8
Tarragona;1.-DELITOS Y FALTAS (EU);35036;33858;-3,4
Tarragona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);9;3;-66,7
Tarragona;3.-DELINCUENCIA VIOLENTA (EU);1490;1439;-3,4
Tarragona;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1235;1168;-5,4
Tarragona;4.-ROBOS CON FUERZA;8912;9439;5,9
Tarragona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3272;3524;7,7
Tarragona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);562;403;-28,3
Tarragona;6.-TRÁFICO DE DROGAS (EU);168;180;7,1
Tarragona;7.-DAÑOS;3493;3284;-6,0
Tarragona;8.-HURTOS;10241;9416;-8,1
CATALUÑA;1.-DELITOS Y FALTAS (EU);344764;330176;-4,2
CATALUÑA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);58;28;-51,7
CATALUÑA;3.-DELINCUENCIA VIOLENTA (EU);26676;24896;-6,7
CATALUÑA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);23672;22106;-6,6
CATALUÑA;4.-ROBOS CON FUERZA;62750;60327;-3,9
CATALUÑA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);17341;17784;2,6
CATALUÑA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);8342;7867;-5,7
CATALUÑA;6.-TRÁFICO DE DROGAS (EU);1585;1605;1,3
CATALUÑA;7.-DAÑOS;30950;29712;-4,0
CATALUÑA;8.-HURTOS;137343;128843;-6,2
Alicante/Alacant;1.-DELITOS Y FALTAS (EU);82753;78346;-5,3
Alicante/Alacant;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);12;7;-41,7
Alicante/Alacant;3.-DELINCUENCIA VIOLENTA (EU);2965;2685;-9,4
Alicante/Alacant;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2335;2067;-11,5
Alicante/Alacant;4.-ROBOS CON FUERZA;17361;16054;-7,5
Alicante/Alacant;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);7887;8001;1,4
Alicante/Alacant;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2164;1736;-19,8
Alicante/Alacant;6.-TRÁFICO DE DROGAS (EU);489;614;25,6
Alicante/Alacant;7.-DAÑOS;9518;8693;-8,7
Alicante/Alacant;8.-HURTOS;26917;26418;-1,9
Castellón/Castelló;1.-DELITOS Y FALTAS (EU);21972;21903;-0,3
Castellón/Castelló;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;3;0,0
Castellón/Castelló;3.-DELINCUENCIA VIOLENTA (EU);746;749;0,4
Castellón/Castelló;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);556;556;0,0
Castellón/Castelló;4.-ROBOS CON FUERZA;5558;5588;0,5
Castellón/Castelló;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2200;2381;8,2
Castellón/Castelló;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);407;329;-19,2
Castellón/Castelló;6.-TRÁFICO DE DROGAS (EU);93;127;36,6
Castellón/Castelló;7.-DAÑOS;2800;2726;-2,6
Castellón/Castelló;8.-HURTOS;6847;6699;-2,2
Valencia/València;1.-DELITOS Y FALTAS (EU);107007;100162;-6,4
Valencia/València;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);24;14;-41,7
Valencia/València;3.-DELINCUENCIA VIOLENTA (EU);5996;5392;-10,1
Valencia/València;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);5225;4562;-12,7
Valencia/València;4.-ROBOS CON FUERZA;22288;19782;-11,2
Valencia/València;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);8820;7710;-12,6
Valencia/València;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2000;1779;-11,1
Valencia/València;6.-TRÁFICO DE DROGAS (EU);579;720;24,4
Valencia/València;7.-DAÑOS;14655;13050;-11,0
Valencia/València;8.-HURTOS;33754;32808;-2,8
COMUNITAT VALENCIANA;1.-DELITOS Y FALTAS (EU);211732;200411;-5,3
COMUNITAT VALENCIANA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);39;24;-38,5
COMUNITAT VALENCIANA;3.-DELINCUENCIA VIOLENTA (EU);9707;8826;-9,1
COMUNITAT VALENCIANA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);8116;7185;-11,5
COMUNITAT VALENCIANA;4.-ROBOS CON FUERZA;45207;41424;-8,4
COMUNITAT VALENCIANA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);18907;18092;-4,3
COMUNITAT VALENCIANA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);4571;3844;-15,9
COMUNITAT VALENCIANA;6.-TRÁFICO DE DROGAS (EU);1161;1461;25,8
COMUNITAT VALENCIANA;7.-DAÑOS;26973;24469;-9,3
COMUNITAT VALENCIANA;8.-HURTOS;67518;65925;-2,4
Badajoz;1.-DELITOS Y FALTAS (EU);14863;15495;4,3
Badajoz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);10;4;-60,0
Badajoz;3.-DELINCUENCIA VIOLENTA (EU);328;365;11,3
Badajoz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);217;223;2,8
Badajoz;4.-ROBOS CON FUERZA;2565;2724;6,2
Badajoz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);697;790;13,3
Badajoz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);219;206;-5,9
Badajoz;6.-TRÁFICO DE DROGAS (EU);155;156;0,6
Badajoz;7.-DAÑOS;1739;1674;-3,7
Badajoz;8.-HURTOS;4305;4941;14,8
Cáceres;1.-DELITOS Y FALTAS (EU);6867;6758;-1,6
Cáceres;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100,0
Cáceres;3.-DELINCUENCIA VIOLENTA (EU);161;148;-8,1
Cáceres;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);65;71;9,2
Cáceres;4.-ROBOS CON FUERZA;1229;1168;-5,0
Cáceres;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);304;319;4,9
Cáceres;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);87;101;16,1
Cáceres;6.-TRÁFICO DE DROGAS (EU);72;98;36,1
Cáceres;7.-DAÑOS;872;760;-12,8
Cáceres;8.-HURTOS;2106;2178;3,4
EXTREMADURA;1.-DELITOS Y FALTAS (EU);21730;22253;2,4
EXTREMADURA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);11;6;-45,5
EXTREMADURA;3.-DELINCUENCIA VIOLENTA (EU);489;513;4,9
EXTREMADURA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);282;294;4,3
EXTREMADURA;4.-ROBOS CON FUERZA;3794;3892;2,6
EXTREMADURA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1001;1109;10,8
EXTREMADURA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);306;307;0,3
EXTREMADURA;6.-TRÁFICO DE DROGAS (EU);227;254;11,9
EXTREMADURA;7.-DAÑOS;2611;2434;-6,8
EXTREMADURA;8.-HURTOS;6411;7119;11,0
Coruña (A);1.-DELITOS Y FALTAS (EU);25440;24455;-3,9
Coruña (A);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;7;75,0
Coruña (A);3.-DELINCUENCIA VIOLENTA (EU);818;726;-11,2
Coruña (A);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);474;423;-10,8
Coruña (A);4.-ROBOS CON FUERZA;3799;3840;1,1
Coruña (A);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1031;1252;21,4
Coruña (A);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);511;440;-13,9
Coruña (A);6.-TRÁFICO DE DROGAS (EU);100;100;0,0
Coruña (A);7.-DAÑOS;3691;3318;-10,1
Coruña (A);8.-HURTOS;7541;7558;0,2
Lugo;1.-DELITOS Y FALTAS (EU);5996;5845;-2,5
Lugo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;1;-66,7
Lugo;3.-DELINCUENCIA VIOLENTA (EU);198;180;-9,1
Lugo;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);97;85;-12,4
Lugo;4.-ROBOS CON FUERZA;990;1072;8,3
Lugo;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);326;370;13,5
Lugo;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);78;71;-9,0
Lugo;6.-TRÁFICO DE DROGAS (EU);30;42;40,0
Lugo;7.-DAÑOS;837;803;-4,1
Lugo;8.-HURTOS;1532;1546;0,9
Ourense;1.-DELITOS Y FALTAS (EU);6436;7088;10,1
Ourense;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50,0
Ourense;3.-DELINCUENCIA VIOLENTA (EU);176;179;1,7
Ourense;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);119;119;0,0
Ourense;4.-ROBOS CON FUERZA;1066;1306;22,5
Ourense;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);343;496;44,6
Ourense;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);95;87;-8,4
Ourense;6.-TRÁFICO DE DROGAS (EU);24;33;37,5
Ourense;7.-DAÑOS;866;891;2,9
Ourense;8.-HURTOS;1763;2246;27,4
Pontevedra;1.-DELITOS Y FALTAS (EU);24263;24733;1,9
Pontevedra;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;4;-20,0
Pontevedra;3.-DELINCUENCIA VIOLENTA (EU);847;779;-8,0
Pontevedra;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);407;410;0,7
Pontevedra;4.-ROBOS CON FUERZA;3728;4067;9,1
Pontevedra;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1001;1307;30,6
Pontevedra;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);575;519;-9,7
Pontevedra;6.-TRÁFICO DE DROGAS (EU);184;137;-25,5
Pontevedra;7.-DAÑOS;3292;3264;-0,9
Pontevedra;8.-HURTOS;6700;7161;6,9
GALICIA;1.-DELITOS Y FALTAS (EU);62135;62121;0,0
GALICIA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);14;13;-7,1
GALICIA;3.-DELINCUENCIA VIOLENTA (EU);2039;1864;-8,6
GALICIA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1097;1037;-5,5
GALICIA;4.-ROBOS CON FUERZA;9583;10285;7,3
GALICIA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2701;3425;26,8
GALICIA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1259;1117;-11,3
GALICIA;6.-TRÁFICO DE DROGAS (EU);338;312;-7,7
GALICIA;7.-DAÑOS;8686;8276;-4,7
GALICIA;8.-HURTOS;17536;18511;5,6
MADRID (COMUNIDAD DE);1.-DELITOS Y FALTAS (EU);289698;284583;-1,8
MADRID (COMUNIDAD DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);33;28;-15,2
MADRID (COMUNIDAD DE);3.-DELINCUENCIA VIOLENTA (EU);19843;18438;-7,1
MADRID (COMUNIDAD DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);18072;16760;-7,3
MADRID (COMUNIDAD DE);4.-ROBOS CON FUERZA;46501;44382;-4,6
MADRID (COMUNIDAD DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);10264;11731;14,3
MADRID (COMUNIDAD DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);9873;9391;-4,9
MADRID (COMUNIDAD DE);6.-TRÁFICO DE DROGAS (EU);1462;1338;-8,5
MADRID (COMUNIDAD DE);7.-DAÑOS;35642;33273;-6,6
MADRID (COMUNIDAD DE);8.-HURTOS;110313;112942;2,4
MURCIA (REGIÓN DE);1.-DELITOS Y FALTAS (EU);42990;41827;-2,7
MURCIA (REGIÓN DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;5;-28,6
MURCIA (REGIÓN DE);3.-DELINCUENCIA VIOLENTA (EU);1726;1749;1,3
MURCIA (REGIÓN DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1298;1296;-0,2
MURCIA (REGIÓN DE);4.-ROBOS CON FUERZA;9641;9744;1,1
MURCIA (REGIÓN DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);4104;4444;8,3
MURCIA (REGIÓN DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1184;1104;-6,8
MURCIA (REGIÓN DE);6.-TRÁFICO DE DROGAS (EU);241;249;3,3
MURCIA (REGIÓN DE);7.-DAÑOS;4013;3598;-10,3
MURCIA (REGIÓN DE);8.-HURTOS;12487;13299;6,5
NAVARRA (COMUNIDAD FORAL DE);1.-DELITOS Y FALTAS (EU);16637;15363;-7,7
NAVARRA (COMUNIDAD FORAL DE);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;3;50,0
NAVARRA (COMUNIDAD FORAL DE);3.-DELINCUENCIA VIOLENTA (EU);591;493;-16,6
NAVARRA (COMUNIDAD FORAL DE);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);233;228;-2,1
NAVARRA (COMUNIDAD FORAL DE);4.-ROBOS CON FUERZA;2765;2148;-22,3
NAVARRA (COMUNIDAD FORAL DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);827;662;-20,0
NAVARRA (COMUNIDAD FORAL DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);144;178;23,6
NAVARRA (COMUNIDAD FORAL DE);6.-TRÁFICO DE DROGAS (EU);85;96;12,9
NAVARRA (COMUNIDAD FORAL DE);7.-DAÑOS;2236;2120;-5,2
NAVARRA (COMUNIDAD FORAL DE);8.-HURTOS;5165;5224;1,1
Araba/Álava;1.-DELITOS Y FALTAS (EU);10631;10011;-5,8
Araba/Álava;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;3;100,0
Araba/Álava;3.-DELINCUENCIA VIOLENTA (EU);441;313;-29,0
Araba/Álava;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);332;213;-35,8
Araba/Álava;4.-ROBOS CON FUERZA;1546;1596;3,2
Araba/Álava;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);397;443;11,6
Araba/Álava;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);60;64;6,7
Araba/Álava;6.-TRÁFICO DE DROGAS (EU);35;32;-8,6
Araba/Álava;7.-DAÑOS;1152;962;-16,5
Araba/Álava;8.-HURTOS;3844;3757;-2,3
Gipuzkoa;1.-DELITOS Y FALTAS (EU);18525;17902;-3,4
Gipuzkoa;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;2;-33,3
Gipuzkoa;3.-DELINCUENCIA VIOLENTA (EU);613;434;-29,2
Gipuzkoa;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);386;230;-40,4
Gipuzkoa;4.-ROBOS CON FUERZA;4406;4045;-8,2
Gipuzkoa;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1072;1260;17,5
Gipuzkoa;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);188;189;0,5
Gipuzkoa;6.-TRÁFICO DE DROGAS (EU);97;75;-22,7
Gipuzkoa;7.-DAÑOS;1699;1412;-16,9
Gipuzkoa;8.-HURTOS;4373;4494;2,8
Bizkaia;1.-DELITOS Y FALTAS (EU);40388;40687;0,7
Bizkaia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;5;-28,6
Bizkaia;3.-DELINCUENCIA VIOLENTA (EU);2815;2141;-23,9
Bizkaia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2335;1702;-27,1
Bizkaia;4.-ROBOS CON FUERZA;6778;7669;13,1
Bizkaia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2057;2434;18,3
Bizkaia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);325;315;-3,1
Bizkaia;6.-TRÁFICO DE DROGAS (EU);172;166;-3,5
Bizkaia;7.-DAÑOS;4345;3686;-15,2
Bizkaia;8.-HURTOS;12543;13395;6,8
PAÍS VASCO;1.-DELITOS Y FALTAS (EU);69544;68600;-1,4
PAÍS VASCO;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);10;10;0,0
PAÍS VASCO;3.-DELINCUENCIA VIOLENTA (EU);3869;2888;-25,4
PAÍS VASCO;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);3053;2145;-29,7
PAÍS VASCO;4.-ROBOS CON FUERZA;12730;13310;4,6
PAÍS VASCO;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3526;4137;17,3
PAÍS VASCO;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);573;568;-0,9
PAÍS VASCO;6.-TRÁFICO DE DROGAS (EU);304;273;-10,2
PAÍS VASCO;7.-DAÑOS;7196;6060;-15,8
PAÍS VASCO;8.-HURTOS;20760;21646;4,3
RIOJA (LA);1.-DELITOS Y FALTAS (EU);7591;7232;-4,7
RIOJA (LA);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
RIOJA (LA);3.-DELINCUENCIA VIOLENTA (EU);297;275;-7,4
RIOJA (LA);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);167;160;-4,2
RIOJA (LA);4.-ROBOS CON FUERZA;1388;1615;16,4
RIOJA (LA);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);433;638;47,3
RIOJA (LA);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);85;113;32,9
RIOJA (LA);6.-TRÁFICO DE DROGAS (EU);56;47;-16,1
RIOJA (LA);7.-DAÑOS;889;824;-7,3
RIOJA (LA);8.-HURTOS;2339;2204;-5,8
CIUDAD AUTÓNOMA DE CEUTA;1.-DELITOS Y FALTAS (EU);5352;4495;-16,0
CIUDAD AUTÓNOMA DE CEUTA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
CIUDAD AUTÓNOMA DE CEUTA;3.-DELINCUENCIA VIOLENTA (EU);144;202;40,3
CIUDAD AUTÓNOMA DE CEUTA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);111;169;52,3
CIUDAD AUTÓNOMA DE CEUTA;4.-ROBOS CON FUERZA;464;456;-1,7
CIUDAD AUTÓNOMA DE CEUTA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);74;65;-12,2
CIUDAD AUTÓNOMA DE CEUTA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);434;329;-24,2
CIUDAD AUTÓNOMA DE CEUTA;6.-TRÁFICO DE DROGAS (EU);1196;718;-40,0
CIUDAD AUTÓNOMA DE CEUTA;7.-DAÑOS;364;317;-12,9
CIUDAD AUTÓNOMA DE CEUTA;8.-HURTOS;938;937;-0,1
CIUDAD AUTÓNOMA DE MELILLA;1.-DELITOS Y FALTAS (EU);3494;3677;5,2
CIUDAD AUTÓNOMA DE MELILLA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100,0
CIUDAD AUTÓNOMA DE MELILLA;3.-DELINCUENCIA VIOLENTA (EU);249;337;35,3
CIUDAD AUTÓNOMA DE MELILLA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);176;230;30,7
CIUDAD AUTÓNOMA DE MELILLA;4.-ROBOS CON FUERZA;433;517;19,4
CIUDAD AUTÓNOMA DE MELILLA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);63;57;-9,5
CIUDAD AUTÓNOMA DE MELILLA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);135;161;19,3
CIUDAD AUTÓNOMA DE MELILLA;6.-TRÁFICO DE DROGAS (EU);124;163;31,5
CIUDAD AUTÓNOMA DE MELILLA;7.-DAÑOS;294;258;-12,2
CIUDAD AUTÓNOMA DE MELILLA;8.-HURTOS;929;933;0,4
EXTRANJERA;1.-DELITOS Y FALTAS (EU);12398;12313;-0,7
EXTRANJERA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
EXTRANJERA;3.-DELINCUENCIA VIOLENTA (EU);166;190;14,5
EXTRANJERA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);159;179;12,6
EXTRANJERA;4.-ROBOS CON FUERZA;268;208;-22,4
EXTRANJERA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);19;13;-31,6
EXTRANJERA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);121;72;-40,5
EXTRANJERA;6.-TRÁFICO DE DROGAS (EU);2;1;-50,0
EXTRANJERA;7.-DAÑOS;35;36;2,9
EXTRANJERA;8.-HURTOS;2074;1815;-12,5
NACIONAL;1.-DELITOS Y FALTAS (EU);1710563;1656067;-3,2
NACIONAL;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);275;242;-12,0
NACIONAL;3.-DELINCUENCIA VIOLENTA (EU);87300;81273;-6,9
NACIONAL;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);71717;66341;-7,5
NACIONAL;4.-ROBOS CON FUERZA;302404;291743;-3,5
NACIONAL;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);92926;96245;3,6
NACIONAL;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);41156;37089;-9,9
NACIONAL;6.-TRÁFICO DE DROGAS (EU);11379;11089;-2,5
NACIONAL;7.-DAÑOS;187040;172616;-7,7
NACIONAL;8.-HURTOS;595727;591405;-0,7
