Comunidad,Año,Trimestre,Tipo de delito,Denuncias
Extremadura,2014,1,Otros,6975
Galicia,2014,1,Homicidios dolosos y asesinatos consumados,5
Galicia,2014,1,Hurtos,5520
Galicia,2014,1,"Robos con fuerza, violencia o intimidación",3676
Galicia,2014,1,Sustracciones de vehículos,337
Galicia,2014,1,Tráfico de drogas,76
Galicia,2014,1,Otros,18574
Comunidad de Madrid,2014,1,Homicidios dolosos y asesinatos consumados,9
Comunidad de Madrid,2014,1,Hurtos,39126
Comunidad de Madrid,2014,1,"Robos con fuerza, violencia o intimidación",21243
Comunidad de Madrid,2014,1,Sustracciones de vehículos,2797
Comunidad de Madrid,2014,1,Tráfico de drogas,401
Comunidad de Madrid,2014,1,Otros,96620
Región de Murcia,2014,1,Homicidios dolosos y asesinatos consumados,1
Región de Murcia,2014,1,Hurtos,3765
Región de Murcia,2014,1,"Robos con fuerza, violencia o intimidación",3748
Región de Murcia,2014,1,Sustracciones de vehículos,315
Región de Murcia,2014,1,Tráfico de drogas,46
Región de Murcia,2014,1,Otros,13069
Comunidad Foral de Navarra,2014,1,Homicidios dolosos y asesinatos consumados,0
Comunidad Foral de Navarra,2014,1,Hurtos,1952
Comunidad Foral de Navarra,2014,1,"Robos con fuerza, violencia o intimidación",1108
Comunidad Foral de Navarra,2014,1,Sustracciones de vehículos,60
Comunidad Foral de Navarra,2014,1,Tráfico de drogas,36
Comunidad Foral de Navarra,2014,1,Otros,6329
País Vasco,2014,1,Homicidios dolosos y asesinatos consumados,3
País Vasco,2014,1,Hurtos,6584
País Vasco,2014,1,"Robos con fuerza, violencia o intimidación",4954
País Vasco,2014,1,Sustracciones de vehículos,173
País Vasco,2014,1,Tráfico de drogas,92
País Vasco,2014,1,Otros,21681
La Rioja,2014,1,Homicidios dolosos y asesinatos consumados,1
La Rioja,2014,1,Hurtos,707
La Rioja,2014,1,"Robos con fuerza, violencia o intimidación",580
La Rioja,2014,1,Sustracciones de vehículos,16
La Rioja,2014,1,Tráfico de drogas,9
La Rioja,2014,1,Otros,2351
Ceuta,2014,1,Homicidios dolosos y asesinatos consumados,1
Ceuta,2014,1,Hurtos,266
Ceuta,2014,1,"Robos con fuerza, violencia o intimidación",214
Ceuta,2014,1,Sustracciones de vehículos,69
Ceuta,2014,1,Tráfico de drogas,200
Ceuta,2014,1,Otros,1366
Melilla,2014,1,Homicidios dolosos y asesinatos consumados,1
Melilla,2014,1,Hurtos,259
Melilla,2014,1,"Robos con fuerza, violencia o intimidación",234
Melilla,2014,1,Sustracciones de vehículos,53
Melilla,2014,1,Tráfico de drogas,48
Melilla,2014,1,Otros,1101
Andalucía,2014,2,Homicidios dolosos y asesinatos consumados,38
Andalucía,2014,2,Hurtos,57905
Andalucía,2014,2,"Robos con fuerza, violencia o intimidación",36250
Andalucía,2014,2,Sustracciones de vehículos,4130
Andalucía,2014,2,Tráfico de drogas,1654
Andalucía,2014,2,Otros,176124
Aragón,2014,2,Homicidios dolosos y asesinatos consumados,2
Aragón,2014,2,Hurtos,6402
Aragón,2014,2,"Robos con fuerza, violencia o intimidación",3894
Aragón,2014,2,Sustracciones de vehículos,207
Aragón,2014,2,Tráfico de drogas,136
Aragón,2014,2,Otros,20111
Principado de Asturias,2014,2,Homicidios dolosos y asesinatos consumados,1
Principado de Asturias,2014,2,Hurtos,4244
Principado de Asturias,2014,2,"Robos con fuerza, violencia o intimidación",2256
Principado de Asturias,2014,2,Sustracciones de vehículos,244
Principado de Asturias,2014,2,Tráfico de drogas,79
Principado de Asturias,2014,2,Otros,14355
Islas Baleares,2014,2,Homicidios dolosos y asesinatos consumados,8
Islas Baleares,2014,2,Hurtos,11373
Islas Baleares,2014,2,"Robos con fuerza, violencia o intimidación",5025
Islas Baleares,2014,2,Sustracciones de vehículos,672
Islas Baleares,2014,2,Tráfico de drogas,211
Islas Baleares,2014,2,Otros,29323
Canarias,2014,2,Homicidios dolosos y asesinatos consumados,7
Canarias,2014,2,Hurtos,15779
Canarias,2014,2,"Robos con fuerza, violencia o intimidación",7941
Canarias,2014,2,Sustracciones de vehículos,1008
Canarias,2014,2,Tráfico de drogas,269
Canarias,2014,2,Otros,45265
Cantabria,2014,2,Homicidios dolosos y asesinatos consumados,0
Cantabria,2014,2,Hurtos,2657
Cantabria,2014,2,"Robos con fuerza, violencia o intimidación",1654
Cantabria,2014,2,Sustracciones de vehículos,121
Cantabria,2014,2,Tráfico de drogas,37
Cantabria,2014,2,Otros,8499
Castilla y León,2014,2,Homicidios dolosos y asesinatos consumados,5
Castilla y León,2014,2,Hurtos,12885
Castilla y León,2014,2,"Robos con fuerza, violencia o intimidación",6790
Castilla y León,2014,2,Sustracciones de vehículos,387
Castilla y León,2014,2,Tráfico de drogas,145
Castilla y León,2014,2,Otros,38677
Castilla-La Mancha,2014,2,Homicidios dolosos y asesinatos consumados,9
Castilla-La Mancha,2014,2,Hurtos,8627
Castilla-La Mancha,2014,2,"Robos con fuerza, violencia o intimidación",9937
Castilla-La Mancha,2014,2,Sustracciones de vehículos,636
Castilla-La Mancha,2014,2,Tráfico de drogas,160
Castilla-La Mancha,2014,2,Otros,35427
Cataluña,2014,2,Homicidios dolosos y asesinatos consumados,35
Cataluña,2014,2,Hurtos,77512
Cataluña,2014,2,"Robos con fuerza, violencia o intimidación",50261
Cataluña,2014,2,Sustracciones de vehículos,4696
Cataluña,2014,2,Tráfico de drogas,916
Cataluña,2014,2,Otros,206850
Comunidad Valenciana,2014,2,Homicidios dolosos y asesinatos consumados,16
Comunidad Valenciana,2014,2,Hurtos,38482
Comunidad Valenciana,2014,2,"Robos con fuerza, violencia o intimidación",29440
Comunidad Valenciana,2014,2,Sustracciones de vehículos,2288
Comunidad Valenciana,2014,2,Tráfico de drogas,764
Comunidad Valenciana,2014,2,Otros,122421
Extremadura,2014,2,Homicidios dolosos y asesinatos consumados,1
Extremadura,2014,2,Hurtos,4364
Extremadura,2014,2,"Robos con fuerza, violencia o intimidación",2678
Extremadura,2014,2,Sustracciones de vehículos,185
Extremadura,2014,2,Tráfico de drogas,109
Extremadura,2014,2,Otros,13862
Galicia,2014,2,Homicidios dolosos y asesinatos consumados,9
Galicia,2014,2,Hurtos,11351
Galicia,2014,2,"Robos con fuerza, violencia o intimidación",6994
Galicia,2014,2,Sustracciones de vehículos,692
Galicia,2014,2,Tráfico de drogas,174
Galicia,2014,2,Otros,38007
Comunidad de Madrid,2014,2,Homicidios dolosos y asesinatos consumados,24
Comunidad de Madrid,2014,2,Hurtos,75631
Comunidad de Madrid,2014,2,"Robos con fuerza, violencia o intimidación",40057
Comunidad de Madrid,2014,2,Sustracciones de vehículos,5408
Comunidad de Madrid,2014,2,Tráfico de drogas,819
Comunidad de Madrid,2014,2,Otros,188187
Región de Murcia,2014,2,Homicidios dolosos y asesinatos consumados,4
Región de Murcia,2014,2,Hurtos,7627
Región de Murcia,2014,2,"Robos con fuerza, violencia o intimidación",7232
Región de Murcia,2014,2,Sustracciones de vehículos,673
Región de Murcia,2014,2,Tráfico de drogas,96
Región de Murcia,2014,2,Otros,26483
Comunidad Foral de Navarra,2014,2,Homicidios dolosos y asesinatos consumados,1
Comunidad Foral de Navarra,2014,2,Hurtos,3855
Comunidad Foral de Navarra,2014,2,"Robos con fuerza, violencia o intimidación",2154
Comunidad Foral de Navarra,2014,2,Sustracciones de vehículos,130
Comunidad Foral de Navarra,2014,2,Tráfico de drogas,77
Comunidad Foral de Navarra,2014,2,Otros,12734
País Vasco,2014,2,Homicidios dolosos y asesinatos consumados,5
País Vasco,2014,2,Hurtos,13294
País Vasco,2014,2,"Robos con fuerza, violencia o intimidación",9896
País Vasco,2014,2,Sustracciones de vehículos,328
País Vasco,2014,2,Tráfico de drogas,181
País Vasco,2014,2,Otros,43614
La Rioja,2014,2,Homicidios dolosos y asesinatos consumados,2
La Rioja,2014,2,Hurtos,1314
La Rioja,2014,2,"Robos con fuerza, violencia o intimidación",1060
La Rioja,2014,2,Sustracciones de vehículos,41
La Rioja,2014,2,Tráfico de drogas,19
La Rioja,2014,2,Otros,4500
Ceuta,2014,2,Homicidios dolosos y asesinatos consumados,2
Ceuta,2014,2,Hurtos,554
Ceuta,2014,2,"Robos con fuerza, violencia o intimidación",351
Ceuta,2014,2,Sustracciones de vehículos,130
Ceuta,2014,2,Tráfico de drogas,372
Ceuta,2014,2,Otros,2635
Melilla,2014,2,Homicidios dolosos y asesinatos consumados,1
Melilla,2014,2,Hurtos,549
Melilla,2014,2,"Robos con fuerza, violencia o intimidación",478
Melilla,2014,2,Sustracciones de vehículos,107
Melilla,2014,2,Tráfico de drogas,83
Melilla,2014,2,Otros,2351
Andalucía,2014,3,Homicidios dolosos y asesinatos consumados,58
Andalucía,2014,3,Hurtos,88312
Andalucía,2014,3,"Robos con fuerza, violencia o intimidación",53161
Andalucía,2014,3,Sustracciones de vehículos,6210
Andalucía,2014,3,Tráfico de drogas,2635
Andalucía,2014,3,Otros,267170
Aragón,2014,3,Homicidios dolosos y asesinatos consumados,2
Aragón,2014,3,Hurtos,9527
Aragón,2014,3,"Robos con fuerza, violencia o intimidación",5663
Aragón,2014,3,Sustracciones de vehículos,328
Aragón,2014,3,Tráfico de drogas,243
Aragón,2014,3,Otros,30436
Principado de Asturias,2014,3,Homicidios dolosos y asesinatos consumados,3
Principado de Asturias,2014,3,Hurtos,6602
Principado de Asturias,2014,3,"Robos con fuerza, violencia o intimidación",3235
Principado de Asturias,2014,3,Sustracciones de vehículos,377
Principado de Asturias,2014,3,Tráfico de drogas,134
Principado de Asturias,2014,3,Otros,21607
Islas Baleares,2014,3,Homicidios dolosos y asesinatos consumados,11
Islas Baleares,2014,3,Hurtos,25268
Islas Baleares,2014,3,"Robos con fuerza, violencia o intimidación",8930
Islas Baleares,2014,3,Sustracciones de vehículos,1143
Islas Baleares,2014,3,Tráfico de drogas,483
Islas Baleares,2014,3,Otros,55732
Canarias,2014,3,Homicidios dolosos y asesinatos consumados,9
Canarias,2014,3,Hurtos,22985
Canarias,2014,3,"Robos con fuerza, violencia o intimidación",11566
Canarias,2014,3,Sustracciones de vehículos,1409
Canarias,2014,3,Tráfico de drogas,415
Canarias,2014,3,Otros,67682
Cantabria,2014,3,Homicidios dolosos y asesinatos consumados,3
Cantabria,2014,3,Hurtos,4181
Cantabria,2014,3,"Robos con fuerza, violencia o intimidación",2460
Cantabria,2014,3,Sustracciones de vehículos,201
Cantabria,2014,3,Tráfico de drogas,81
Cantabria,2014,3,Otros,13220
Castilla y León,2014,3,Homicidios dolosos y asesinatos consumados,7
Castilla y León,2014,3,Hurtos,19227
Castilla y León,2014,3,"Robos con fuerza, violencia o intimidación",9772
Castilla y León,2014,3,Sustracciones de vehículos,564
Castilla y León,2014,3,Tráfico de drogas,303
Castilla y León,2014,3,Otros,58305
Castilla-La Mancha,2014,3,Homicidios dolosos y asesinatos consumados,10
Castilla-La Mancha,2014,3,Hurtos,13204
Castilla-La Mancha,2014,3,"Robos con fuerza, violencia o intimidación",14048
Castilla-La Mancha,2014,3,Sustracciones de vehículos,893
Castilla-La Mancha,2014,3,Tráfico de drogas,338
Castilla-La Mancha,2014,3,Otros,52959
Cataluña,2014,3,Homicidios dolosos y asesinatos consumados,40
Cataluña,2014,3,Hurtos,125483
Cataluña,2014,3,"Robos con fuerza, violencia o intimidación",75584
Cataluña,2014,3,Sustracciones de vehículos,6893
Cataluña,2014,3,Tráfico de drogas,1579
Cataluña,2014,3,Otros,321412
Comunidad Valenciana,2014,3,Homicidios dolosos y asesinatos consumados,25
Comunidad Valenciana,2014,3,Hurtos,61998
Comunidad Valenciana,2014,3,"Robos con fuerza, violencia o intimidación",43267
Comunidad Valenciana,2014,3,Sustracciones de vehículos,3535
Comunidad Valenciana,2014,3,Tráfico de drogas,1283
Comunidad Valenciana,2014,3,Otros,189786
Extremadura,2014,3,Homicidios dolosos y asesinatos consumados,3
Extremadura,2014,3,Hurtos,6399
Extremadura,2014,3,"Robos con fuerza, violencia o intimidación",3953
Extremadura,2014,3,Sustracciones de vehículos,268
Extremadura,2014,3,Tráfico de drogas,219
Extremadura,2014,3,Otros,20994
Galicia,2014,3,Homicidios dolosos y asesinatos consumados,12
Galicia,2014,3,Hurtos,17746
Galicia,2014,3,"Robos con fuerza, violencia o intimidación",10725
Galicia,2014,3,Sustracciones de vehículos,1005
Galicia,2014,3,Tráfico de drogas,302
Galicia,2014,3,Otros,59275
Comunidad de Madrid,2014,3,Homicidios dolosos y asesinatos consumados,35
Comunidad de Madrid,2014,3,Hurtos,107624
Comunidad de Madrid,2014,3,"Robos con fuerza, violencia o intimidación",57506
Comunidad de Madrid,2014,3,Sustracciones de vehículos,7661
Comunidad de Madrid,2014,3,Tráfico de drogas,1182
Comunidad de Madrid,2014,3,Otros,272041
Región de Murcia,2014,3,Homicidios dolosos y asesinatos consumados,5
Región de Murcia,2014,3,Hurtos,11697
Región de Murcia,2014,3,"Robos con fuerza, violencia o intimidación",10451
Región de Murcia,2014,3,Sustracciones de vehículos,942
Región de Murcia,2014,3,Tráfico de drogas,173
Región de Murcia,2014,3,Otros,39701
Comunidad Foral de Navarra,2014,3,Homicidios dolosos y asesinatos consumados,1
Comunidad Foral de Navarra,2014,3,Hurtos,7294
Comunidad Foral de Navarra,2014,3,"Robos con fuerza, violencia o intimidación",3436
Comunidad Foral de Navarra,2014,3,Sustracciones de vehículos,193
Comunidad Foral de Navarra,2014,3,Tráfico de drogas,146
Comunidad Foral de Navarra,2014,3,Otros,21400
País Vasco,2014,3,Homicidios dolosos y asesinatos consumados,6
País Vasco,2014,3,Hurtos,21209
País Vasco,2014,3,"Robos con fuerza, violencia o intimidación",14640
País Vasco,2014,3,Sustracciones de vehículos,495
País Vasco,2014,3,Tráfico de drogas,279
País Vasco,2014,3,Otros,66691
La Rioja,2014,3,Homicidios dolosos y asesinatos consumados,3
La Rioja,2014,3,Hurtos,2027
La Rioja,2014,3,"Robos con fuerza, violencia o intimidación",1520
La Rioja,2014,3,Sustracciones de vehículos,51
La Rioja,2014,3,Tráfico de drogas,43
La Rioja,2014,3,Otros,6717
Ceuta,2014,3,Homicidios dolosos y asesinatos consumados,4
Ceuta,2014,3,Hurtos,904
Ceuta,2014,3,"Robos con fuerza, violencia o intimidación",496
Ceuta,2014,3,Sustracciones de vehículos,260
Ceuta,2014,3,Tráfico de drogas,485
Ceuta,2014,3,Otros,4088
Melilla,2014,3,Homicidios dolosos y asesinatos consumados,1
Melilla,2014,3,Hurtos,857
Melilla,2014,3,"Robos con fuerza, violencia o intimidación",705
Melilla,2014,3,Sustracciones de vehículos,141
Melilla,2014,3,Tráfico de drogas,119
Melilla,2014,3,Otros,3516
Andalucía,2014,4,Homicidios dolosos y asesinatos consumados,68
Andalucía,2014,4,Hurtos,116073
Andalucía,2014,4,"Robos con fuerza, violencia o intimidación",69778
Andalucía,2014,4,Sustracciones de vehículos,8354
Andalucía,2014,4,Tráfico de drogas,3339
Andalucía,2014,4,Otros,352420
Aragón,2014,4,Homicidios dolosos y asesinatos consumados,5
Aragón,2014,4,Hurtos,12825
Aragón,2014,4,"Robos con fuerza, violencia o intimidación",7397
Aragón,2014,4,Sustracciones de vehículos,412
Aragón,2014,4,Tráfico de drogas,313
Aragón,2014,4,Otros,40517
Principado de Asturias,2014,4,Homicidios dolosos y asesinatos consumados,7
Principado de Asturias,2014,4,Hurtos,8725
Principado de Asturias,2014,4,"Robos con fuerza, violencia o intimidación",4249
Principado de Asturias,2014,4,Sustracciones de vehículos,489
Principado de Asturias,2014,4,Tráfico de drogas,167
Principado de Asturias,2014,4,Otros,28466
Islas Baleares,2014,4,Homicidios dolosos y asesinatos consumados,12
Islas Baleares,2014,4,Hurtos,29798
Islas Baleares,2014,4,"Robos con fuerza, violencia o intimidación",11240
Islas Baleares,2014,4,Sustracciones de vehículos,1449
Islas Baleares,2014,4,Tráfico de drogas,560
Islas Baleares,2014,4,Otros,68760
Canarias,2014,4,Homicidios dolosos y asesinatos consumados,12
Canarias,2014,4,Hurtos,30689
Canarias,2014,4,"Robos con fuerza, violencia o intimidación",15363
Canarias,2014,4,Sustracciones de vehículos,1825
Canarias,2014,4,Tráfico de drogas,554
Canarias,2014,4,Otros,90194
Cantabria,2014,4,Homicidios dolosos y asesinatos consumados,3
Cantabria,2014,4,Hurtos,5446
Cantabria,2014,4,"Robos con fuerza, violencia o intimidación",3157
Cantabria,2014,4,Sustracciones de vehículos,246
Cantabria,2014,4,Tráfico de drogas,110
Cantabria,2014,4,Otros,17207
Castilla y León,2014,4,Homicidios dolosos y asesinatos consumados,14
Castilla y León,2014,4,Hurtos,25355
Castilla y León,2014,4,"Robos con fuerza, violencia o intimidación",12985
Castilla y León,2014,4,Sustracciones de vehículos,764
Castilla y León,2014,4,Tráfico de drogas,380
Castilla y León,2014,4,Otros,77037
Castilla-La Mancha,2014,4,Homicidios dolosos y asesinatos consumados,16
Castilla-La Mancha,2014,4,Hurtos,17425
Castilla-La Mancha,2014,4,"Robos con fuerza, violencia o intimidación",18632
Castilla-La Mancha,2014,4,Sustracciones de vehículos,1200
Castilla-La Mancha,2014,4,Tráfico de drogas,438
Castilla-La Mancha,2014,4,Otros,70162
Cataluña,2014,4,Homicidios dolosos y asesinatos consumados,57
Cataluña,2014,4,Hurtos,164415
Cataluña,2014,4,"Robos con fuerza, violencia o intimidación",99281
Cataluña,2014,4,Sustracciones de vehículos,9102
Cataluña,2014,4,Tráfico de drogas,2051
Cataluña,2014,4,Otros,422858
Comunidad Valenciana,2014,4,Homicidios dolosos y asesinatos consumados,33
Comunidad Valenciana,2014,4,Hurtos,80095
Comunidad Valenciana,2014,4,"Robos con fuerza, violencia o intimidación",56155
Comunidad Valenciana,2014,4,Sustracciones de vehículos,4689
Comunidad Valenciana,2014,4,Tráfico de drogas,1648
Comunidad Valenciana,2014,4,Otros,247409
Extremadura,2014,4,Homicidios dolosos y asesinatos consumados,4
Extremadura,2014,4,Hurtos,8629
Extremadura,2014,4,"Robos con fuerza, violencia o intimidación",5247
Extremadura,2014,4,Sustracciones de vehículos,380
Extremadura,2014,4,Tráfico de drogas,271
Extremadura,2014,4,Otros,28224
Galicia,2014,4,Homicidios dolosos y asesinatos consumados,19
Galicia,2014,4,Hurtos,23054
Galicia,2014,4,"Robos con fuerza, violencia o intimidación",14242
Galicia,2014,4,Sustracciones de vehículos,1265
Galicia,2014,4,Tráfico de drogas,374
Galicia,2014,4,Otros,78302
Comunidad de Madrid,2014,4,Homicidios dolosos y asesinatos consumados,40
Comunidad de Madrid,2014,4,Hurtos,145273
Comunidad de Madrid,2014,4,"Robos con fuerza, violencia o intimidación",76481
Comunidad de Madrid,2014,4,Sustracciones de vehículos,10390
Comunidad de Madrid,2014,4,Tráfico de drogas,1599
Comunidad de Madrid,2014,4,Otros,365408
Región de Murcia,2014,4,Homicidios dolosos y asesinatos consumados,9
Región de Murcia,2014,4,Hurtos,15563
Región de Murcia,2014,4,"Robos con fuerza, violencia o intimidación",13841
Región de Murcia,2014,4,Sustracciones de vehículos,1224
Región de Murcia,2014,4,Tráfico de drogas,239
Región de Murcia,2014,4,Otros,52623
Comunidad Foral de Navarra,2014,4,Homicidios dolosos y asesinatos consumados,1
Comunidad Foral de Navarra,2014,4,Hurtos,9341
Comunidad Foral de Navarra,2014,4,"Robos con fuerza, violencia o intimidación",4451
Comunidad Foral de Navarra,2014,4,Sustracciones de vehículos,262
Comunidad Foral de Navarra,2014,4,Tráfico de drogas,213
Comunidad Foral de Navarra,2014,4,Otros,27950
País Vasco,2014,4,Homicidios dolosos y asesinatos consumados,10
País Vasco,2014,4,Hurtos,28219
País Vasco,2014,4,"Robos con fuerza, violencia o intimidación",19096
País Vasco,2014,4,Sustracciones de vehículos,667
País Vasco,2014,4,Tráfico de drogas,367
País Vasco,2014,4,Otros,88241
La Rioja,2014,4,Homicidios dolosos y asesinatos consumados,3
La Rioja,2014,4,Hurtos,2727
La Rioja,2014,4,"Robos con fuerza, violencia o intimidación",2017
La Rioja,2014,4,Sustracciones de vehículos,78
La Rioja,2014,4,Tráfico de drogas,62
La Rioja,2014,4,Otros,8924
Ceuta,2014,4,Homicidios dolosos y asesinatos consumados,6
Ceuta,2014,4,Hurtos,1194
Ceuta,2014,4,"Robos con fuerza, violencia o intimidación",695
Ceuta,2014,4,Sustracciones de vehículos,322
Ceuta,2014,4,Tráfico de drogas,567
Ceuta,2014,4,Otros,5305
Melilla,2014,4,Homicidios dolosos y asesinatos consumados,3
Melilla,2014,4,Hurtos,1116
Melilla,2014,4,"Robos con fuerza, violencia o intimidación",941
Melilla,2014,4,Sustracciones de vehículos,179
Melilla,2014,4,Tráfico de drogas,158
Melilla,2014,4,Otros,4619
Andalucía,2015,1,Homicidios dolosos y asesinatos consumados,14
Andalucía,2015,1,Hurtos,27273
Andalucía,2015,1,"Robos con fuerza, violencia o intimidación",17201
Andalucía,2015,1,Sustracciones de vehículos,2190
Andalucía,2015,1,Tráfico de drogas,761
Andalucía,2015,1,Otros,85264
Aragón,2015,1,Homicidios dolosos y asesinatos consumados,4
Aragón,2015,1,Hurtos,3001
Aragón,2015,1,"Robos con fuerza, violencia o intimidación",1678
Aragón,2015,1,Sustracciones de vehículos,81
Aragón,2015,1,Tráfico de drogas,64
Aragón,2015,1,Otros,9508
Principado de Asturias,2015,1,Homicidios dolosos y asesinatos consumados,0
Principado de Asturias,2015,1,Hurtos,1918
Principado de Asturias,2015,1,"Robos con fuerza, violencia o intimidación",995
Principado de Asturias,2015,1,Sustracciones de vehículos,91
Principado de Asturias,2015,1,Tráfico de drogas,37
Principado de Asturias,2015,1,Otros,6588
Islas Baleares,2015,1,Homicidios dolosos y asesinatos consumados,1
Islas Baleares,2015,1,Hurtos,3420
Islas Baleares,2015,1,"Robos con fuerza, violencia o intimidación",1873
Islas Baleares,2015,1,Sustracciones de vehículos,262
Islas Baleares,2015,1,Tráfico de drogas,54
Islas Baleares,2015,1,Otros,11370
Canarias,2015,1,Homicidios dolosos y asesinatos consumados,6
Canarias,2015,1,Hurtos,8804
Canarias,2015,1,"Robos con fuerza, violencia o intimidación",3975
Canarias,2015,1,Sustracciones de vehículos,382
Canarias,2015,1,Tráfico de drogas,151
Canarias,2015,1,Otros,23579
Cantabria,2015,1,Homicidios dolosos y asesinatos consumados,0
Cantabria,2015,1,Hurtos,1226
Cantabria,2015,1,"Robos con fuerza, violencia o intimidación",652
Cantabria,2015,1,Sustracciones de vehículos,63
Cantabria,2015,1,Tráfico de drogas,32
Cantabria,2015,1,Otros,3920
Castilla y León,2015,1,Homicidios dolosos y asesinatos consumados,4
Castilla y León,2015,1,Hurtos,5656
Castilla y León,2015,1,"Robos con fuerza, violencia o intimidación",3072
Castilla y León,2015,1,Sustracciones de vehículos,202
Castilla y León,2015,1,Tráfico de drogas,69
Castilla y León,2015,1,Otros,18078
Castilla-La Mancha,2015,1,Homicidios dolosos y asesinatos consumados,1
Castilla-La Mancha,2015,1,Hurtos,4013
Castilla-La Mancha,2015,1,"Robos con fuerza, violencia o intimidación",4599
Castilla-La Mancha,2015,1,Sustracciones de vehículos,287
Castilla-La Mancha,2015,1,Tráfico de drogas,81
Castilla-La Mancha,2015,1,Otros,16892
Cataluña,2015,1,Homicidios dolosos y asesinatos consumados,8
Cataluña,2015,1,Hurtos,36843
Cataluña,2015,1,"Robos con fuerza, violencia o intimidación",22975
Cataluña,2015,1,Sustracciones de vehículos,1967
Cataluña,2015,1,Tráfico de drogas,440
Cataluña,2015,1,Otros,98176
Comunidad Valenciana,2015,1,Homicidios dolosos y asesinatos consumados,15
Comunidad Valenciana,2015,1,Hurtos,18084
Comunidad Valenciana,2015,1,"Robos con fuerza, violencia o intimidación",12624
Comunidad Valenciana,2015,1,Sustracciones de vehículos,1062
Comunidad Valenciana,2015,1,Tráfico de drogas,366
Comunidad Valenciana,2015,1,Otros,56904
Extremadura,2015,1,Homicidios dolosos y asesinatos consumados,1
Extremadura,2015,1,Hurtos,2085
Extremadura,2015,1,"Robos con fuerza, violencia o intimidación",1295
Extremadura,2015,1,Sustracciones de vehículos,95
Extremadura,2015,1,Tráfico de drogas,37
Extremadura,2015,1,Otros,6887
Galicia,2015,1,Homicidios dolosos y asesinatos consumados,1
Galicia,2015,1,Hurtos,5232
Galicia,2015,1,"Robos con fuerza, violencia o intimidación",3356
Galicia,2015,1,Sustracciones de vehículos,223
Galicia,2015,1,Tráfico de drogas,75
Galicia,2015,1,Otros,18603
Comunidad de Madrid,2015,1,Homicidios dolosos y asesinatos consumados,4
Comunidad de Madrid,2015,1,Hurtos,37194
Comunidad de Madrid,2015,1,"Robos con fuerza, violencia o intimidación",17777
Comunidad de Madrid,2015,1,Sustracciones de vehículos,2744
Comunidad de Madrid,2015,1,Tráfico de drogas,370
Comunidad de Madrid,2015,1,Otros,92024
Región de Murcia,2015,1,Homicidios dolosos y asesinatos consumados,1
Región de Murcia,2015,1,Hurtos,3832
Región de Murcia,2015,1,"Robos con fuerza, violencia o intimidación",3365
Región de Murcia,2015,1,Sustracciones de vehículos,308
Región de Murcia,2015,1,Tráfico de drogas,56
Región de Murcia,2015,1,Otros,13014
Comunidad Foral de Navarra,2015,1,Homicidios dolosos y asesinatos consumados,1
Comunidad Foral de Navarra,2015,1,Hurtos,1742
Comunidad Foral de Navarra,2015,1,"Robos con fuerza, violencia o intimidación",890
Comunidad Foral de Navarra,2015,1,Sustracciones de vehículos,47
Comunidad Foral de Navarra,2015,1,Tráfico de drogas,24
Comunidad Foral de Navarra,2015,1,Otros,5710
País Vasco,2015,1,Homicidios dolosos y asesinatos consumados,2
País Vasco,2015,1,Hurtos,6440
País Vasco,2015,1,"Robos con fuerza, violencia o intimidación",4101
País Vasco,2015,1,Sustracciones de vehículos,187
País Vasco,2015,1,Tráfico de drogas,87
País Vasco,2015,1,Otros,20400
La Rioja,2015,1,Homicidios dolosos y asesinatos consumados,0
La Rioja,2015,1,Hurtos,649
La Rioja,2015,1,"Robos con fuerza, violencia o intimidación",407
La Rioja,2015,1,Sustracciones de vehículos,25
La Rioja,2015,1,Tráfico de drogas,12
La Rioja,2015,1,Otros,2056
Ceuta,2015,1,Homicidios dolosos y asesinatos consumados,0
Ceuta,2015,1,Hurtos,244
Ceuta,2015,1,"Robos con fuerza, violencia o intimidación",205
Ceuta,2015,1,Sustracciones de vehículos,112
Ceuta,2015,1,Tráfico de drogas,126
Ceuta,2015,1,Otros,1275
Melilla,2015,1,Homicidios dolosos y asesinatos consumados,1
Melilla,2015,1,Hurtos,295
Melilla,2015,1,"Robos con fuerza, violencia o intimidación",301
Melilla,2015,1,Sustracciones de vehículos,31
Melilla,2015,1,Tráfico de drogas,35
Melilla,2015,1,Otros,1215
Andalucía,2015,2,Homicidios dolosos y asesinatos consumados,34
Andalucía,2015,2,Hurtos,55810
Andalucía,2015,2,"Robos con fuerza, violencia o intimidación",33229
Andalucía,2015,2,Sustracciones de vehículos,4339
Andalucía,2015,2,Tráfico de drogas,1638
Andalucía,2015,2,Otros,172698
Aragón,2015,2,Homicidios dolosos y asesinatos consumados,6
Aragón,2015,2,Hurtos,6043
Aragón,2015,2,"Robos con fuerza, violencia o intimidación",3363
Aragón,2015,2,Sustracciones de vehículos,167
Aragón,2015,2,Tráfico de drogas,135
Aragón,2015,2,Otros,19044
Principado de Asturias,2015,2,Homicidios dolosos y asesinatos consumados,0
Principado de Asturias,2015,2,Hurtos,3925
Principado de Asturias,2015,2,"Robos con fuerza, violencia o intimidación",1925
Principado de Asturias,2015,2,Sustracciones de vehículos,189
Principado de Asturias,2015,2,Tráfico de drogas,73
Principado de Asturias,2015,2,Otros,13334
Islas Baleares,2015,2,Homicidios dolosos y asesinatos consumados,3
Islas Baleares,2015,2,Hurtos,10708
