Comunidad,Año,Trimestre,Tipo de delito,Denuncias
Ceuta,2013,1,Hurtos,300
Ceuta,2013,1,"Robos con fuerza, violencia o intimidación",235
Ceuta,2013,1,Sustracciones de vehículos,127
Ceuta,2013,1,Tráfico de drogas,300
Ceuta,2013,1,Otros,1562
Melilla,2013,1,Homicidios dolosos y asesinatos consumados,0
Melilla,2013,1,Hurtos,301
Melilla,2013,1,"Robos con fuerza, violencia o intimidación",292
Melilla,2013,1,Sustracciones de vehículos,64
Melilla,2013,1,Tráfico de drogas,41
Melilla,2013,1,Otros,1142
Andalucía,2013,2,Homicidios dolosos y asesinatos consumados,35
Andalucía,2013,2,Hurtos,64848
Andalucía,2013,2,"Robos con fuerza, violencia o intimidación",42477
Andalucía,2013,2,Sustracciones de vehículos,4532
Andalucía,2013,2,Tráfico de drogas,1416
Andalucía,2013,2,Otros,189451
Aragón,2013,2,Homicidios dolosos y asesinatos consumados,4
Aragón,2013,2,Hurtos,7264
Aragón,2013,2,"Robos con fuerza, violencia o intimidación",4658
Aragón,2013,2,Sustracciones de vehículos,261
Aragón,2013,2,Tráfico de drogas,137
Aragón,2013,2,Otros,21759
Principado de Asturias,2013,2,Homicidios dolosos y asesinatos consumados,3
Principado de Asturias,2013,2,Hurtos,5122
Principado de Asturias,2013,2,"Robos con fuerza, violencia o intimidación",2275
Principado de Asturias,2013,2,Sustracciones de vehículos,227
Principado de Asturias,2013,2,Tráfico de drogas,82
Principado de Asturias,2013,2,Otros,15279
Islas Baleares,2013,2,Homicidios dolosos y asesinatos consumados,8
Islas Baleares,2013,2,Hurtos,13205
Islas Baleares,2013,2,"Robos con fuerza, violencia o intimidación",5585
Islas Baleares,2013,2,Sustracciones de vehículos,674
Islas Baleares,2013,2,Tráfico de drogas,205
Islas Baleares,2013,2,Otros,31362
Canarias,2013,2,Homicidios dolosos y asesinatos consumados,8
Canarias,2013,2,Hurtos,17200
Canarias,2013,2,"Robos con fuerza, violencia o intimidación",8867
Canarias,2013,2,Sustracciones de vehículos,981
Canarias,2013,2,Tráfico de drogas,332
Canarias,2013,2,Otros,47921
Cantabria,2013,2,Homicidios dolosos y asesinatos consumados,3
Cantabria,2013,2,Hurtos,2808
Cantabria,2013,2,"Robos con fuerza, violencia o intimidación",1511
Cantabria,2013,2,Sustracciones de vehículos,133
Cantabria,2013,2,Tráfico de drogas,30
Cantabria,2013,2,Otros,8201
Castilla y León,2013,2,Homicidios dolosos y asesinatos consumados,15
Castilla y León,2013,2,Hurtos,14176
Castilla y León,2013,2,"Robos con fuerza, violencia o intimidación",7401
Castilla y León,2013,2,Sustracciones de vehículos,392
Castilla y León,2013,2,Tráfico de drogas,166
Castilla y León,2013,2,Otros,39819
Castilla-La Mancha,2013,2,Homicidios dolosos y asesinatos consumados,11
Castilla-La Mancha,2013,2,Hurtos,9241
Castilla-La Mancha,2013,2,"Robos con fuerza, violencia o intimidación",11154
Castilla-La Mancha,2013,2,Sustracciones de vehículos,655
Castilla-La Mancha,2013,2,Tráfico de drogas,180
Castilla-La Mancha,2013,2,Otros,37197
Cataluña,2013,2,Homicidios dolosos y asesinatos consumados,37
Cataluña,2013,2,Hurtos,79986
Cataluña,2013,2,"Robos con fuerza, violencia o intimidación",56501
Cataluña,2013,2,Sustracciones de vehículos,5259
Cataluña,2013,2,Tráfico de drogas,1033
Cataluña,2013,2,Otros,212790
Comunidad Valenciana,2013,2,Homicidios dolosos y asesinatos consumados,20
Comunidad Valenciana,2013,2,Hurtos,40967
Comunidad Valenciana,2013,2,"Robos con fuerza, violencia o intimidación",34016
Comunidad Valenciana,2013,2,Sustracciones de vehículos,2582
Comunidad Valenciana,2013,2,Tráfico de drogas,824
Comunidad Valenciana,2013,2,Otros,129785
Extremadura,2013,2,Homicidios dolosos y asesinatos consumados,5
Extremadura,2013,2,Hurtos,4862
